uid,up主昵称,B站地址,番茄指数,粉丝增量,粉丝总数,涨粉率,一级分类,二级分类
471303350,大狸子切切里,https://space.bilibili.com/471303350,3545,42947.0,1515533,2.83%,科技,数码
28460987,国民历史老师,https://space.bilibili.com/28460987,3463.6,39997.0,230409,17.36%,知识,校园学习
674180538,银屏系漫游指南,https://space.bilibili.com/674180538,3433.1,26200.0,159496,16.43%,影视,影视杂谈
14229967,一数,https://space.bilibili.com/14229967,3568.5,25782.0,6634875,0.39%,知识,校园学习
946974,影视飓风,https://space.bilibili.com/946974,3592.4,25652.0,5121349,0.50%,科技,数码
492840942,云视听小电视-TV,https://space.bilibili.com/492840942,3560.4,25148.0,12375899,0.20%,影视,预告·资讯
337312411,翠花不太脆,https://space.bilibili.com/337312411,3589,24642.0,1738527,1.42%,音乐,原创音乐
473837611,新华社,https://space.bilibili.com/473837611,3581.1,21219.0,10048866,0.21%,资讯,热点
456664753,央视新闻,https://space.bilibili.com/456664753,3613.4,20316.0,13203384,0.15%,资讯,社会
398486952,Enndmee,https://space.bilibili.com/398486952,3515.4,19253.0,471837,4.08%,时尚,美妆
326499679,哔哩哔哩漫画,https://space.bilibili.com/326499679,3387.3,19065.0,42260507,0.05%,动画,综合
438173577,卢克文工作室,https://space.bilibili.com/438173577,3550.9,17821.0,3012648,0.59%,资讯,热点
125526,-LKs-,https://space.bilibili.com/125526,3577.7,16969.0,2863739,0.59%,生活,日常
593946811,不废话の君,https://space.bilibili.com/593946811,3425.3,16069.0,150315,10.69%,生活,搞笑
15076745,彩虹酱哇,https://space.bilibili.com/15076745,3530.4,16017.0,720714,2.22%,生活,搞笑
8465957,乌鸦预告片,https://space.bilibili.com/8465957,3558.1,15679.0,1430613,1.10%,影视,预告·资讯
265720095,街头爬楼党,https://space.bilibili.com/265720095,3417.6,15644.0,140114,11.17%,科技,数码
401742377,原神,https://space.bilibili.com/401742377,3585,15555.0,14845665,0.10%,游戏,手机游戏
498957850,勇敢哥特,https://space.bilibili.com/498957850,3425.3,14912.0,149143,10.00%,生活,日常
23630128,HuangFuRen,https://space.bilibili.com/23630128,3557.4,14845.0,4121464,0.36%,知识,校园学习
400230277,杨晓洋的水果世界,https://space.bilibili.com/400230277,3544,14576.0,1815624,0.80%,知识,科学科普
97039736,舌尖上的老六,https://space.bilibili.com/97039736,3335.3,12945.0,82296,15.73%,美食,美食制作
1773346,莴苣某人,https://space.bilibili.com/1773346,3549.8,12103.0,4211982,0.29%,游戏,手机游戏
431073645,你的影月月,https://space.bilibili.com/431073645,3549,12052.0,3758131,0.32%,游戏,手机游戏
14583962,思维实验室,https://space.bilibili.com/14583962,3583.5,11900.0,4939453,0.24%,知识,科学科普
395089518,阿帅派克,https://space.bilibili.com/395089518,3487.7,11852.0,295468,4.01%,游戏,电子竞技
23947287,小约翰可汗,https://space.bilibili.com/23947287,3577.5,11335.0,5293282,0.21%,知识,人文历史
404987905,ACG外观研究社,https://space.bilibili.com/404987905,3530.8,11323.0,655063,1.73%,科技,数码
9617619,哔哩哔哩直播,https://space.bilibili.com/9617619,3568.9,11129.0,12736068,0.09%,游戏,单机游戏
498615688,兔耳朵和CC的国际尬聊,https://space.bilibili.com/498615688,3344.5,11078.0,84200,13.16%,生活,日常
395415494,熬一耶ye,https://space.bilibili.com/395415494,3538.1,10816.0,1095366,0.99%,生活,搞笑
96070394,推背兔の,https://space.bilibili.com/96070394,3592.7,10668.0,1130095,0.94%,鬼畜,鬼畜剧场
699861822,风知草jm,https://space.bilibili.com/699861822,3285.4,10398.0,59707,17.42%,音乐,演奏
642892779,帅山姆先生,https://space.bilibili.com/642892779,3528.7,10332.0,720628,1.43%,知识,校园学习
596842980,南翔不爱吃饭,https://space.bilibili.com/596842980,3547.9,9821.0,2374356,0.41%,美食,美食制作
483517089,工人诗之歌,https://space.bilibili.com/483517089,3327.8,9559.0,72562,13.17%,知识,人文历史
432350186,浩爷吉他教室,https://space.bilibili.com/432350186,3079.4,9436.0,36145,26.11%,知识,人文历史
39737405,学过石油的语文老师,https://space.bilibili.com/39737405,3562.2,9423.0,3453227,0.27%,知识,校园学习
1192544664,樱井阿又ovo,https://space.bilibili.com/1192544664,3364.2,9216.0,86286,10.68%,生活,日常
3433092,狂阿弥_,https://space.bilibili.com/3433092,3567.8,9171.0,1825734,0.50%,生活,日常
38598226,医学科普联盟,https://space.bilibili.com/38598226,3540.9,8886.0,924074,0.96%,知识,科学科普
14373586,熊出没BoonieBears,https://space.bilibili.com/14373586,3543,8842.0,1015277,0.87%,国创,国产原创相关
698814364,小扇雀子,https://space.bilibili.com/698814364,3283.7,8742.0,62210,14.05%,影视,短片
474853499,李如儒也是李蠕蠕,https://space.bilibili.com/474853499,3544.1,8719.0,1542841,0.57%,生活,搞笑
5970160,小潮院长,https://space.bilibili.com/5970160,3622.3,8321.0,8924001,0.09%,生活,搞笑
90142376,锦书致南辞,https://space.bilibili.com/90142376,3560.7,8303.0,1234368,0.67%,生活,搞笑
666767281,西子狗,https://space.bilibili.com/666767281,3231.9,8231.0,49405,16.66%,舞蹈,舞蹈综合
568699244,张若宇,https://space.bilibili.com/568699244,3535,8139.0,1054335,0.77%,生活,搞笑
470185735,英语口语台词,https://space.bilibili.com/470185735,3185.2,8114.0,43400,18.70%,知识,校园学习
20165629,共青团中央,https://space.bilibili.com/20165629,3668.1,7930.0,10073617,0.08%,资讯,热点
37177491,八云兔不秃,https://space.bilibili.com/37177491,3533.6,7787.0,894388,0.87%,生活,搞笑
1844633907,复利财经理财知识科普,https://space.bilibili.com/1844633907,3266,7649.0,53559,14.28%,知识,财经商业
55981398,杉下小甜鬼,https://space.bilibili.com/55981398,3304.9,7395.0,63659,11.62%,生活,日常
404761607,大牙考研,https://space.bilibili.com/404761607,3539.9,7395.0,562393,1.31%,知识,校园学习
1769996,火焰三黄鸡ao,https://space.bilibili.com/1769996,3483.5,7297.0,255792,2.85%,游戏,单机游戏
283802114,久保田嶺,https://space.bilibili.com/283802114,3458.8,7274.0,193337,3.76%,生活,日常
431742760,在下谭某,https://space.bilibili.com/431742760,3495.9,7245.0,316645,2.29%,时尚,健身
486359270,哦吼小闪电,https://space.bilibili.com/486359270,3467,7080.0,215640,3.28%,生活,搞笑
475912512,抵抗Resistance,https://space.bilibili.com/475912512,3522.1,7030.0,562679,1.25%,动画,短片·手书·配音
46321557,无星Elio,https://space.bilibili.com/46321557,3497.3,7008.0,312669,2.24%,时尚,服饰
19319172,差评君,https://space.bilibili.com/19319172,3556.4,6896.0,1929483,0.36%,知识,科学科普
483162496,英语兔,https://space.bilibili.com/483162496,3576.4,6847.0,5487014,0.12%,知识,校园学习
517327498,罗翔说刑法,https://space.bilibili.com/517327498,3682.4,6689.0,25363637,0.03%,知识,社科·法律·心理
606493353,C柚的声音部屋,https://space.bilibili.com/606493353,3461.3,6682.0,201385,3.32%,生活,搞笑
94281836,文西与阿漆,https://space.bilibili.com/94281836,3566,6480.0,2420012,0.27%,生活,搞笑
229733301,音乐私藏馆,https://space.bilibili.com/229733301,3634.4,6441.0,5807538,0.11%,音乐,音乐现场
1533073647,中部空军,https://space.bilibili.com/1533073647,3471,6427.0,212904,3.02%,生活,日常
35674508,SAIsai不水视频,https://space.bilibili.com/35674508,3389.8,6287.0,106587,5.90%,生活,日常
1473830,AIChannel官方,https://space.bilibili.com/1473830,3558.9,6062.0,1830300,0.33%,动画,综合
2057873215,LiSA_OFFiCiAL,https://space.bilibili.com/2057873215,3448.7,6015.0,160658,3.74%,音乐,MV
186474279,设计师奈奈酱,https://space.bilibili.com/186474279,2867.4,6005.0,21942,27.37%,知识,设计·创意
11021614,我是瑞斯拜,https://space.bilibili.com/11021614,3551.8,5948.0,2154335,0.28%,知识,校园学习
402576555,画渣花小烙,https://space.bilibili.com/402576555,3559,5938.0,3483134,0.17%,知识,科学科普
21361589,林宝馨,https://space.bilibili.com/21361589,3502.4,5916.0,345440,1.71%,音乐,翻唱
321173469,哔哩哔哩大会员,https://space.bilibili.com/321173469,3389,5908.0,25789250,0.02%,生活,日常
26287758,草莓味鱼子酱呀,https://space.bilibili.com/26287758,3506.4,5852.0,383681,1.53%,生活,日常
404439515,原神百晓生,https://space.bilibili.com/404439515,3539.4,5681.0,1130208,0.50%,游戏,手机游戏
386509707,摇摆阳GUI鬼,https://space.bilibili.com/386509707,3473.7,5650.0,233098,2.42%,生活,日常
686127,籽岷,https://space.bilibili.com/686127,3578.9,5598.0,3793740,0.15%,游戏,单机游戏
331507846,Jack-Cui,https://space.bilibili.com/331507846,3505.4,5575.0,331435,1.68%,科技,计算机技术
407275913,假装讲电影,https://space.bilibili.com/407275913,3536.2,5548.0,948434,0.58%,影视,影视杂谈
596866446,无处安放的小A,https://space.bilibili.com/596866446,3543.4,5482.0,1711588,0.32%,知识,财经商业
4995329,曦彤Asuna,https://space.bilibili.com/4995329,3457.1,5445.0,189843,2.87%,科技,数码
20603745,其人,https://space.bilibili.com/20603745,3546,5384.0,1148800,0.47%,动画,短片·手书·配音
257958427,国际华语辩论邀请赛,https://space.bilibili.com/257958427,3535.1,5378.0,933203,0.58%,知识,社科·法律·心理
519729084,蓝德GenG,https://space.bilibili.com/519729084,3225,5376.0,46462,11.57%,舞蹈,舞蹈综合
66607740,宋浩老师官方,https://space.bilibili.com/66607740,3552.1,5317.0,4989875,0.11%,知识,校园学习
375375,伊丽莎白鼠,https://space.bilibili.com/375375,3663.4,5313.0,7135720,0.07%,鬼畜,鬼畜调教
130636947,塑料叉FOKU,https://space.bilibili.com/130636947,3557.8,5261.0,1946848,0.27%,时尚,美妆
