uid,up主昵称,B站地址,番茄指数,粉丝增量,粉丝总数,涨粉率,一级分类,二级分类
3766866,科技美学,https://space.bilibili.com/3766866,3490.9,26111.0,3993790,0.65%,科技,数码
585238746,三哈兄弟-沙雕日常,https://space.bilibili.com/585238746,3393.6,24453.0,266293,9.18%,生活,搞笑
1131457022,人民日报,https://space.bilibili.com/1131457022,3480.8,21789.0,8075350,0.27%,资讯,热点
473837611,新华社,https://space.bilibili.com/473837611,3488.4,19989.0,9559941,0.21%,资讯,热点
14229967,一数,https://space.bilibili.com/14229967,3476.5,19358.0,6178573,0.31%,知识,校园学习
456664753,央视新闻,https://space.bilibili.com/456664753,3520.8,16084.0,12822552,0.13%,资讯,社会
546189,小Q不是导盲犬,https://space.bilibili.com/546189,3347.5,15170.0,162117,9.36%,知识,社科·法律·心理
1025115216,王源工作室,https://space.bilibili.com/1025115216,3224.5,15030.0,68781,21.85%,音乐,音乐综合
23630128,HuangFuRen,https://space.bilibili.com/23630128,3465.9,14124.0,3791554,0.37%,知识,校园学习
406871371,捏碳碳碳碳,https://space.bilibili.com/406871371,3450.3,14111.0,1121407,1.26%,动画,短片·手书·配音
1581688095,柴崎爷爷的水彩画,https://space.bilibili.com/1581688095,3405.7,13909.0,317190,4.39%,生活,绘画
383167169,阿沛不开心,https://space.bilibili.com/383167169,3172.7,13743.0,61387,22.39%,生活,搞笑
1906960205,岛城三人行,https://space.bilibili.com/1906960205,3339.7,13736.0,154906,8.87%,生活,搞笑
677378178,柏林少女o,https://space.bilibili.com/677378178,3335.1,13712.0,147692,9.28%,生活,搞笑
586789337,我叫孙火旺,https://space.bilibili.com/586789337,3461.6,13401.0,1993692,0.67%,生活,搞笑
35195926,大雷的食品科普日常,https://space.bilibili.com/35195926,3392.4,12901.0,264374,4.88%,知识,科学科普
1526560679,一化儿,https://space.bilibili.com/1526560679,3455.8,11579.0,1646600,0.70%,知识,校园学习
39807720,林带鱼w,https://space.bilibili.com/39807720,3330,11466.0,132103,8.68%,时尚,服饰
66607740,宋浩老师官方,https://space.bilibili.com/66607740,3460.4,11369.0,4786144,0.24%,知识,校园学习
491240131,烤鸭TV,https://space.bilibili.com/491240131,3452.1,11070.0,1486428,0.74%,知识,校园学习
297882491,BBoxer酋长,https://space.bilibili.com/297882491,3338.7,11058.0,144992,7.63%,音乐,演奏
492840942,云视听小电视-TV,https://space.bilibili.com/492840942,3467.7,10727.0,12000398,0.09%,影视,预告·资讯
11021614,我是瑞斯拜,https://space.bilibili.com/11021614,3459.9,10589.0,1975992,0.54%,知识,校园学习
5869811,程呦呦,https://space.bilibili.com/5869811,3414.6,10555.0,399610,2.64%,生活,日常
483162496,英语兔,https://space.bilibili.com/483162496,3485,10164.0,5290461,0.19%,知识,校园学习
517327498,罗翔说刑法,https://space.bilibili.com/517327498,3590,10037.0,25157634,0.04%,知识,社科·法律·心理
452941506,卡萨鹏卡萨丁,https://space.bilibili.com/452941506,3279.9,9297.0,94436,9.84%,游戏,电子竞技
1541834065,付冬冬_,https://space.bilibili.com/1541834065,2683,9267.0,22456,41.27%,生活,搞笑
25073738,科幻视界,https://space.bilibili.com/25073738,3440.3,8792.0,742917,1.18%,影视,影视杂谈
281172076,覆雪之下--,https://space.bilibili.com/281172076,3397.1,8707.0,278626,3.12%,游戏,手机游戏
424658638,四夕小田木,https://space.bilibili.com/424658638,3382,8246.0,224853,3.67%,生活,搞笑
1044109472,大罗和小任,https://space.bilibili.com/1044109472,2813.4,8204.0,25036,32.77%,生活,日常
