uid,up主昵称,B站地址,番茄指数,粉丝增量,粉丝总数,涨粉率,一级分类,二级分类
433538850,吉利狐,https://space.bilibili.com/433538850,178.7,141366.0,141957,99.58%,生活,手工
612482779,大能的方方面面,https://space.bilibili.com/612482779,3374.6,32554.0,183645,17.73%,时尚,T台
1312337158,李阿壹,https://space.bilibili.com/1312337158,832,29017.0,30329,95.67%,时尚,美妆
1209926047,是辣鼻小辛,https://space.bilibili.com/1209926047,536.8,28047.0,29041,96.58%,生活,搞笑
477531206,阿特警官,https://space.bilibili.com/477531206,3486.9,24071.0,3195770,0.75%,资讯,社会
4081529,大米壹袋袋,https://space.bilibili.com/4081529,3293.3,22164.0,95656,23.17%,生活,日常
15076745,彩虹酱哇,https://space.bilibili.com/15076745,3452.7,22010.0,460044,4.78%,生活,搞笑
311871090,伟嘉gaara616,https://space.bilibili.com/311871090,3474.7,21367.0,754448,2.83%,时尚,服饰
473837611,新华社,https://space.bilibili.com/473837611,3518.4,19420.0,9723592,0.20%,资讯,热点
243618828,亿剪盖儿,https://space.bilibili.com/243618828,3316.5,19386.0,107051,18.11%,生活,搞笑
32367854,佰鹤羽,https://space.bilibili.com/32367854,3456.1,19017.0,576672,3.30%,游戏,电子竞技
38053181,oooooohmygosh,https://space.bilibili.com/38053181,3495.5,18501.0,1506484,1.23%,知识,设计·创意
1131457022,人民日报,https://space.bilibili.com/1131457022,3510.9,18238.0,8243487,0.22%,资讯,热点
1856324237,何亮何大厨,https://space.bilibili.com/1856324237,1904.3,16645.0,20681,80.48%,美食,美食制作
179407328,优美文字,https://space.bilibili.com/179407328,944.4,16507.0,17956,91.93%,知识,人文历史
8960728,日食记,https://space.bilibili.com/8960728,3537.7,15886.0,7032122,0.23%,美食,美食制作
375375,伊丽莎白鼠,https://space.bilibili.com/375375,3601.3,15757.0,7020286,0.22%,鬼畜,鬼畜调教
14229967,一数,https://space.bilibili.com/14229967,3506.3,14484.0,6326441,0.23%,知识,校园学习
456664753,央视新闻,https://space.bilibili.com/456664753,3550.7,14300.0,12931798,0.11%,资讯,社会
18690024,-阿健-,https://space.bilibili.com/18690024,3496.9,13093.0,737030,1.78%,知识,社科·法律·心理
424658638,四夕小田木,https://space.bilibili.com/424658638,3434.3,13059.0,316276,4.13%,生活,搞笑
1175405305,罗翔讲人生哲学,https://space.bilibili.com/1175405305,3466,12911.0,690666,1.87%,知识,社科·法律·心理
440121192,JLRS日落fm,https://space.bilibili.com/440121192,1260.6,12734.0,14721,86.50%,音乐,音乐综合
42619059,Uzi,https://space.bilibili.com/42619059,3493.6,12270.0,4193975,0.29%,游戏,电子竞技
111169137,阁楼上的猫猫吖,https://space.bilibili.com/111169137,1757.4,12151.0,15538,78.20%,时尚,服饰
1139010933,灰灰花火,https://space.bilibili.com/1139010933,3397.2,12038.0,190173,6.33%,生活,日常
302197524,johnhuu,https://space.bilibili.com/302197524,3433.9,11713.0,311463,3.76%,知识,校园学习
23630128,HuangFuRen,https://space.bilibili.com/23630128,3495.5,11238.0,3897142,0.29%,知识,校园学习
38598226,医学科普联盟,https://space.bilibili.com/38598226,3476.8,11028.0,816459,1.35%,知识,科学科普
492840942,云视听小电视-TV,https://space.bilibili.com/492840942,3497.7,10984.0,12120189,0.09%,影视,预告·资讯
19222802,TNT百分号,https://space.bilibili.com/19222802,1308.7,10981.0,13072,84.00%,娱乐,明星
66607740,宋浩老师官方,https://space.bilibili.com/66607740,3490.1,10816.0,4866925,0.22%,知识,校园学习
1856337958,壹体小黄基,https://space.bilibili.com/1856337958,2803.7,10804.0,26448,40.85%,动画,短片·手书·配音
1843844124,非匿名指令,https://space.bilibili.com/1843844124,3460.9,10146.0,686853,1.48%,游戏,手机游戏
240064089,南非贝利Tebello,https://space.bilibili.com/240064089,3434.4,10145.0,289491,3.50%,美食,美食制作
81824112,导演小策,https://space.bilibili.com/81824112,3508.5,10106.0,3268737,0.31%,生活,搞笑
326499679,哔哩哔哩漫画,https://space.bilibili.com/326499679,3328.9,10062.0,42037783,0.02%,动画,综合
431073645,你的影月月,https://space.bilibili.com/431073645,3486.9,9993.0,3560256,0.28%,游戏,手机游戏
490036638,姜生花_,https://space.bilibili.com/490036638,3312.7,9724.0,94845,10.25%,生活,日常
35195926,大雷的食品科普日常,https://space.bilibili.com/35195926,3431.1,9648.0,300174,3.21%,知识,科学科普
1526560679,一化儿,https://space.bilibili.com/1526560679,3485.8,9637.0,1730406,0.56%,知识,校园学习
1079598477,石家庄周周,https://space.bilibili.com/1079598477,3468,9598.0,565506,1.70%,音乐,翻唱
1691179740,王大姐来了,https://space.bilibili.com/1691179740,3364.5,9572.0,137070,6.98%,影视,短片
323248245,青柠动画城,https://space.bilibili.com/323248245,3372,9557.0,151077,6.33%,国创,国产原创相关
480082687,-养生枸杞,https://space.bilibili.com/480082687,885.7,9263.0,10644,87.03%,生活,搞笑
43556,呼吸Tanoshii,https://space.bilibili.com/43556,741.4,9201.0,10408,88.40%,游戏,网络游戏
2088487272,破阵子l,https://space.bilibili.com/2088487272,3414.4,9145.0,234907,3.89%,游戏,电子竞技
696961866,白祉_official,https://space.bilibili.com/696961866,2130.7,8399.0,13794,60.89%,音乐,翻唱
479783453,高桥晴子,https://space.bilibili.com/479783453,2844.5,8357.0,25200,33.16%,时尚,服饰
121288250,苟宋本苟,https://space.bilibili.com/121288250,3364,8339.0,141731,5.88%,美食,美食制作
90920075,酷玩实验室,https://space.bilibili.com/90920075,3484.2,8290.0,1063549,0.78%,知识,财经商业
11184204,岛田胡胡,https://space.bilibili.com/11184204,1961.2,8048.0,12374,65.04%,生活,日常
