uid,up主昵称,B站地址,番茄指数,粉丝增量,粉丝总数,涨粉率,一级分类,二级分类
14229967,一数,https://space.bilibili.com/14229967,3548.5,22496.0,6527248,0.34%,知识,校园学习
473837611,新华社,https://space.bilibili.com/473837611,3560.9,21127.0,9944314,0.21%,资讯,热点
375375,伊丽莎白鼠,https://space.bilibili.com/375375,3643.5,18221.0,7102068,0.26%,鬼畜,鬼畜调教
26240675,与山0v0,https://space.bilibili.com/26240675,3545.3,18003.0,2815315,0.64%,游戏,单机游戏
23630128,HuangFuRen,https://space.bilibili.com/23630128,3537.5,17380.0,4042427,0.43%,知识,校园学习
326499679,哔哩哔哩漫画,https://space.bilibili.com/326499679,3368.5,15705.0,42182805,0.04%,动画,综合
431073645,你的影月月,https://space.bilibili.com/431073645,3529,14922.0,3700074,0.40%,游戏,手机游戏
90183256,36氪,https://space.bilibili.com/90183256,3527,14337.0,1562976,0.92%,知识,财经商业
456664753,央视新闻,https://space.bilibili.com/456664753,3593.2,12856.0,13091000,0.10%,资讯,社会
4995329,曦彤Asuna,https://space.bilibili.com/4995329,3419.1,12477.0,163745,7.62%,科技,数码
7295246,JKAI杰凯,https://space.bilibili.com/7295246,3583.5,11473.0,1230524,0.93%,音乐,翻唱
5970160,小潮院长,https://space.bilibili.com/5970160,3602.3,11342.0,8884018,0.13%,生活,搞笑
23224821,MEspace空间,https://space.bilibili.com/23224821,3513,11204.0,686138,1.63%,生活,绘画
401742377,原神,https://space.bilibili.com/401742377,3564.9,11043.0,14796818,0.07%,游戏,手机游戏
483879799,猛男舞团IconX,https://space.bilibili.com/483879799,3601.5,10573.0,3686353,0.29%,舞蹈,舞蹈综合
14373586,熊出没BoonieBears,https://space.bilibili.com/14373586,3522.5,10441.0,983879,1.06%,国创,国产原创相关
486359270,哦吼小闪电,https://space.bilibili.com/486359270,3437.7,10063.0,194238,5.18%,生活,搞笑
21778075,_青红造了个白_,https://space.bilibili.com/21778075,3560.8,10019.0,1581971,0.63%,影视,影视剪辑
39688895,幻幻幻幻幻灭,https://space.bilibili.com/39688895,3350.8,9879.0,96025,10.29%,游戏,网络游戏
9617619,哔哩哔哩直播,https://space.bilibili.com/9617619,3549.3,9813.0,12694570,0.08%,游戏,单机游戏
