uid,up主昵称,B站地址,番茄指数,粉丝增量,粉丝总数,涨粉率,一级分类,二级分类
642342554,一起学English,https://space.bilibili.com/642342554,1372.7,31841.0,34014,93.61%,知识,校园学习
20165629,共青团中央,https://space.bilibili.com/20165629,3655.9,24991.0,10022927,0.25%,资讯,热点
1277161587,刘晓非观察室,https://space.bilibili.com/1277161587,3487.1,22189.0,359084,6.18%,生活,日常
487651248,cc没有果冻呀,https://space.bilibili.com/487651248,1904.6,21930.0,25848,84.84%,汽车,摩托车
1131457022,人民日报,https://space.bilibili.com/1131457022,3561.2,21531.0,8507742,0.25%,资讯,热点
456664753,央视新闻,https://space.bilibili.com/456664753,3601,21501.0,13123910,0.16%,资讯,社会
14229967,一数,https://space.bilibili.com/14229967,3556.3,20597.0,6569873,0.31%,知识,校园学习
4119219,康康小康-祖国版,https://space.bilibili.com/4119219,755.6,19985.0,21175,94.38%,生活,日常
1885250814,瑶生Y,https://space.bilibili.com/1885250814,3504.1,19235.0,392838,4.90%,生活,搞笑
473837611,新华社,https://space.bilibili.com/473837611,3568.7,18975.0,9981557,0.19%,资讯,热点
438173577,卢克文工作室,https://space.bilibili.com/438173577,3538.4,17321.0,2907786,0.60%,资讯,热点
14804670,无穷小亮的科普日常,https://space.bilibili.com/14804670,3562.1,16688.0,8079408,0.21%,知识,科学科普
626752044,海潮有点潮,https://space.bilibili.com/626752044,252.1,16461.0,17155,95.95%,美食,美食测评
39807720,林带鱼w,https://space.bilibili.com/39807720,3478.3,15786.0,283001,5.58%,生活,日常
323248245,青柠动画城,https://space.bilibili.com/323248245,3482,15589.0,318148,4.90%,国创,国产原创相关
23630128,HuangFuRen,https://space.bilibili.com/23630128,3545.2,15525.0,4075926,0.38%,知识,校园学习
699086335,季踏君,https://space.bilibili.com/699086335,1360.7,15223.0,17389,87.54%,动画,短片·手书·配音
507280259,考拉英语,https://space.bilibili.com/507280259,1872.1,14777.0,18549,79.66%,知识,校园学习
1458143131,侯翠翠,https://space.bilibili.com/1458143131,3528.5,14570.0,1243340,1.17%,生活,日常
15076745,彩虹酱哇,https://space.bilibili.com/15076745,3516.7,14377.0,679299,2.12%,生活,搞笑
296092268,碎嘴企鹅,https://space.bilibili.com/296092268,3537,14318.0,1692368,0.85%,生活,搞笑
195827225,媛苑睡不醒,https://space.bilibili.com/195827225,1016.4,14140.0,15670,90.24%,时尚,服饰
171191705,周大爷不服老,https://space.bilibili.com/171191705,3519.9,14095.0,879528,1.60%,生活,搞笑
1389549299,篱篱的朋友圈碎碎念,https://space.bilibili.com/1389549299,3315,14008.0,78640,17.81%,生活,日常
12030309,TripleKill舞团,https://space.bilibili.com/12030309,1584.5,13990.0,16665,83.95%,舞蹈,明星舞蹈
492840942,云视听小电视-TV,https://space.bilibili.com/492840942,3548,13884.0,12324416,0.11%,影视,预告·资讯
1668113965,做科研的大师兄,https://space.bilibili.com/1668113965,1476.9,13373.0,15777,84.76%,知识,校园学习
1289661669,康布斯K,https://space.bilibili.com/1289661669,771,13352.0,14579,91.58%,影视,影视剪辑
395415494,熬一耶ye,https://space.bilibili.com/395415494,3525.4,12971.0,1063696,1.22%,生活,搞笑
297882491,BBoxer酋长,https://space.bilibili.com/297882491,3505.3,12940.0,446023,2.90%,音乐,演奏
1316137553,歷史哥李易修,https://space.bilibili.com/1316137553,1879.8,12935.0,16727,77.33%,知识,人文历史
36438715,一大筐会飞的草莓,https://space.bilibili.com/36438715,3479.3,12835.0,256134,5.01%,鬼畜,鬼畜剧场
2081318489,白雪眠,https://space.bilibili.com/2081318489,1626.5,12800.0,15644,81.82%,动画,综合
642892779,帅山姆先生,https://space.bilibili.com/642892779,3515.4,12711.0,691699,1.84%,知识,校园学习
431073645,你的影月月,https://space.bilibili.com/431073645,3536.8,12613.0,3725147,0.34%,游戏,手机游戏
2044333698,退钱哥本人,https://space.bilibili.com/2044333698,3525.3,12397.0,1180826,1.05%,运动,篮球·足球
326499679,哔哩哔哩漫画,https://space.bilibili.com/326499679,3375.8,12079.0,42208520,0.03%,动画,综合
521892650,运艳桥,https://space.bilibili.com/521892650,1346.6,11918.0,14024,84.98%,运动,运动综合
384563758,爱吃榴莲薯,https://space.bilibili.com/384563758,2868.3,11849.0,28391,41.74%,时尚,美妆
1007043700,世界美食official,https://space.bilibili.com/1007043700,3515.5,11722.0,779218,1.50%,美食,美食侦探
699861822,风知草jm,https://space.bilibili.com/699861822,3133.2,11702.0,41835,27.97%,音乐,演奏
1905878,铁板欧尼酱,https://space.bilibili.com/1905878,3393.4,11668.0,117645,9.92%,生活,日常
1526560679,一化儿,https://space.bilibili.com/1526560679,3536.1,11209.0,1860026,0.60%,知识,校园学习
1677092096,迷失海狸UP,https://space.bilibili.com/1677092096,1605.8,10923.0,13717,79.63%,生活,搞笑
383167169,阿沛不开心,https://space.bilibili.com/383167169,3468.2,10766.0,253118,4.25%,生活,搞笑
497439519,醉乡子,https://space.bilibili.com/497439519,1085.6,10747.0,12392,86.73%,知识,校园学习
524062498,PPT模板云共享,https://space.bilibili.com/524062498,2826.4,10634.0,25653,41.45%,知识,职业职场
1192544664,樱井阿又ovo,https://space.bilibili.com/1192544664,3312.5,10432.0,71811,14.53%,生活,日常
1604056984,涵東魔术,https://space.bilibili.com/1604056984,1989.9,10276.0,14572,70.52%,生活,日常
579641463,张老师带研究生,https://space.bilibili.com/579641463,2873.6,10150.0,26671,38.06%,知识,校园学习
1417886947,南山wcc,https://space.bilibili.com/1417886947,238.4,10126.0,10803,93.73%,游戏,网络游戏
1595842133,盖里盖里兔,https://space.bilibili.com/1595842133,3171.8,10020.0,45756,21.90%,生活,搞笑
454143774,乡村教师日记,https://space.bilibili.com/454143774,3534.1,9958.0,1285944,0.77%,生活,日常
1619020531,皮肤科教授王群,https://space.bilibili.com/1619020531,1724,9806.0,12984,75.52%,时尚,美妆
404761607,大牙考研,https://space.bilibili.com/404761607,3526.4,9786.0,539341,1.81%,知识,校园学习
1691179740,王大姐来了,https://space.bilibili.com/1691179740,3470.4,9771.0,249712,3.91%,影视,短片
265720095,街头爬楼党,https://space.bilibili.com/265720095,3385.7,9574.0,114695,8.35%,科技,数码
