uid,up主昵称,B站地址,番茄指数,粉丝增量,粉丝总数,涨粉率,一级分类,二级分类
1793199289,我叫MT归来,https://space.bilibili.com/1793199289,2858.8,71508.0,88898,80.44%,游戏,手机游戏
15076745,彩虹酱哇,https://space.bilibili.com/15076745,3467.7,36228.0,524881,6.90%,生活,搞笑
423738152,俏佳人xxx,https://space.bilibili.com/423738152,3501.8,35790.0,2502511,1.43%,知识,社科·法律·心理
174890586,魔鬼厨房DK,https://space.bilibili.com/174890586,3483.5,31525.0,1029790,3.06%,美食,美食制作
662924091,说画的小陈,https://space.bilibili.com/662924091,1316.1,28757.0,30854,93.20%,知识,人文历史
492840942,云视听小电视-TV,https://space.bilibili.com/492840942,3508.4,26798.0,12173639,0.22%,影视,预告·资讯
473837611,新华社,https://space.bilibili.com/473837611,3529,24084.0,9787629,0.25%,资讯,热点
1131457022,人民日报,https://space.bilibili.com/1131457022,3521.5,23532.0,8305037,0.28%,资讯,热点
1059877038,主机anchor,https://space.bilibili.com/1059877038,3395.8,22579.0,188271,11.99%,生活,日常
252028114,戴博士实验室,https://space.bilibili.com/252028114,3429,22483.0,257295,8.74%,知识,科学科普
347667464,老爸评测,https://space.bilibili.com/347667464,3522.8,22207.0,3934417,0.56%,生活,日常
351251536,雄十一浪,https://space.bilibili.com/351251536,3429.8,20770.0,272310,7.63%,生活,搞笑
14229967,一数,https://space.bilibili.com/14229967,3516.9,20262.0,6375277,0.32%,知识,校园学习
1604105553,萌宠图鉴堂pet,https://space.bilibili.com/1604105553,601.9,19768.0,20822,94.94%,动物圈,动物综合
2076896242,坤哥的手工坊,https://space.bilibili.com/2076896242,3342.1,18650.0,111444,16.73%,生活,手工
2114287232,高圆圆,https://space.bilibili.com/2114287232,3456.2,17950.0,397279,4.52%,娱乐,明星
42619059,Uzi,https://space.bilibili.com/42619059,3504.1,17852.0,4232494,0.42%,游戏,电子竞技
404439515,原神百晓生,https://space.bilibili.com/404439515,3487,17661.0,1052504,1.68%,游戏,手机游戏
326499679,哔哩哔哩漫画,https://space.bilibili.com/326499679,3338.8,16936.0,42077893,0.04%,动画,综合
488236820,画画的方面面,https://space.bilibili.com/488236820,3387.2,16760.0,163189,10.27%,生活,绘画
357538100,懒小熊_LXX,https://space.bilibili.com/357538100,3268.5,16671.0,76815,21.70%,动画,短片·手书·配音
