uid,up主昵称,B站地址,番茄指数,粉丝增量,粉丝总数,涨粉率,一级分类,二级分类
14229967,一数,https://space.bilibili.com/14229967,3552.7,22028.0,6549276,0.34%,知识,校园学习
473837611,新华社,https://space.bilibili.com/473837611,3565.2,18268.0,9962582,0.18%,资讯,热点
23630128,HuangFuRen,https://space.bilibili.com/23630128,3541.7,17974.0,4060401,0.44%,知识,校园学习
326499679,哔哩哔哩漫画,https://space.bilibili.com/326499679,3372.5,13636.0,42196441,0.03%,动画,综合
431073645,你的影月月,https://space.bilibili.com/431073645,3533.3,12460.0,3712534,0.34%,游戏,手机游戏
456664753,央视新闻,https://space.bilibili.com/456664753,3597.5,11409.0,13102409,0.09%,资讯,社会
26240675,与山0v0,https://space.bilibili.com/26240675,3549.5,10340.0,2825655,0.37%,游戏,单机游戏
392836434,哔哩哔哩王者荣耀赛事,https://space.bilibili.com/392836434,3533.6,9905.0,3712309,0.27%,游戏,电子竞技
375375,伊丽莎白鼠,https://space.bilibili.com/375375,3647.7,9328.0,7111396,0.13%,鬼畜,鬼畜调教
66607740,宋浩老师官方,https://space.bilibili.com/66607740,3536.4,8978.0,4962046,0.18%,知识,校园学习
90183256,36氪,https://space.bilibili.com/90183256,3531.4,8790.0,1571766,0.56%,知识,财经商业
5970160,小潮院长,https://space.bilibili.com/5970160,3606.5,8454.0,8892472,0.10%,生活,搞笑
401742377,原神,https://space.bilibili.com/401742377,3569.1,8036.0,14804854,0.05%,游戏,手机游戏
17608705,宽面车神,https://space.bilibili.com/17608705,3437.4,8033.0,184130,4.36%,汽车,汽车生活
39737405,学过石油的语文老师,https://space.bilibili.com/39737405,3546.4,7911.0,3416697,0.23%,知识,校园学习
11021614,我是瑞斯拜,https://space.bilibili.com/11021614,3536.1,7705.0,2129528,0.36%,知识,校园学习
483162496,英语兔,https://space.bilibili.com/483162496,3560.7,7505.0,5460801,0.14%,知识,校园学习
39688895,幻幻幻幻幻灭,https://space.bilibili.com/39688895,3370.2,7164.0,103189,6.94%,游戏,网络游戏
889603,Risd_锐小杜,https://space.bilibili.com/889603,1920.7,6825.0,10819,63.08%,游戏,手机游戏
517327498,罗翔说刑法,https://space.bilibili.com/517327498,3666.5,6735.0,25336330,0.03%,知识,社科·法律·心理
254662438,时间只玩辅,https://space.bilibili.com/254662438,3523.5,6109.0,1555167,0.39%,游戏,电子竞技
483879799,猛男舞团IconX,https://space.bilibili.com/483879799,3605.7,6061.0,3692414,0.16%,舞蹈,舞蹈综合
474803476,泡厨房的顾小胖,https://space.bilibili.com/474803476,3518.8,5912.0,602031,0.98%,美食,美食制作
42619059,Uzi,https://space.bilibili.com/42619059,3540.1,5854.0,4281239,0.14%,游戏,电子竞技
7295246,JKAI杰凯,https://space.bilibili.com/7295246,3587.8,5731.0,1236255,0.46%,音乐,翻唱
21778075,_青红造了个白_,https://space.bilibili.com/21778075,3565.1,5724.0,1587695,0.36%,影视,影视剪辑
9617619,哔哩哔哩直播,https://space.bilibili.com/9617619,3553.4,5722.0,12700292,0.05%,游戏,单机游戏
229733301,音乐私藏馆,https://space.bilibili.com/229733301,3618.5,5679.0,5785765,0.10%,音乐,音乐现场
4995329,曦彤Asuna,https://space.bilibili.com/4995329,3430.9,5640.0,169385,3.33%,科技,数码
16210993,刘美含Mikan,https://space.bilibili.com/16210993,3505.7,5154.0,593229,0.87%,生活,日常
63274187,dc008,https://space.bilibili.com/63274187,3536,5140.0,2859595,0.18%,知识,校园学习
604003146,帕梅拉PamelaReif,https://space.bilibili.com/604003146,3563.6,5138.0,9289245,0.06%,时尚,健身
406636263,HOLA小测佬,https://space.bilibili.com/406636263,3535.1,5092.0,1819040,0.28%,美食,美食侦探
481429887,三星盖乐世手机,https://space.bilibili.com/481429887,3498.5,4988.0,493691,1.01%,科技,数码
14373586,熊出没BoonieBears,https://space.bilibili.com/14373586,3526.9,4954.0,988833,0.50%,国创,国产原创相关
927587,木鱼水心,https://space.bilibili.com/927587,3681,4888.0,9559049,0.05%,影视,影视杂谈
131058159,英语老师Lee,https://space.bilibili.com/131058159,3524.5,4753.0,1797386,0.26%,知识,校园学习
196652162,柯基酱溟雨,https://space.bilibili.com/196652162,3440.4,4640.0,183748,2.53%,舞蹈,舞蹈综合
23224821,MEspace空间,https://space.bilibili.com/23224821,3517.6,4583.0,690721,0.66%,生活,绘画
2957050,冰糖小堃,https://space.bilibili.com/2957050,3500.7,4569.0,466730,0.98%,游戏,网络游戏
946974,影视飓风,https://space.bilibili.com/946974,3576.6,4457.0,5080029,0.09%,科技,数码
7788379,兔叭咯,https://space.bilibili.com/7788379,3602.3,4425.0,7015560,0.06%,知识,科学科普
6983491,宇神OvO,https://space.bilibili.com/6983491,3470.4,4385.0,237139,1.85%,科技,数码
337521240,记录生活的蛋黄派,https://space.bilibili.com/337521240,3625,4342.0,7649095,0.06%,美食,美食制作
491240131,烤鸭TV,https://space.bilibili.com/491240131,3528.4,4328.0,1626137,0.27%,知识,校园学习
486359270,哦吼小闪电,https://space.bilibili.com/486359270,3446.4,4292.0,198530,2.16%,生活,搞笑
388576777,英语的平行世界,https://space.bilibili.com/388576777,3537.8,4182.0,3190684,0.13%,知识,校园学习
178029850,杜海皇,https://space.bilibili.com/178029850,3538.3,3890.0,3498282,0.11%,生活,搞笑
94281836,文西与阿漆,https://space.bilibili.com/94281836,3550.3,3882.0,2397689,0.16%,生活,搞笑
419300908,DELTA原创饰品设计,https://space.bilibili.com/419300908,3148.8,3877.0,37115,10.45%,生活,手工
2871017,一栗莎子,https://space.bilibili.com/2871017,3524.9,3869.0,1588945,0.24%,生活,日常
108569350,AG超玩会王者荣耀梦泪,https://space.bilibili.com/108569350,3533.5,3826.0,3270287,0.12%,游戏,电子竞技
