uid,up主昵称,B站地址,番茄指数,粉丝增量,粉丝总数,涨粉率,一级分类,二级分类
1398337493,禁漫娘咔姬鲁offical,https://space.bilibili.com/1398337493,3489.3,109373.0,557927,19.60%,动画,综合
35674508,SAIsai不水视频,https://space.bilibili.com/35674508,1808.5,80594.0,84117,95.81%,生活,日常
2044333698,退钱哥本人,https://space.bilibili.com/2044333698,3512.5,48860.0,1120836,4.36%,运动,篮球·足球
297882491,BBoxer酋长,https://space.bilibili.com/297882491,3483.9,39622.0,393369,10.07%,音乐,演奏
8436006,哏啾啾捏,https://space.bilibili.com/8436006,1382.1,27251.0,29436,92.58%,生活,手工
1640834590,快快回家的林,https://space.bilibili.com/1640834590,126.2,26921.0,27472,97.99%,音乐,翻唱
282610813,叭格伢鹿,https://space.bilibili.com/282610813,426.7,25519.0,26373,96.76%,舞蹈,宅舞
680677803,王小七Fire,https://space.bilibili.com/680677803,3560.9,25091.0,2357268,1.06%,知识,社科·法律·心理
593946811,不废话の君,https://space.bilibili.com/593946811,3287.9,24755.0,85480,28.96%,生活,搞笑
492840942,云视听小电视-TV,https://space.bilibili.com/492840942,3536.1,24586.0,12275254,0.20%,影视,预告·资讯
1131457022,人民日报,https://space.bilibili.com/1131457022,3549.3,22648.0,8447035,0.27%,资讯,热点
473837611,新华社,https://space.bilibili.com/473837611,3556.8,21365.0,9923187,0.22%,资讯,热点
14229967,一数,https://space.bilibili.com/14229967,3544.4,19765.0,6504752,0.30%,知识,校园学习
297786973,Chubbyemu,https://space.bilibili.com/297786973,3520.2,18349.0,1554082,1.18%,知识,科学科普
1813173223,王七叶-,https://space.bilibili.com/1813173223,3516.1,18089.0,1220109,1.48%,生活,搞笑
8096990,啊粥粥啊粥,https://space.bilibili.com/8096990,3515.8,17948.0,838695,2.14%,影视,影视杂谈
323248245,青柠动画城,https://space.bilibili.com/323248245,3459.2,17635.0,270779,6.51%,国创,国产原创相关
14373586,熊出没BoonieBears,https://space.bilibili.com/14373586,3518,17297.0,973438,1.78%,国创,国产原创相关
585238746,三哈兄弟-沙雕日常,https://space.bilibili.com/585238746,3497.8,17173.0,530214,3.24%,生活,搞笑
37981790,我是一只草鱼,https://space.bilibili.com/37981790,989.6,17052.0,18559,91.88%,科技,数码
326499679,哔哩哔哩漫画,https://space.bilibili.com/326499679,3364.7,16524.0,42167100,0.04%,动画,综合
531236984,上汽集团MG名爵,https://space.bilibili.com/531236984,3463,16366.0,310505,5.27%,汽车,汽车生活
31761139,鱼肉肉pabo,https://space.bilibili.com/31761139,3477.7,16063.0,315529,5.09%,舞蹈,宅舞
431073645,你的影月月,https://space.bilibili.com/431073645,3524.9,15492.0,3685152,0.42%,游戏,手机游戏
102176172,地下城与勇士,https://space.bilibili.com/102176172,3505,14957.0,651094,2.30%,游戏,网络游戏
23630128,HuangFuRen,https://space.bilibili.com/23630128,3533.4,14673.0,4025047,0.36%,知识,校园学习
382222964,张张张拾一,https://space.bilibili.com/382222964,1673.8,14672.0,17652,83.12%,音乐,翻唱
452412746,Yooupi食途,https://space.bilibili.com/452412746,3512.6,14436.0,1007557,1.43%,美食,美食侦探
402576555,画渣花小烙,https://space.bilibili.com/402576555,3534.9,14221.0,3463223,0.41%,知识,科学科普
383167169,阿沛不开心,https://space.bilibili.com/383167169,3445.7,14138.0,222590,6.35%,生活,搞笑
1903016091,热爱干饭饭,https://space.bilibili.com/1903016091,3385,13953.0,121839,11.45%,知识,校园学习
479656285,浮沉工作室,https://space.bilibili.com/479656285,1995.5,13512.0,17899,75.49%,鬼畜,鬼畜剧场
1007043700,世界美食official,https://space.bilibili.com/1007043700,3503.1,13395.0,755549,1.77%,美食,美食侦探
