uid,up主昵称,B站地址,番茄指数,粉丝增量,粉丝总数,涨粉率,一级分类,二级分类
477531206,阿特警官,https://space.bilibili.com/477531206,3483.7,72281.0,3171699,2.28%,资讯,社会
1133669036,硬笔周老师线上收徒,https://space.bilibili.com/1133669036,941.1,34858.0,36313,95.99%,知识,校园学习
243618828,亿剪盖儿,https://space.bilibili.com/243618828,3267.3,21706.0,87665,24.76%,生活,搞笑
473837611,新华社,https://space.bilibili.com/473837611,3515.2,19993.0,9704172,0.21%,资讯,热点
1079598477,石家庄周周,https://space.bilibili.com/1079598477,3463.6,19339.0,555908,3.48%,音乐,翻唱
1131457022,人民日报,https://space.bilibili.com/1131457022,3507.6,18714.0,8225249,0.23%,资讯,热点
42318628,小奶糕拯救世界,https://space.bilibili.com/42318628,2054.5,17969.0,22686,79.21%,舞蹈,舞蹈综合
1059877038,主机anchor,https://space.bilibili.com/1059877038,3350.4,16855.0,139541,12.08%,生活,日常
38598226,医学科普联盟,https://space.bilibili.com/38598226,3473.1,16476.0,805431,2.05%,知识,科学科普
349257507,-Glutton-,https://space.bilibili.com/349257507,3222.4,16090.0,65368,24.61%,生活,绘画
15076745,彩虹酱哇,https://space.bilibili.com/15076745,3447.8,15667.0,438034,3.58%,生活,搞笑
375375,伊丽莎白鼠,https://space.bilibili.com/375375,3598.1,15657.0,7004529,0.22%,鬼畜,鬼畜调教
14229967,一数,https://space.bilibili.com/14229967,3503.1,15598.0,6311957,0.25%,知识,校园学习
8960728,日食记,https://space.bilibili.com/8960728,3534.5,15559.0,7016236,0.22%,美食,美食制作
456664753,央视新闻,https://space.bilibili.com/456664753,3547.5,15457.0,12917498,0.12%,资讯,社会
38053181,oooooohmygosh,https://space.bilibili.com/38053181,3491.9,15251.0,1487983,1.02%,知识,设计·创意
1691179740,王大姐来了,https://space.bilibili.com/1691179740,3346.1,15240.0,127498,11.95%,影视,短片
17648578,ADBABY打你屁屁,https://space.bilibili.com/17648578,2775.7,14811.0,29724,49.83%,音乐,音乐综合
352405396,蜡笔小CcCC,https://space.bilibili.com/352405396,305.9,14744.0,15486,95.21%,生活,绘画
394901450,Kindle精选君,https://space.bilibili.com/394901450,1250.8,14551.0,16528,88.04%,科技,数码
1632556233,阿优也烦恼,https://space.bilibili.com/1632556233,2022.6,14232.0,18920,75.22%,舞蹈,舞蹈综合
323248245,青柠动画城,https://space.bilibili.com/323248245,3357.8,14035.0,141520,9.92%,国创,国产原创相关
226231535,智勇双全富贵君,https://space.bilibili.com/226231535,3426.9,13782.0,322957,4.27%,生活,搞笑
1843844124,非匿名指令,https://space.bilibili.com/1843844124,3457,13173.0,676707,1.95%,游戏,手机游戏
1051746019,世界轻武器ARMS,https://space.bilibili.com/1051746019,3394.4,12954.0,204567,6.33%,动画,手办·模玩
30139938,朱铁雄,https://space.bilibili.com/30139938,3404.8,12854.0,209369,6.14%,影视,短片
1403011710,一只因因怪A,https://space.bilibili.com/1403011710,202.1,12684.0,13331,95.15%,动画,短片·手书·配音
424658638,四夕小田木,https://space.bilibili.com/424658638,3428.7,12648.0,303217,4.17%,生活,搞笑
