uid,up主昵称,B站地址,番茄指数,粉丝增量,粉丝总数,涨粉率,一级分类,二级分类
2270287,一个李欢喜,https://space.bilibili.com/2270287,1601.4,62095.0,65009,95.52%,生活,日常
526530563,风色幻想搬砖喵,https://space.bilibili.com/526530563,3326.2,45038.0,201263,22.38%,游戏,手机游戏
67158540,风-笑尘,https://space.bilibili.com/67158540,3412.3,38169.0,445790,8.56%,游戏,手机游戏
473837611,新华社,https://space.bilibili.com/473837611,3466.3,20013.0,9424201,0.21%,资讯,热点
20892823,柠檬派奇幻漂流,https://space.bilibili.com/20892823,3444.9,19760.0,2287776,0.86%,生活,搞笑
1131457022,人民日报,https://space.bilibili.com/1131457022,3458.8,17489.0,7945955,0.22%,资讯,热点
1315058754,牛牛爱生气,https://space.bilibili.com/1315058754,1001.9,17029.0,18596,91.57%,动物圈,喵星人
1102933244,插画小学妹,https://space.bilibili.com/1102933244,1746.2,16875.0,20282,83.20%,生活,绘画
384522533,杭州闪电队,https://space.bilibili.com/384522533,3379.8,15995.0,294334,5.43%,游戏,电子竞技
24916158,千反田的凉仔,https://space.bilibili.com/24916158,3163.9,14699.0,61504,23.90%,游戏,手机游戏
502248109,小艾爽,https://space.bilibili.com/502248109,844.1,14683.0,16020,91.65%,舞蹈,舞蹈综合
50121112,梦想家小瓜子,https://space.bilibili.com/50121112,3333.4,14429.0,171714,8.40%,游戏,电子竞技
434376696,阿Test正经比比,https://space.bilibili.com/434376696,3449.7,14286.0,1873866,0.76%,知识,社科·法律·心理
492840942,云视听小电视-TV,https://space.bilibili.com/492840942,3445.7,14082.0,11739739,0.12%,影视,预告·资讯
66607740,宋浩老师官方,https://space.bilibili.com/66607740,3438.6,13978.0,4719088,0.30%,知识,校园学习
14229967,一数,https://space.bilibili.com/14229967,3454.5,13955.0,6058903,0.23%,知识,校园学习
37961599,小缸和阿灿,https://space.bilibili.com/37961599,3458.6,13842.0,1529423,0.91%,生活,日常
10723250,木子鸽Muzi,https://space.bilibili.com/10723250,3373.3,13608.0,271084,5.02%,游戏,电子竞技
689513145,初中历史提分秘籍,https://space.bilibili.com/689513145,1711.7,13540.0,16716,81.00%,知识,校园学习
1578766380,修行园地,https://space.bilibili.com/1578766380,1334.3,13505.0,15662,86.23%,时尚,健身
8188433,T君说,https://space.bilibili.com/8188433,3446.9,13412.0,1507260,0.89%,知识,社科·法律·心理
1167678357,圆脸里里,https://space.bilibili.com/1167678357,324.6,13331.0,14103,94.53%,时尚,美妆
8932727,TaliseXDD,https://space.bilibili.com/8932727,247.5,13287.0,13982,95.03%,生活,绘画
491240131,烤鸭TV,https://space.bilibili.com/491240131,3430,13213.0,1415193,0.93%,知识,校园学习
11021614,我是瑞斯拜,https://space.bilibili.com/11021614,3437.9,12962.0,1909864,0.68%,知识,校园学习
1638686833,暖暖觅食记,https://space.bilibili.com/1638686833,370.2,12820.0,13641,93.98%,美食,美食制作
1859189432,一诺求生录,https://space.bilibili.com/1859189432,3396.5,12751.0,383495,3.32%,知识,野生技能协会
59905809,哦呼w,https://space.bilibili.com/59905809,3509.4,12449.0,2421711,0.51%,鬼畜,鬼畜调教
9617619,哔哩哔哩直播,https://space.bilibili.com/9617619,3455.7,12402.0,12540541,0.10%,游戏,单机游戏
456664753,央视新闻,https://space.bilibili.com/456664753,3498.8,12326.0,12742168,0.10%,资讯,社会
1338715561,凛子同学提不起劲,https://space.bilibili.com/1338715561,3435.8,12214.0,1187176,1.03%,舞蹈,舞蹈综合
1646036311,凤凰传奇,https://space.bilibili.com/1646036311,3466.5,12129.0,1862046,0.65%,音乐,音乐现场
41832729,考研政治陆寓丰,https://space.bilibili.com/41832729,3417.3,12112.0,791651,1.53%,知识,校园学习
1312039708,yi一颗柚子,https://space.bilibili.com/1312039708,2354.7,12093.0,19943,60.64%,生活,日常
1365540467,WSS_playground官方,https://space.bilibili.com/1365540467,3204.7,12055.0,70710,17.05%,游戏,单机游戏
43222001,卡特亚,https://space.bilibili.com/43222001,3449.3,12041.0,2532797,0.48%,游戏,手机游戏
1770631780,好臭好臭的人,https://space.bilibili.com/1770631780,3382.7,11972.0,293079,4.08%,音乐,演奏
42619059,Uzi,https://space.bilibili.com/42619059,3442.3,11861.0,3983084,0.30%,游戏,电子竞技
50333369,哔哩哔哩守望先锋赛事,https://space.bilibili.com/50333369,3419.7,11796.0,860237,1.37%,游戏,电子竞技
18077169,-高赫Regina,https://space.bilibili.com/18077169,1975,11781.0,16375,71.95%,舞蹈,舞蹈综合
431073645,你的影月月,https://space.bilibili.com/431073645,3435.3,11576.0,3396319,0.34%,游戏,手机游戏
1577325764,索菲亚一杯半,https://space.bilibili.com/1577325764,2706.6,11496.0,25642,44.83%,美食,美食测评
31659234,节操卓卓卓,https://space.bilibili.com/31659234,3315.7,11444.0,143024,8.00%,汽车,汽车生活
6210612,咖纳o,https://space.bilibili.com/6210612,3363.9,11402.0,221080,5.16%,舞蹈,宅舞
