uid,up主昵称,B站地址,番茄指数,粉丝总数,作品总数,充电总人数,一级分类,二级分类
7295246,JKAI杰凯,https://space.bilibili.com/7295246,3603.6,1240690,421,1240,音乐,翻唱
142371069,米国脱口秀,https://space.bilibili.com/142371069,3547.6,1239890,468,49,娱乐,综艺
357261525,安迪视频,https://space.bilibili.com/357261525,3543,1238104,844,5169,动画,综合
15080107,非正式会谈,https://space.bilibili.com/15080107,3572.3,1237736,2156,4115,娱乐,综艺
38157763,艺能人金广发,https://space.bilibili.com/38157763,3539.7,1236663,739,906,生活,搞笑
526559715,陈平眉山论剑,https://space.bilibili.com/526559715,3551.4,1236583,146,1335,知识,社科·法律·心理
104853743,忘川又下饭啦,https://space.bilibili.com/104853743,3536.2,1236019,58,,游戏,电子竞技
90142376,锦书致南辞,https://space.bilibili.com/90142376,3560.7,1234368,312,877,生活,搞笑
3334737,愉悦的hehe11,https://space.bilibili.com/3334737,3540.2,1234012,136,838,游戏,单机游戏
2350559,菌烨tako,https://space.bilibili.com/2350559,3540.2,1232780,84,939,生活,其他
1455861172,剑客范十三,https://space.bilibili.com/1455861172,3536.8,1232396,181,166,生活,运动
480680646,阿萨Aza,https://space.bilibili.com/480680646,3563.1,1232273,424,4140,动画,综合
364654971,中国国家地理频道,https://space.bilibili.com/364654971,3538.4,1230380,118,80,生活,日常
382193067,巫托邦,https://space.bilibili.com/382193067,3566.1,1228829,189,5480,美食,美食制作
452161580,金灿荣频道,https://space.bilibili.com/452161580,3542.5,1227277,267,528,资讯,热点
410964,胖雪人Ozu,https://space.bilibili.com/410964,3549.8,1225623,156,877,生活,搞笑
517184570,画渣不渣-HZ,https://space.bilibili.com/517184570,3542.2,1224711,95,93,生活,绘画
490505561,郑郑得证,https://space.bilibili.com/490505561,3538.4,1222117,467,1134,知识,社科·法律·心理
267685040,不齐舞团,https://space.bilibili.com/267685040,3551.8,1221459,374,384,舞蹈,舞蹈综合
698029620,兰音Reine,https://space.bilibili.com/698029620,3549.4,1220776,263,2321,音乐,翻唱
