视频名称,up主昵称,播放新增,播放总数,点赞新增,点赞总数,收藏新增,收藏总数,评论新增,评论总数,投币新增,投币总数,一级分类,二级分类
羊村（1）,小潮院长,1412848,3701670,105652,481342,43792,136491,1922,13955,74781,317210,生活,搞笑
还没入口就化了,宝鲁日GO,1407782,1738525,107616,141536,3484,4371,536,1054,1233,1878,美食,田园美食
中国队为什么不参加世界杯,狈总,1335204,5745791,109113,521366,11544,47647,1562,10892,7149,26445,生活,搞笑
有见过比这个还要累的工作吗，时钟里的人24小时不停的干活,全球不知道,1100186,1100186,23664,23664,1642,1642,271,271,184,184,生活,日常
炉石主播王师傅聊网易暴雪谈崩停服,王师傅和小毛毛,1058743,2087089,89218,233959,10164,27242,2292,6187,57308,151764,游戏,网络游戏
以后接机油再也不烫手了,汽修老板必读,999916,1743770,18562,27217,465,733,108,318,112,188,汽车,汽车生活
马上就能吃到新鲜黄瓜啦！,刘惟与,974159,1777857,3487,17279,7743,14770,13,242,428,1080,生活,日常
退钱哥到达卡塔尔世界杯大游轮！,退钱哥本人,937349,2070963,103432,205889,4283,8400,869,2506,4213,9848,,
苟且偷生,文武俩兄弟,885321,885321,111909,111909,4589,4589,1807,1807,22907,22907,生活,日常
十个小时涨8300万粉——你知道是谁,波士顿圆脸,848360,1598625,45780,107648,3040,6151,1544,5343,2246,5747,资讯,环球
打剑姬，我直接不走位,剑魔-king,822668,873090,29948,32516,1130,1199,267,339,240,283,游戏,电子竞技
在女友面前用头撞砖头，她竟然？？,力元君,792714,1181546,12842,49697,4300,6183,89,652,1073,6009,生活,搞笑
女孩遭校园暴力被同学按地上殴打，上百人高喊严惩未成年施暴者,网易新闻,786638,786638,102423,102423,7677,7677,5012,5012,11144,11144,资讯,社会
东道主揭幕战输球，史上首支！卡塔尔0-2厄瓜多尔，用实力证明真没花钱！,隔壁红魔,767703,767703,25975,25975,1130,1130,3149,3149,2305,2305,,
神来之球【太离谱了Ridiculous】,太离谱了Ridiculous,767438,1681972,23822,46758,782,1453,67,165,44,81,知识,野生技能协会
《合金弹头：觉醒》首支CG公开 | 街机神作，预约开启！,合金弹头觉醒手游,757637,2029096,15086,45543,1370,3836,733,2539,303,775,游戏,手机游戏
还原《满汉全席》鬼脚七的脆皮干炒牛河！猝不及防的翻车！,猪皮食堂,742590,2185392,29592,93821,1841,5241,140,533,824,2808,美食,美食制作
相信相逢的人 总能再相逢,暴雪游戏频道,738505,923352,26813,34514,3339,4671,2386,3575,7544,11386,游戏,网络游戏
“史上最贵”的卡塔尔世界杯，到底壕成啥样了？,直男财经,737434,1022070,38170,51686,3544,4774,1022,1421,1458,1978,知识,财经商业
领导想不起来的那些事，你真的要提醒他。,圆脸颖入职记,736459,2864336,71078,320066,7160,26933,332,1450,3884,11161,生活,搞笑
【基德】翻60篇资料，为什么欧洲人今年能过冬,吟游诗人基德,726209,726209,58760,58760,9042,9042,3021,3021,22396,22396,知识,科学科普
这玩意外面不得卖个8块8？,Tiger西西,715771,973855,95871,141501,3692,5229,729,1378,3381,6928,美食,美食制作
“人生匆匆忙忙不过图碎银几两”,Drincool,698120,1575876,38892,124361,5436,16704,311,646,486,1190,知识,野生技能协会
延吉. 海兰江 厨子探店?222,真探唐仁杰,693578,693578,61511,61511,2306,2306,1099,1099,1885,1885,美食,美食侦探
梦回2016！这次还退钱吗？！,歪果仁研究协会,686956,829426,51458,65887,5574,6035,438,757,838,1420,生活,日常
