视频名称,up主昵称,播放新增,播放总数,点赞新增,点赞总数,收藏新增,收藏总数,评论新增,评论总数,投币新增,投币总数,一级分类,二级分类
1步1步1步1步，用一种很新的方式打开生活,哔哩哔哩广告娘,2273793,4783308,38986,101030,5729,15756,134,1190,1472,5817,生活,日常
安徽大哥半挂改房车，专做移动大酒店，一场6000块，月接待8000桌,小食光光,2046718,2346239,83579,87692,10237,11195,2599,3434,2167,2397,美食,美食测评
（ 霸 凌 之 战 ）猫妹：无所谓 我会出手,星有野,1577920,1577920,192802,192802,30772,30772,5866,5866,85291,85291,动画,短片·手书·配音
【传染病简史1】霍乱：屠戮过亿，将人活活吸干的蓝死病,医学科普联盟,1469348,1469348,133881,133881,25408,25408,1544,1544,91345,91345,知识,科学科普
“这人一看就不会喝酒”,乌鸡哥QEU,1451411,2408269,155127,246701,15187,23978,595,1121,5373,8385,生活,搞笑
千里走单骑，1vs5却输给爱情！为爱冲锋的勇士！,防身自卫术,1405130,1405130,76854,76854,9022,9022,6765,6765,15406,15406,生活,日常
哈哈哈哈 90后老师拿捏到位!,若星凌晨,1391200,2296670,66916,146181,2457,4479,221,502,183,270,生活,日常
"战争后的女人太惨了，生下孩子被嫌弃一生",大聪明说电影,1322616,1793925,9221,9485,5074,6803,94,96,165,184,影视,影视杂谈
《王者荣耀世界》全新实机演示发布,王者荣耀-世界,1294624,1294624,34660,34660,4277,4277,36728,36728,6694,6694,游戏,网络游戏
男生的各种超能力，男生还有哪些钞能力？#内容过于真实#搞笑#段子#场景,俺叫玛克希姆,1245507,1969834,120336,185931,8858,14645,737,1068,502,754,生活,搞笑
【真人QQ飞车】小橘子超进化！,神奇的老皮VFX,1196356,1196356,107648,107648,19409,19409,2366,2366,53068,53068,游戏,手机游戏
这我真的服了！！太犇了！！！,灵鹿麟,1178961,9082130,12834,151108,9177,87944,-1,77,1017,8114,时尚,美妆
【10月】间谍过家家 15,哔哩哔哩番剧,1135145,5829949,7068,70393,49,197,58,1192,2226,19856,番剧,连载动画
什么年代了还做传统核酸,幾加乘,1097640,1689205,0,65461,15662,26546,0,1131,0,30936,动画,短片·手书·配音
100只蜘蛛幼崽，养它！,-勾魂公狒狒-,1086210,1912647,2216,5415,18928,31544,-4,41,342,722,游戏,单机游戏
奇怪的猫猫，但是日语版,彩虹酱哇,1051739,1135787,196434,207216,29499,31439,631,727,7230,8310,动物圈,喵星人
学校回应男子为爱翻墙被保安狂追 ：可能是感情纠纷，已通知学生家长，骑车三天三夜不实,九派新闻,1037971,1266492,39007,45356,2119,2856,5884,8223,1580,2015,资讯,社会
前世救下的小蛇万年后的再见今世如今已是绝世妖帝,半岛动漫,1029254,2307987,3616,6257,10743,24837,4,12,401,704,国创,国产原创相关
英文歌曲 BGM～,我的世界晚落,1018592,2190957,14060,37298,103112,261887,13,86,4494,10809,音乐,音乐综合
盘点三首能让你起飞的英文歌曲 BGM～,,1009741,2192748,16436,40298,94079,247840,8,23,5545,12407,游戏,单机游戏
第2集||爷爷很爱我，从小让我睡棺材。#棺材人生,乌书,1006207,2614252,1639,4452,9839,29369,2,9,321,820,国创,国产原创相关
大学生如何在宿舍拍出《奔跑吧兄弟》第2季,小叮当的伙伴们,1005798,2841402,32069,194584,20282,50358,286,3403,9463,68518,生活,搞笑
看这个视频不要露牙齿！,怠惰的小安,987568,1344958,7320,11455,45438,65294,188,284,2281,3334,生活,搞笑
嫌锤星伙食太差，穿越至外星却连草都吃不上,开心锤锤,979865,1177148,546,7997,67,520,3,78,59,160,动画,综合
在宇宙服失去的，我统统都要拿回来！,成功的甚捷,964291,1316551,3890,15208,11503,13829,25,416,524,1199,游戏,电子竞技
客 服 的 名 场 面 变 身 4.0,中国联通客服官方,954237,1130315,90733,105485,7033,7913,1123,1441,23329,26844,生活,搞笑
当火柴人小游戏遇上百万特效？英雄倒地BGM响起！玩家：燃到爆,裤子嘚吧嘚,944750,2175596,4925,17669,29240,80485,-1,35,557,1458,游戏,单机游戏
要我老命系列之《潮汕手打牛肉丸》,唐尼是个der,913067,1139902,5564,22626,9525,10667,19,194,491,1305,美食,美食制作
真 情 侣 早 就 在 明 目 张 胆 秀 恩 爱！,快乐追星人irs,912204,932316,36032,36663,5383,5534,1415,1451,1592,1628,娱乐,粉丝创作
眼“色”游戏 （9）,小潮院长,911746,4787694,36069,413104,18632,117244,253,7135,15413,197449,生活,搞笑
世界级攀爬狂人，徒手登顶百米高楼,HK老狐狸,911462,1316093,1325,2177,6435,9941,11,25,116,243,生活,日常
【梗百科】为爱冲锋的勇士是啥梗？,梗百科,895792,1004408,39969,48730,4147,4932,5035,5826,2947,3519,生活,日常
为爱冲锋的勇士，他有什么错？,邵林一,885882,885882,100769,100769,5782,5782,4046,4046,6266,6266,生活,日常
但如果这颜料条拔不出来，估计很多人会难受一整天,全球不知道,881920,5085357,28103,139868,2710,12956,108,767,284,1136,生活,手工
这段台词道出人生真谛，范伟是活明白了,可乐好甜,870164,1744944,2953,37996,5567,11469,64,456,204,638,影视,影视杂谈
【木雕】试作纳西妲,木姬空语,864965,1084880,126157,158165,10679,12935,1052,1604,11615,14376,生活,手工
我就来颁个奖，没想到直接美上了热搜……,刘昔昔咯,862699,1468266,36631,52427,2852,4388,178,298,918,1392,娱乐,粉丝创作
如何拯救失足的妹妹，让他重新做人，绝对正能量。,小博不得了,850886,1828858,3142,15977,9637,17811,6,678,521,1102,生活,搞笑
【独家】《明日方舟：黎明前奏》 第3集  归家【10月国创】,哔哩哔哩国创,841383,841383,26292,26292,79,79,3608,3608,12183,12183,国创,国产动画
亮剑：导演让他来跑个龙套，他却靠表情包火遍全国,老王忆经典,840459,1868419,10547,18725,4239,11350,33,65,113,282,影视,影视杂谈
自助餐螃蟹、惠灵顿牛排随便吃，仨战士来团建了,吃不饱仨战士,838924,838924,80106,80106,2416,2416,625,625,2651,2651,美食,美食侦探
《这短短二十多秒，让全球石头人宕机一整天》,困困君丶,836379,976705,68482,78684,5972,6728,289,430,1111,1415,游戏,电子竞技
【10月】间谍过家家 16,,833696,833696,25230,25230,32,32,478,478,4632,4632,番剧,连载动画
白敬亭吻宋轶，没有演技，全是感情！长风渡真情侣官宣了！,冯二宸,830536,1442654,33235,58558,4972,9323,1507,2890,2963,4966,娱乐,粉丝创作
第10期（上）收官之战 全场震撼落泪！【我是特优声 剧团季】,我是特优声,818386,818386,3323,3323,5,5,562,562,727,727,娱乐,综艺
