视频名称,up主昵称,播放新增,播放总数,点赞新增,点赞总数,收藏新增,收藏总数,评论新增,评论总数,投币新增,投币总数,一级分类,二级分类
还真成了！原神哥BeryL要求艾希冠军皮肤做成爱莉希雅，皮肤设计师：行,珊瑚宫Official,1848956,1882887,52418,53253,6529,6682,5705,5955,1650,1674,游戏,手机游戏
“你们不要再这样吃面了，这样只会饿死我！”【5】,盗月社食遇记,1097322,1097322,113499,113499,10987,10987,1941,1941,46034,46034,美食,美食侦探
古国守卫者——《原神》遗迹系列怪物创作的幕后,原神,992804,992804,130330,130330,12510,12510,6468,6468,30715,30715,游戏,手机游戏
折叠屏iPhone全球首发！「科技美学」出品 iPhoneV 经费爆炸/怒肝300天,科技美学,992072,992072,111734,111734,24503,24503,3041,3041,125489,125489,科技,数码
【S12全球总决赛】总决赛 11月6日 T1 vs DRX,哔哩哔哩英雄联盟赛事,948488,5122699,8207,65959,2857,17894,1395,26061,3779,26064,游戏,电子竞技
蓝色妖姬的口头禅有哪些！,玖言和平精英,906974,1020311,2360,8587,6425,7100,25,136,170,281,游戏,网络游戏
妈妈陪我去相亲后，她终于能理解我了……,皮皮在农村阿,852921,950999,86030,98984,7653,8481,1824,2087,3403,4182,生活,搞笑
当老姑婆上司误会了你喜欢她！,真子日记,791392,791392,67783,67783,2373,2373,1363,1363,5712,5712,生活,搞笑
“后来才发现，猴哥的悟性可不是一般的高啊！”,wrizedm,775091,826967,87602,91572,23102,24226,2001,2321,8240,8724,影视,影视剪辑
爬墙植物爬满一墙，为什么要花钱把它们清理掉呢？,全球不知道,767145,3291472,20731,81376,1237,4360,203,645,165,637,,
男生的超能力,旺仔有内涵,718159,797941,24740,31354,916,1179,141,193,75,118,生活,搞笑
福建大叔卖泡面，25一碗，太火爆，有人说不便宜，老板苦诉利润没10块，你们觉得的？,小帅探店,709428,1175481,1820,4314,1527,2352,654,1688,110,201,美食,美食侦探
这些生活小常识人人都应了解～,刘加勇医生,708307,1701995,74309,200112,22881,56587,799,1793,2590,5946,知识,科学科普
【STN快报6.5季12】我帮阿根廷发展经济，竟被遣返回国,STN工作室,707426,707426,74122,74122,13596,13596,1317,1317,53581,53581,游戏,单机游戏
乌军无人机三次向俄士兵投弹 两次被扔开，一次投歪,四川观察,702683,959504,28109,39608,2444,4011,1228,2734,276,441,资讯,环球
宁波.甬上名灶  厨子探店?308,真探唐仁杰,698336,698336,47176,47176,1568,1568,1125,1125,1328,1328,美食,美食侦探
家里娃总把猫咪当枕头枕，半夜悄悄把猫咪抱走，没想到猫和我急了,吉米猫wo,678679,1068714,18654,22951,957,1190,265,350,92,146,动物圈,喵星人
雨天武校学生楼道训练各大高手尽显绝技,武术世界频道,661807,1078888,72597,113695,6868,10384,329,580,1339,1966,运动,竞技体育
【原神】草系玩法核心辅助，强度爆炸！0命纳西妲测评+教学攻略丨纳西妲使用体验报告,赫箩的苹果,651980,651980,75912,75912,16100,16100,3017,3017,62344,62344,游戏,手机游戏
两亿老年人，困在厕所里,滤镜粉碎机,650432,650432,62172,62172,25952,25952,1463,1463,21509,21509,资讯,社会
干了一碗恒河水和干了一碗黄河长江水有啥区别？,央视农业,647552,771673,74571,91391,2646,3155,880,1419,1779,2473,知识,科学科普
冷空气来了，帅师傅又做起了他的羊肉！,记录生活的蛋黄派,639064,639064,74945,74945,3662,3662,1027,1027,12036,12036,美食,美食制作
假如室友关系像情侣....,熬一耶ye,624659,2857334,60932,363370,8355,41732,913,4661,13665,55788,生活,搞笑
【高燃】究竟什么样的结局，才配得上这一路的颠沛流离,LPL战术小黑板,620180,2010904,25895,110475,10575,34014,1430,7915,19397,64177,游戏,电子竞技
中期选举倒计时！懂王拜登奥巴马同城交锋,波士顿圆脸,610284,610284,50803,50803,3529,3529,1570,1570,5990,5990,资讯,环球
等等..！打劫好像不是用这个的吧！？..,捏碳碳碳碳,608546,1530311,107318,232641,19121,40154,220,1380,7088,22064,动画,短片·手书·配音
看几遍都觉得好笑哈哈哈,碧天蓝钻,608352,2719619,52572,298056,9535,51991,176,818,4645,20474,鬼畜,鬼畜调教
吕布超炫火系传说皮肤 大招召唤赤兔马上比武台 自制新皮肤特效,王者人格小A,602013,660830,11414,13345,445,533,482,662,265,391,游戏,电子竞技
来东北黑龙江吃什么不踩坑！,小曹和辉哥-探,597463,1186073,65515,138000,26175,51510,829,1928,2085,3811,美食,美食侦探
探秘美国拳头公司，总部食堂！！S12比赛从这里发起？,Meetfood觅食,588471,1427838,66751,189295,4450,12386,604,2182,18819,57402,美食,美食侦探
这酸奶盖子上的英文很妙，中文翻译更妙！,侃哥侃英语,582163,649460,58742,66159,11057,12012,240,403,1111,1511,知识,校园学习
董小嗨的诡异考场：考场上，监考老师偷偷塞给了我一张诡异纸条，却导致我暗恋对象当场惨si,董小嗨动画,565523,1809671,1187,3329,9157,24282,3,13,353,825,动画,综合
悲情阿诺,IFBB_BRO,558817,1960017,9179,33170,462,1976,41,268,126,586,时尚,健身
【10月】间谍过家家 14,哔哩哔哩番剧,556859,8874665,2550,83825,32,254,10,1298,736,22166,番剧,连载动画
Zlibrary被封！但问题不大，这个平替网站你未必知道！！,一网一匠,548090,622645,0,4795,44295,53171,0,240,0,1836,科技,软件应用
男孩儿的心思你别猜,在下高某请多指教,538203,614876,36195,41199,1801,1937,119,193,208,252,时尚,健身
雅俗共赏,文武俩兄弟,531257,531257,69395,69395,2467,2467,1473,1473,11894,11894,生活,日常
烤甘蔗 将就吃,快乐烧烤屋屋长,526419,681069,40936,56422,1378,1919,609,1276,3586,6428,美食,美食记录
湖南卫视，为什么要这样曲解红楼梦的女孩子？！,碧蝉衣,524419,1567933,51828,145991,6438,15847,2349,7492,24859,57602,影视,影视杂谈
【10月】间谍过家家 15,,523724,3253912,4914,51484,24,84,37,1030,1864,12997,番剧,连载动画
不好意思，打扰到你们了,糗糗庄园,523387,1408523,96263,305750,11829,31273,817,2107,11396,36153,动物圈,喵星人
不兴丢的安瓿瓶！,笑点有点低哦,515676,892894,17515,38396,813,1694,509,1113,55,114,生活,日常
我把家建在了易拉罐里,游戏人阿管,514615,3328819,288,27066,261,47745,1,322,71,2886,游戏,单机游戏
《真诚就是必杀技》,鹏桑の君,495141,1043787,38930,64384,4964,9906,1053,2153,2498,4896,生活,搞笑
《 大 聪 明 》,公子詺尊zzZ,491725,821489,40993,70248,4440,7358,324,600,1449,2412,生活,搞笑
一种可以从底部灌水的杯子，拿起来还不漏？这是啥原理,李论科学,484948,5233550,11249,166437,840,8777,79,976,170,1502,知识,科学科普
空间争夺战,DY小哈皮66,479708,2664548,5643,33074,489,2809,59,438,90,550,动画,综合
炉石传说：【天天素材库】 第322期,天天卡牌,469371,469371,26385,26385,1200,1200,363,363,4168,4168,游戏,桌游棋牌
11月5日，山东德州。男子直播间9块9抢5桶方便面，到货后：看到盒子就知道凉了！你怎么看直播间这行为？,中国网直播,464474,490558,39690,42235,1537,1648,789,881,124,128,资讯,社会
我也不想上学，但我的老师是初音未来哎,林带鱼w,458339,3838881,50688,478713,7409,68514,520,6048,3355,22580,生活,日常
不甘心自己当个废材想要改变，谁知却激励了其他同学,开心锤锤,454043,552908,350,7358,16,316,2,40,34,126,动画,综合
电梯卡：现在想起我来了？,项真爽,451439,707162,44307,80710,1654,2712,153,516,1078,2351,生活,搞笑
好大的一条泰鲮鱼啊  超远距离弹弓射鱼 滑轮弹弓 还好有人帮忙【袁桑弹弓】,袁桑弹弓,449502,3174509,6486,51282,477,2720,69,1006,244,1354,运动,运动综合
《把 坏 女 人 全 拖 下 水》,三桑小鱼搁浅了l,448525,750793,26496,45298,1968,3477,587,982,1333,2551,游戏,电子竞技
特朗普访问灾民发盒饭，投卫生纸，女粉丝大喊:我爱你！川普落泪,天歌曰,447963,988600,25463,52338,3216,6559,1165,2984,795,1534,知识,人文历史
你吃的扇贝可能是洋垃圾！！！,亚军频道,447924,795288,14677,29650,2265,4461,566,1216,3040,8311,知识,社科·法律·心理
如果彪哥是个意志不坚定的人,有梦想的宅楠,446813,645444,14096,20182,717,1130,91,145,121,183,生活,搞笑
对着教令院就是一顿老拳??,洛飕飕,446662,532276,54420,66065,14283,17451,273,471,2997,4106,动画,短片·手书·配音
【二十七站联合】出差十五夜2·星船篇中字合集（更新至E01.221106）,韩综迈扣,444553,444553,6874,6874,11104,11104,715,715,1035,1035,娱乐,综艺
请务必对我这样！,柏林少女o,443604,443604,26571,26571,3074,3074,1394,1394,1188,1188,生活,搞笑
找出图中的10条龙？我眼睛瞪得像铜铃，愣是没找到藏哪了,辉哥游戏解说,438732,769267,1154,2556,12711,17528,-3,12,409,734,游戏,单机游戏
