视频名称,up主昵称,播放新增,播放总数,点赞新增,点赞总数,收藏新增,收藏总数,评论新增,评论总数,投币新增,投币总数,一级分类,二级分类
这下你满意了吧？,阿星and阿奇,2392156,2844451,8811,61238,15771,18223,8,179,374,1055,生活,搞笑
小蜥蜴的冒险之旅，坑蛤蟆，斗蟒蛇，拯救村民成为大英雄，喜剧,拾柒影者,2281320,3454265,2340,20035,11526,16586,0,86,432,641,影视,影视杂谈
【10月】间谍过家家 18,哔哩哔哩番剧,1710224,2844609,16166,40766,74,89,123,558,4205,7709,番剧,连载动画
小时候的记忆，那时候觉得好好吃。,成都火锅底料工厂,1635367,2885736,23370,42449,1200,1945,384,826,257,424,美食,美食制作
阿根廷2-0墨西哥！梅西贴地斩，连场进球，巨星是如何改变战局的！,隔壁红魔,1408148,1408148,47612,47612,2148,2148,2342,2342,4453,4453,,
绝了！好吃到爆！【肥牛白菜千层锅】一锅鲜到眉毛掉！,龙帅食堂,1407149,2643934,141387,246821,54221,97642,536,1076,5830,10425,美食,美食制作
多名社区工作人员私下商议对“挑事儿”居民的整治办法被网友曝光,四川观察,1393005,2041471,96542,142869,13133,20130,270,2673,25435,36840,资讯,社会
年轻的厨师被经理教训了，转身回到厨房拿起西瓜刀,疾风视界,1331376,3384302,558,3946,4289,10964,0,27,72,219,生活,日常
奴役女粉丝，帮我盖大楼,游戏人阿管,1285231,1354442,2128,6834,13757,14326,13,95,433,794,游戏,单机游戏
我带过的奇葩游客,杭州小黑诸鸣,1282310,2336357,133783,232486,21700,38592,1600,3276,11034,18134,知识,人文历史
你相信命运中的巧合吗？,搞笑稀奇古怪日常,1234101,2685857,1884,47153,5856,14817,26,1568,104,852,知识,人文历史
?反 向 广 告?,伊丽莎白鼠,1170578,2292598,129110,325034,22233,51941,1378,6971,49850,141925,鬼畜,鬼畜调教
今天给年轻的南美自助餐老板上一课,吃不饱仨战士,1167170,1167170,107891,107891,3949,3949,805,805,3196,3196,美食,美食侦探
羊村（2）,小潮院长,1152675,5382989,45902,535732,23028,173902,493,9904,31093,368431,生活,搞笑
