视频名称,up主昵称,播放新增,播放总数,点赞新增,点赞总数,收藏新增,收藏总数,评论新增,评论总数,投币新增,投币总数,一级分类,二级分类
【饥饿站台】西班牙悬疑片天花板，待满一年就能领3亿元的奖金，这样的挑战你敢参加吗？,小陈说电影呀,2185201,2977424,2035,21953,7974,11327,2,188,276,414,影视,影视杂谈
不喝这水，就得渴死，你喝不喝？,齐哥净化论,2005229,2668892,56848,66278,2391,3013,293,587,360,435,生活,家居房产
羊村（2）,小潮院长,1920649,4230314,113657,489830,59909,150874,1021,9411,79174,337338,生活,搞笑
开了3天奥迪，花了7W……,极速拍档-小乔,1655431,2155156,13748,22253,952,1654,257,460,2042,3186,,
徐州发布：郑州未经沟通 凌晨将870人转运至我市,四川观察,1602140,1602140,51741,51741,5312,5312,5664,5664,2658,2658,资讯,社会
无屏风表演《口技》还原文言文 ！！！,BBoxer酋长,1586088,5935813,197405,629525,35095,113109,1961,9183,82341,301579,音乐,演奏
男性可以娶4个老婆？想去卡塔尔打工？别再瞎吹这个石油帝国了！【洞察社会系列80】,王小七Fire,1432800,2258542,119408,191888,16263,26576,3921,9431,47197,83161,知识,社科·法律·心理
改装300台机器人，保安大队成立！,-勾魂公狒狒-,1398402,1471718,4861,8746,36998,39031,27,110,1905,3075,游戏,单机游戏
【重大告知】咔姬鲁，停止活动。,禁漫娘咔姬鲁offical,1249476,2303946,93699,163017,14993,24131,602,1601,11059,18276,动画,综合
密室员工:“放心，我很敬业的”,老番茄,1216305,1216305,212061,212061,39755,39755,3447,3447,102497,102497,生活,搞笑
她回家问自行车一宿，她的烧烤炉子在哪里,周周啊,1210948,1320179,47198,55863,2806,3122,231,309,480,583,生活,搞笑
停服的游戏居然卷土重来，男主打算重新成为世界第一！,香橙说漫,1181307,3355337,3327,10483,15672,51324,12,44,1189,3180,国创,国产原创相关
绝了！好吃到爆！【肥牛白菜千层锅】一锅鲜到眉毛掉！,龙帅食堂,1180775,1236785,99058,105434,40904,43421,434,540,4184,4595,美食,美食制作
《待客名菜》,唐尼是个der,1153967,1340548,3952,18401,6301,6767,19,264,258,756,美食,美食制作
头 号 洒 家,_青红造了个白_,1136225,1136225,120468,120468,20433,20433,2033,2033,45686,45686,影视,影视剪辑
【10月】间谍过家家 18,哔哩哔哩番剧,1134385,1134385,24600,24600,15,15,435,435,3504,3504,番剧,连载动画
?反 向 广 告?,伊丽莎白鼠,1122020,1122020,195924,195924,29708,29708,5593,5593,92075,92075,鬼畜,鬼畜调教
「第二别走」,雅儿推文,1068623,2954006,2643,8748,16391,57089,4,18,931,2611,美食,美食制作
《原神》3.3版本PV：「六入尽明，诸相皆无」,原神,1065263,2710722,58376,206845,12835,36865,3511,16514,16590,60464,游戏,手机游戏
《功能型饮料》,小李与小手,1002052,3642537,11533,58193,7083,29402,27,165,280,944,生活,搞笑
11秒让你知道河北疫情现状,JOJO软件,968023,1054144,61062,63962,4825,5175,3059,3515,1458,1532,生活,搞笑
up的心情实在难以支撑起一个标题,汤圆妈妈笑哈哈,943438,2408524,62119,180222,29406,80952,426,2480,12946,28603,知识,人文历史
就算是秋冬也不要e个人mo mo悲伤鸭~,酸酸乳官方,932486,1217292,5099,10338,607,2836,71,147,291,701,动画,短片·手书·配音
吴某凡宣判后！离谱言论大赏！一起哈哈哈哈哈！,此间无双i,932067,989704,38747,41641,1684,1889,2143,2388,1320,1437,娱乐,娱乐杂谈
这可能是我这辈子距离梅西最近的一次,退钱哥本人,932006,7143809,146153,895798,11784,62709,491,7762,22571,149056,,
一天有8023万小时，上了趟月球回来，还没开始吃早饭,搞笑张大虾,924847,1103128,755,1598,6552,8788,1,9,59,89,动画,综合
原 来 这 是 防 御 模 式,星有野,923528,923528,108877,108877,7537,7537,2977,2977,16732,16732,动画,短片·手书·配音
如何将平凡无奇的晚餐吃出富可敌国的感觉？,世界美食official,922934,1210650,39206,63286,2710,3806,1190,2091,1869,3858,美食,美食侦探
小黄瓜摸了真的会长不大吗？,刘惟与,921198,1702938,6275,25779,7145,13972,6,237,308,1053,生活,日常
不当人之风光大葬,国家2级飞行员,892573,892573,74889,74889,5366,5366,338,338,1169,1169,游戏,电子竞技
你们搁这儿套娃呢？,阿星and阿奇,882265,5299457,12217,113446,7548,58053,19,334,447,4347,生活,搞笑
【原神】3.3太良心了！免费赚得一次保底！近2万原石获取途径汇总！还送满精武器！,自由大野猪,866014,866014,54267,54267,8374,8374,995,995,17353,17353,游戏,手机游戏
这都是啥...？厕纸地狱！2023年1月新番导视！【泛式】,泛式,853922,853922,106529,106529,16644,16644,6046,6046,29327,29327,,
警花测评：警用电击枪威力有多大？一米八小伙的腿都软了？,警花说,852213,979682,73368,88071,4853,5628,870,1363,459,624,知识,科学科普
这简直是疾病患者的天堂，全自动针灸仙人掌要试试吗？,表哥说动漫,844933,1598766,499,2056,2394,4947,0,2,76,144,,
