视频名称,up主昵称,播放新增,播放总数,点赞新增,点赞总数,收藏新增,收藏总数,评论新增,评论总数,投币新增,投币总数,一级分类,二级分类
这可能是我这辈子距离梅西最近的一次,退钱哥本人,2246056,4725757,301468,519441,21092,33062,1821,6277,46036,92316,,
无屏风表演《口技》还原文言文 ！！！,BBoxer酋长,1969982,1969982,175050,175050,30424,30424,3716,3716,96898,96898,音乐,演奏
《功能型饮料》,小李与小手,1593729,1804723,22573,36926,13261,14710,50,116,390,467,生活,搞笑
国足：最终还是我一个人扛下了所有,狈总,1577436,1577436,167730,167730,9886,9886,1629,1629,5970,5970,生活,搞笑
《车 评 人》,中国BOY超级大猩猩,1460059,1709698,14502,38716,1202,3985,142,856,2299,6937,汽车,汽车生活
店里卖1588的招牌菜，自己在家做，居然只花了。。。,绵羊料理,1458213,1458213,195013,195013,20462,20462,1558,1558,115525,115525,美食,美食制作
疯油精，全款拿下,王七叶-,1367433,2041809,227698,326928,18374,24011,1635,3185,15907,25484,生活,搞笑
一个小女孩不慎食用了96颗大麻软糖，这是她的大脑发生的变化,Chubbyemu,1359223,1359223,104591,104591,16670,16670,3680,3680,40874,40874,知识,科学科普
昨天看了德国踢日本，想退钱,,1348676,1348676,62784,62784,1514,1514,3182,3182,1575,1575,,
男友在你面前VS男友在闺蜜面前,真子日记,1217012,1217012,115784,115784,6851,6851,2159,2159,16295,16295,生活,搞笑
终于来了今天。世界杯日本vs德国。交给我们日本吧。,久保田嶺,1196673,1731246,63962,91962,3868,5791,5224,14013,12015,18107,,
「世界的名字」——布洛妮娅「真理之律者」角色预告,崩坏3第一偶像爱酱,1110754,1110754,105545,105545,18983,18983,11111,11111,40908,40908,游戏,手机游戏
如果你厌倦了外面的风风雨雨，那就留在我身边，我给你煎豆腐吃??,77的美胃人生,1081771,1293505,27523,30788,1516,1752,320,449,134,169,美食,美食记录
年轻的厨师被经理教训了，转身回到厨房拿起西瓜刀,疾风视界,1055294,1640681,561,3258,4430,5703,0,27,90,128,生活,日常
卡琳娜大型玩火现场！内含想删社死镜头，学会的第一个谐音梗竟是“紫腚大火”？,卡琳娜和揉西,1051082,1051082,77123,77123,5001,5001,109,109,5845,5845,,
看看大学生如何生活,江浩的江,1001753,2024207,91169,162847,9725,16916,1324,2395,1441,2343,生活,搞笑
【纪录片】未来漫游指南 02 星际航行,哔哩哔哩纪录片,974434,1165921,3173,5085,27,29,487,684,678,988,纪录片,科学·探索·自然
【汪小菲大s骂战后续】走向逐渐离奇，up活活看傻,一只吐槽圆,920378,920378,42464,42464,3328,3328,4639,4639,3683,3683,娱乐,娱乐杂谈
【我！绝不成佛！】我们所知的西游，不过是说书人杜撰的美丽传说,香橙说漫,920068,2776497,2953,7369,19895,67050,7,16,811,1736,国创,
【敖厂长】手机游戏在逐渐占领玩家的电脑桌面？,敖厂长,909066,1402236,3582,36604,179,3725,12384,14281,268,7110,游戏,单机游戏
太惊艳了！终于见到真正的四水归堂了，场景真的太美了，佩服古人的智慧,古建筑大师兄,875713,1304649,75190,112900,17385,27961,804,1379,1754,2539,生活,家居房产
德国队输给日本，我有点懵！,保护野菠萝,874295,874295,28319,28319,2483,2483,1866,1866,370,370,,
假面骑士的“末日”到了,ChenZhangJie゜,866228,1218081,32994,44089,3085,4736,61,112,322,487,动画,特摄
《幻塔》2.4版本「绮海逐行」先导PV,幻塔手游,840990,840990,26939,26939,2840,2840,7290,7290,10775,10775,游戏,手机游戏
邻居怀孕，要求我关闭wifi十个月，我一句话让他哑口无言,杜百万动画,781218,1616422,23883,43053,1870,2874,1284,2784,634,996,动画,综合
既然父母没教育，那就交给我来教育,三哈兄弟-沙雕日常,774845,1952990,83605,223132,5698,13443,664,2668,6679,18986,生活,搞笑
「第二别走」,雅儿推文,772215,1012211,2253,3695,15450,24971,4,10,706,958,美食,美食制作
为了让大爷吃水果，我付出了多大的努力...,周大爷不服老,772033,924354,92412,114638,7671,8765,142,250,742,973,生活,搞笑
因为世界杯，卡塔尔躲过了灭国危机！,秃头小超哥,770156,1641149,23976,52395,4369,9034,597,1893,2422,5192,知识,人文历史
带大家看一下第一视角取油，找一下儿时的记忆！,川渝火锅底料工厂老杨,765321,1118273,5786,7564,323,437,236,400,56,87,美食,美食制作
日本2-1德国！日本门将太强了，世界杯再爆冷门！日本足球已经冲入世界水平！,隔壁红魔,757014,980079,20135,29319,1475,2251,2931,5384,1402,2376,,
有趣的游戏：动量守恒定律,李论科学,736764,791244,20076,23201,871,1043,998,1207,174,211,知识,科学科普
卡塔尔世界杯开幕式上的残障男孩,美国国家地理_NatGeo,729066,1015548,97912,151736,5092,7298,967,1417,916,1400,,
【悟空】从三蛋三倍辣火鸡面煎饼，到三蛋三倍辣火鸡面烤冷面,悟空和他的煎饼烤冷面,724969,1505277,15213,35398,945,2161,71,206,159,406,美食,美食记录
呆在家的第196个小时，精神状态佳,Thurman猫一杯,694853,1424980,14147,69625,6250,7875,170,1456,604,2201,生活,搞笑
当我们想在日服引爆第二颗核弹时，遭遇了官方制裁,老6使命召唤,692015,692015,40972,40972,3266,3266,1108,1108,3037,3037,游戏,网络游戏
破案了，回“6”的原因找到了,澈洌chan,687691,784188,77162,87960,16704,19274,1653,1981,1283,1445,生活,搞笑
找到一个铁管子晚上住里面了，空间狭小但能睡人，晚上还能看星星,带床去旅行,650578,976612,20970,36214,2008,2968,1284,2514,6240,12725,,
卖猪肉到底有多少利润?一头猪能赚多少?,李想要理想呀,649380,878229,57815,72157,3487,4515,818,1078,19539,25587,生活,日常
当我买了1000日本赢，媳妇又买了1000德国赢这件事,家有仙妻良胃仙,644282,717215,35835,39969,569,670,916,1296,244,286,生活,搞笑
中式rap,铁骨曾曾1116,631117,852592,83396,108739,15754,18165,1023,1867,5666,7845,生活,搞笑
【纪录片】《决胜荒野第三季》第一集 亚马逊：重返梦开始的地方（上）,,618591,618591,7690,7690,35,35,879,879,2650,2650,纪录片,科学·探索·自然
蒋勤勤：她们长成这样已经很孝顺了哈哈哈！,刘昔昔咯,616252,644482,18435,19265,1830,1980,178,195,814,888,娱乐,粉丝创作
39位内容创作者集结演绎王者荣耀2022共创曲舞台《以光之名》,王者荣耀,614055,1347299,11307,33530,1892,5127,122,483,335,1284,音乐,音乐现场
绍兴.咸亨酒店  厨子探店?255,真探唐仁杰,612457,612457,47402,47402,1194,1194,733,733,996,996,美食,美食侦探
你们搁这儿套娃呢？,阿星and阿奇,602287,3513528,6791,91484,7713,41417,16,299,364,3465,生活,搞笑
女生帅起来真的没男生什么事了,笨重的熊,601460,2648888,12210,67017,3828,17181,47,446,249,923,生活,日常
张文龙学尖了？！！！,我是雪怡,589605,714664,17371,25124,802,1110,49,111,83,125,影视,短片
沙特球迷打断韩媒记者直播，对镜头反复问“梅西去哪了？”,环球网,582078,675361,29099,36355,1949,2396,521,860,311,376,资讯,环球
暴雪网易谈崩后，某著名炉石主播现身街头摆摊！遭水友围堵……,牢头养猪记,580145,580145,33402,33402,3730,3730,1148,1148,19996,19996,美食,田园美食
别无脑出了！盘点大乱斗心之钢4大真神！拿到就是起飞！,上海滩许Van强,579209,818837,24110,43165,818,1585,1611,2560,2157,4500,游戏,电子竞技
【逗鱼时刻】第379期 老师，你快把咱们摊吃没了！,天天卡牌,574362,574362,38365,38365,3199,3199,1758,1758,14271,14271,游戏,桌游棋牌
我喜欢你，长得像你不行，性格像你不行，不是你就不行。,动漫推荐i,570957,2190821,1187,3529,6275,20940,6,22,143,429,影视,影视杂谈
满级人类！今天你进化了吗？满级电报员！,阿羡搞笑,570539,898983,6237,10119,40495,70392,0,2,1860,2555,生活,搞笑
海绵宝宝迎来生命最后一天，一到太阳落山身体就会爆炸！,元子动漫,567543,1671305,3660,27446,16006,30760,17,192,480,1222,动画,
“这是有多么热爱足球呀，一张口就是满分作文！”,爱睡觉的_Koala,564332,974202,41617,72557,16623,29642,484,857,9149,15199,,
30分钟彻底说清为何不能赌球！离世界杯开幕还有3天！现在看这视频还来得及！,扑克经济学,562495,2918618,39797,166795,13119,58844,1627,12261,13300,66548,知识,财经商业
世界杯VS影帝杯,沙雕小胖胖,550106,1858282,43334,106568,8609,22966,219,729,3197,10779,生活,
一支普通的马克笔，就足以让人治愈！,龙吟读画,549501,963296,41310,80798,5179,10009,227,428,493,929,知识,人文历史
恋爱脑真下头,小名叫建伟,547729,1612617,43877,128078,7249,18337,638,2451,2230,6651,生活,搞笑
男子买1900元烟，实际支付0.1元后光速逃跑,网易新闻,531721,589973,19048,22269,1642,1942,968,1326,246,282,资讯,社会
听说我要去上班b站连夜多安排了俩保安,侯翠翠,529614,529614,47510,47510,1502,1502,1939,1939,8955,8955,生活,日常
【亚某爆料时间】上官婉儿【神器·万象笔】皮肤爆料来啦！,,527624,527624,18058,18058,952,952,4485,4485,873,873,游戏,电子竞技
战区，25把鸡终于迎来核爆,,521667,1160978,72902,104357,9979,14484,574,1596,10916,21762,游戏,网络游戏
伽利略的相对性原理：在惯性系中力学定律保持不变,,519490,759886,33879,51621,2438,3489,558,914,171,292,知识,科学科普
女游客爬上玛雅金字塔顶热舞惹众怒：被人扔水瓶扯头发,,517366,517366,12403,12403,406,406,405,405,67,67,资讯,环球
女声开口惊艳!!校园神级合唱《我用什么把你留住》所以生命璀璨如歌,张张张拾一,516859,1852117,43956,171338,21492,74603,796,3905,24836,99790,音乐,翻唱
在面馆给一小伙身上画个画,潮绘师王大呀,513155,2476624,14919,58497,882,3328,64,318,161,555,生活,绘画
终于说服小霉猫跳这个舞了,猫不易铲屎官,506390,665365,104851,130207,9248,10959,175,346,1383,2059,动物圈,喵星人
洋人欺负中国女孩，还挑衅中国功夫，叶问霸气教对方做人！影视①,幕撩电影,505616,1156591,259,611,2566,5426,0,1,59,115,影视,影视杂谈
嫦娥独守广寒宫，终于要收获爱情了,探长放映室,504625,660704,12127,16406,1141,1292,306,371,116,150,影视,影视杂谈
思诺思是毒品吗？会上瘾吗？上瘾了怎么办？,广州禁毒,492370,628522,28310,37661,2609,3638,2205,3321,3118,4010,资讯,社会
沙特门将：我以前是守南天门的,旺仔有内涵,483238,538100,23746,28195,1092,1236,235,334,72,82,生活,搞笑
炸猪血，你的血,炸炸强,482784,2842042,7539,52012,236,1527,43,302,83,361,美食,美食制作
柯基：被自己的影子帅到了！,萌宠大坐战miao,480525,855388,37671,64233,1569,2825,115,223,118,199,动物圈,汪星人
羊村（1）,小潮院长,478653,5851778,19423,578023,9261,188837,447,15945,12866,380753,生活,搞笑
日本赢球各国球迷纷纷祝贺中国小伙，小伙：我们的队并没有来,观察者网,475691,475691,49727,49727,2619,2619,1988,1988,586,586,资讯,环球
浙江嘉兴90后干部 因赌球欠债近2000万,四川观察,474041,474041,11724,11724,1065,1065,618,618,108,108,资讯,社会
汪小菲瓜一次性吃全，保证全网讲的最明白,爱吃榴莲的小吴同学,473516,751615,9509,23552,1386,2844,836,1948,944,2363,娱乐,明星
我的世界：4个基岩版特性，海绵无限烘干，隔空召唤凋灵？,图图图酱吖,471028,527866,20665,25383,2000,2437,71,211,123,212,游戏,单机游戏
活活笑死，年度最离谱骂战！汪小菲｜大S｜张兰｜小S,,469784,2560200,19140,97975,1654,8976,426,6690,821,7704,娱乐,娱乐杂谈
让死刑犯踢球，能不能拿到世界杯？,太阳星sunstar,464506,856883,24872,61018,2361,5201,534,1290,1753,3892,知识,人文历史
教科书式的后手调整！日本逆转德国做对了什么？,司马尘,460679,460679,17176,17176,1735,1735,2246,2246,2571,2571,,
【时代少年团】《光环中的少年——“象限”》（上）,TF家族,459107,1089723,20376,83510,5017,18857,1473,12178,6909,31055,娱乐,明星
是兄妹，更是主仆！曾看傻无数人的兄妹番！首集神展开！！,政宗君de情敌,458440,571551,25999,34536,9251,11609,412,638,4217,6171,,
上官婉儿新皮肤【神器万象笔】预览！特效好炫！大招万象宛如龙！,包子入侵SSR,454858,454858,11986,11986,281,281,2453,2453,168,168,游戏,电子竞技
完蛋！我忘记留作业了！！！,车棍儿老师在教书,451497,867448,12805,53312,2903,4298,36,463,171,682,生活,日常
太轻了！喂猪时猪会拱翻的！,大国工程师,450610,850757,5537,10177,165,327,84,236,58,102,科技,工业·工程·机械
世界杯球场只有VIP长廊能喝酒？感受一下土豪观赛体验【巢巢Vlog】,巢巢巢Even,449966,980024,33797,76144,2988,5966,391,1324,869,2200,,
得知德国输给日本，法国球星表情亮了,,449686,449686,25095,25095,602,602,856,856,68,68,资讯,热点
能看懂这集的那必然都是有文化的人！,穆天然-,446284,551308,30626,40321,1058,1323,27,92,201,352,生活,搞笑
晚上饿了，夜宵吃个那不勒斯凉拌牛杂。,刘庸干净又卫生,444305,444305,51988,51988,1330,1330,936,936,1831,1831,美食,美食侦探
卡塔尔世界杯，中国队不能只赢在场外,波士顿圆脸,443237,443237,40805,40805,2365,2365,2343,2343,2887,2887,资讯,环球
特哥我嚼碎了喂给你吃,小海锤石,440491,741281,35169,65511,934,1680,303,697,553,1290,游戏,电子竞技
这招够狠！8岁儿子沉迷游戏，父母让他休学1周打游戏：每天要玩够16小时，孩子已崩溃,新闻晨报,436557,436557,18420,18420,986,986,1938,1938,184,184,资讯,社会
好冷！见证阿根廷1-2遭沙特逆转，球迷破防现场…,汉青书半霍去病,431554,832099,5784,15282,376,1157,196,1046,358,1218,,
大爷的CPU再次高温过载！,手艺贾,429429,782798,23004,47621,909,1793,176,671,273,953,生活,搞笑
是牛全责！,Tiger西西,427182,570032,61941,89142,3815,5573,303,742,1437,3021,美食,美食制作
下次就算泥塘里有黄金～我都不下去摸了！,项真爽,426101,426101,55947,55947,2487,2487,465,465,2495,2495,生活,搞笑
街头30一桶的牛肉泡面，120买块牛肉自己做，能做多少桶？,胖龙的小生活,421109,865228,11740,30819,710,1399,310,804,1327,3737,美食,美食记录
大G竟悟出心之钢送死流打法，死一次叠200生命值，送10次叠2000？求你们快来抓我吧！,我才是熊猫大G,418943,1009370,10060,26099,301,805,182,791,555,1429,游戏,电子竞技
原以为异世界找工作很简单，不料游戏世界里全是bug,开心锤锤,418312,498146,1417,6689,1992,2414,1,44,59,139,动画,综合
因打掉球迷手机，C罗被英足总停赛2场罚款5万英镑,,410727,410727,7651,7651,318,318,1306,1306,85,85,资讯,环球
坏消息：乱剪  好消息：乱到极致,月燃CUT,409578,1887324,64500,321490,21596,95903,282,1702,13969,57921,影视,影视剪辑
