视频名称,up主昵称,播放新增,播放总数,点赞新增,点赞总数,收藏新增,收藏总数,评论新增,评论总数,投币新增,投币总数,一级分类,二级分类
折叠屏iPhone全球首发！「科技美学」出品 iPhoneV 经费爆炸/怒肝300天,科技美学,1761572,2753644,165272,277006,33536,58039,2904,5945,183239,308728,科技,数码
在英国下雨不打伞的人确实不少！到底为啥？我简要的总结了几点。,宝哥在英国,1742839,2204398,45855,53571,2616,3142,588,810,237,291,,
今晚上这座城市又多了一个伤心的人,岛城三人行,1350943,2173178,128711,197003,12446,18517,2107,2918,3033,4353,生活,搞笑
史上最臭米粉...真香！,绵羊料理,1251113,1251113,130361,130361,8759,8759,3157,3157,29871,29871,美食,美食制作
眼“色”游戏 （9）,小潮院长,1219542,1219542,197685,197685,39372,39372,5257,5257,96687,96687,生活,搞笑
鸡你太美生命力为何如此长久？硬核分析鸡你太美的爆火之路【ikun理论强化课】,悠悠球琛总官方后援会,926601,1167352,22277,65069,19513,26768,371,1098,3508,6685,生活,搞笑
战辉榴莲姐,战辉,873405,1044435,79008,101362,9063,11424,934,1525,5758,8204,生活,搞笑
净化宿舍环境，从我做起,三哈兄弟-沙雕日常,871092,1060218,123554,151384,7665,9070,335,582,8406,12936,生活,搞笑
当老姑婆上司误会了你喜欢她！,真子日记,792634,1584026,72810,140593,2976,5349,565,1928,3761,9473,生活,搞笑
【病人日记】我是第三方派遣病人,我叫孙火旺,788561,1063300,59925,104440,9783,15882,1314,3350,55167,91061,生活,搞笑
特朗普：美国跳过了社会主义 已经进入了共产主义,凤凰新闻,783255,1028017,71182,86174,8970,11060,1088,1653,1469,1768,资讯,环球
雅俗共赏,文武俩兄弟,756165,1287422,97425,166820,2897,5364,303,1776,6794,18688,生活,日常
叫了几个造型师来改造自己，结果成了氛围感帅哥，这算成功吗？？？,永琪吗,747830,1107482,100975,149584,2974,3936,632,1536,1952,3879,生活,搞笑
小超梦回应卡萨鹏：你jb谁啊？不乐意就滚啊，我欠你的？,火播君,732145,732145,12647,12647,890,890,6408,6408,2449,2449,游戏,电子竞技
蓝 色 女夭 女臣,KM基二号,681060,1377575,41222,86180,12291,24244,504,1213,8750,16937,鬼畜,鬼畜剧场
旅游博主呼吁不要用“叙利亚风”，这是一个国家的苦难,中视央广传媒,675282,779318,72277,85669,3319,4084,2215,3379,2108,2755,资讯,社会
花48小时居然用积木复刻了迪士尼城堡烟花秀？,唐尼是个der,662641,848076,6404,29545,11063,12359,15,343,746,3233,生活,手工
萍乡.黄矮生态食府  厨子探店?246,真探唐仁杰,660293,660293,52923,52923,1970,1970,1200,1200,1874,1874,美食,美食侦探
放射线辐射，会让摄像头变模糊吗？,地球百科君,626530,1248298,44010,70019,3591,6682,423,1219,315,728,知识,科学科普
冰天雪地高海拔，旱地拔葱问题不大。,TaxiWay飞行中心,621957,676716,29543,34029,2015,2204,73,113,113,135,生活,日常
S赛史上最具故事性的决赛！Deft九年生涯终圆梦！DRX VS T1决胜局复盘,LPL战术小黑板,615246,615246,29373,29373,4208,4208,2079,2079,7497,7497,游戏,电子竞技
【云顶之弈S8】全英雄全羁绊曝光！3费龙龟/2费亚索/5费铁男!5费雪人!5费日女!5费辛德拉!新赛季大爆料！,LOL小绿毛资讯,588172,669174,11010,13424,826,917,980,1335,533,600,游戏,电子竞技
不兴丢的安瓿瓶！,笑点有点低哦,584426,1477320,10177,48573,1747,3441,327,1440,89,203,生活,日常
《点燃我，温暖你》：好无聊的一部舔狗剧,路温1900,580080,580080,56965,56965,4448,4448,8028,8028,14349,14349,影视,影视杂谈
俩猛男差点被撑爆！800一人的“奇葩”自助餐到底有多离谱！？,哇塞几张,579881,579881,52273,52273,4082,4082,1159,1159,11971,11971,美食,美食侦探
会场解说：安理会90秒速通海地黑帮，一致通过制裁决议,小Q不是导盲犬,566076,794955,15156,23473,3113,4567,245,563,2810,4418,知识,社科·法律·心理
警情通报！山东防疫人员拖拽殴打居民 7人被拘,津云,562342,562342,22310,22310,3233,3233,365,365,1553,1553,资讯,社会
【灵魂莲华瑟提Cos】看什么？下一个就抱你！S12总决赛日，英雄联盟小镇等你来偶遇哦,爱举铁的熙熙哥,559773,1151134,54754,96307,5251,9666,379,912,1619,3608,,
假如相亲对象的好友是HR,papi酱,557235,3450527,2307,345992,394,26069,15,3570,294,64668,生活,搞笑
川普脱口秀11月6日，我不惧风暴，因为我就是风暴,胖达粑粑,554002,614015,25890,31601,5019,5769,1089,1541,2265,2935,生活,搞笑
摆！,,549214,4088490,10011,403862,12544,76060,45,7807,3733,166071,生活,搞笑
中期选举倒计时！懂王拜登奥巴马同城交锋,波士顿圆脸,545604,1155888,23381,74184,974,4503,376,1946,2566,8556,资讯,环球
“你们不要再这样吃面了，这样只会饿死我！”【5】,盗月社食遇记,544715,1642037,37920,151419,3619,14606,449,2390,18568,64602,美食,美食侦探
一辈子只能见一次的天文奇景！今天18时16分，月全食将上演，持续86分钟。届时还出现“月掩天王星”天象，据测算，下一次月全食与“月掩天王星”会面要等到4344年,河北共青团,535084,535084,8424,8424,1844,1844,2389,2389,131,131,资讯,社会
美女深夜生蚝吃到饱！生腌酷酷炫！,小紧张的虫虫,532467,532467,42777,42777,2586,2586,853,853,7428,7428,美食,美食侦探
我化身荒野大彪子，狂扁蚁狮王,游戏人阿管,525776,670706,3270,12695,11359,12369,10,156,1001,4135,游戏,单机游戏
《就你叫不可阻挡？》 现版本辛德拉的E技能推开一切 包括不可阻挡！,兰晨辛德拉,517992,1448288,14772,37181,638,1560,292,906,234,418,游戏,电子竞技
盘点那些满级动画！啪啪打脸，自信的GGBond！满级动画！,阿羡搞笑,508789,1403811,3301,7552,19181,48257,22,59,532,1171,动画,综合
