视频名称,up主昵称,播放新增,播放总数,点赞新增,点赞总数,收藏新增,收藏总数,评论新增,评论总数,投币新增,投币总数,一级分类,二级分类
你们搁这儿套娃呢？,阿星and阿奇,1660108,2187803,21242,73031,17717,23662,44,258,694,2625,生活,搞笑
敲黑板！奥迪RS性能车线上公开课开课啦！,欣哲频道,1309980,1753538,1736,3072,224,354,24,47,215,339,生活,日常
活活笑死，年度最离谱骂战！汪小菲｜大S｜张兰｜小S,一只吐槽圆,1308475,1308475,55818,55818,5175,5175,4445,4445,5187,5187,娱乐,娱乐杂谈
富贵不能赢是什么梗【梗指南】,梗指南,1231634,1231634,92899,92899,4158,4158,2238,2238,1089,1089,生活,搞笑
带大家认识一下不信女,呆毛小鹏,1200739,2200356,54187,81887,3684,6067,807,1175,491,847,生活,搞笑
《原神》寻味之旅——「璃月食集」第二期,原神,1132416,1132416,167857,167857,25990,25990,7113,7113,64126,64126,游戏,手机游戏
毛肚本来的样子。这是一顿有味道的火锅！！,孤独美食咖,1123642,1487127,48999,83922,2530,3592,357,682,1091,2270,美食,田园美食
羊村（1）,小潮院长,1008162,4709832,47743,529085,28049,164540,875,14830,31376,348586,生活,搞笑
苟且偷生,文武俩兄弟,937793,1823114,125085,236994,4566,9155,450,2257,11032,33939,生活,日常
首次回应！网传“圆通之子”是真的吗？500w粉能女装吗？,影视飓风,911771,1432038,69394,135047,8828,18216,1571,3498,38546,72887,生活,日常
我管不住我的嘴#胡说八道 #精神状态,大莫莫cool,906234,1480603,96815,146993,7717,11064,400,623,689,957,影视,短片
爆冷输球！梅西点球破门 阿根廷1-2负于沙特,央视新闻,893681,893681,30154,30154,931,931,5905,5905,510,510,,
【罗翔】倒卖三星堆文物该怎么判？,罗翔说刑法,795320,795320,78058,78058,3531,3531,2275,2275,9438,9438,知识,社科·法律·心理
从原料开始做费xx巧克力成本需要多少呢？,苟宋本苟,753849,1249242,98523,154753,7347,10543,216,431,3793,6696,美食,美食制作
两国皇帝将下棋当打仗，每走一步棋，士兵就要按要求真实厮杀！,幕撩电影,708444,1047735,6709,7916,1828,2554,122,220,105,155,影视,影视杂谈
围观群众不地道的笑出声,360记录仪车祸现场,700468,700468,40102,40102,6773,6773,856,856,856,856,汽车,汽车生活
【柳岩】世界杯开幕 我进球了,柳岩LIUYAN,697955,1029936,72995,88420,2861,3835,797,1401,1380,1938,舞蹈,舞蹈综合
杭州.小红帽包子  厨子探店?56,真探唐仁杰,692013,692013,60821,60821,1948,1948,1054,1054,1613,1613,美食,美食侦探
十个人叫欺凌，一万个人叫正义,翠花不太脆,677416,677416,77349,77349,26882,26882,2495,2495,42471,42471,音乐,原创音乐
室友为我精心制作的蛋炒饭……,下铺阿豪爱偷吃,671160,933365,41679,47947,1997,2431,842,1106,256,277,美食,美食制作
还没入口就化了,宝鲁日GO,669052,2407577,44627,186163,1621,5992,139,1193,800,2678,美食,田园美食
阿根廷大战沙特 我跟女朋友决定各支持一方！,地位极高硬气鑫,658341,658341,46010,46010,1788,1788,3670,3670,2212,2212,影视,短片
原以为水平差不多的同学，却都是意想不到的大佬,开心锤锤,635805,747649,2111,9921,1525,1975,0,50,64,148,动画,综合
在面馆给一小伙身上画个画,潮绘师王大呀,619942,706932,8445,10103,686,884,89,115,134,157,生活,绘画
球迷偶遇酋长儿子 被邀请到家中撸狮子 网友：头顶一张布...,红星视频,587673,587673,68191,68191,3465,3465,980,980,305,305,资讯,环球
范大酋长怒批卡塔尔国足，钱都不要了！,浅澄月,582315,1068872,27511,54138,3647,6756,459,1455,2165,4296,鬼畜,鬼畜剧场
黑亚当这么无敌竟然还需要用手挡子弹，原来是为了致敬某个人,全球不知道,579348,579348,25687,25687,1190,1190,506,506,122,122,影视,影视杂谈
你们猜猜我家隔壁住了谁,云吞它爹,578131,753449,57337,82635,1387,1783,63,146,252,466,生活,搞笑
叮咚！冰冰邀你来《国之大雅·二十四节气》一起过“小雪”,央视频,577695,1183153,57888,123528,3042,6020,1973,4797,13898,26438,资讯,综合
中老年高校直播间....,熬一耶ye,574381,1006836,84056,144472,5256,7885,398,1062,6311,12250,生活,搞笑
米 津 玄 师 被 创 飞,浑元Rysn,574211,706665,124407,144234,17854,19538,381,760,4720,6790,音乐,演奏
大大方方承认更圈粉,十一的看脸日记,566514,566514,39024,39024,1401,1401,1220,1220,1019,1019,娱乐,明星
大海无量，好好玩啊，这个迷你船锚，你知道他是干嘛用的吗？,,564191,1480124,7772,16261,472,1127,63,247,84,192,生活,手工
这玩意能出20期在座的各位都有责任。,阿泽u稻草人,556340,662544,24043,34413,556,761,216,332,413,867,游戏,电子竞技
中国队为什么不参加世界杯,狈总,554405,6300196,51129,572495,5758,53405,476,11368,3104,29549,生活,搞笑
无良商家的诚信何在？,中国食品报融媒体,548619,687288,44175,64142,1613,2298,666,1543,753,1928,知识,科学科普
我会为你在全世界面前做出这个庆祝！格拉利什和患脑瘫的小球迷的暖心约定,司马尘,538694,538694,32697,32697,3171,3171,948,948,5839,5839,,
【南天门计划】“本片内容，纯属科幻。”,共青团中央,532795,532795,56186,56186,5694,5694,3196,3196,4000,4000,动画,综合
热搜上不忍直视的“黑桃A”事件：网红审美，还要祸害多少人？,小椰子专栏,530674,530674,22890,22890,3213,3213,2772,2772,4502,4502,知识,社科·法律·心理
世界杯的真球迷和假球迷！,是个维维啊,519690,672394,48640,67863,1597,1926,113,234,132,281,生活,搞笑
现场看球还发包？土豪国究竟有多豪？,退钱哥本人,517693,669179,30332,40788,636,916,553,949,1277,1793,,
什么？“中国队”居然也参加世界杯了？,潘小美,511355,716907,74718,102332,8942,12435,484,729,575,816,知识,科学科普
心之钢送死流塞恩，10316滴血，7-16疯狂秒防御塔！,我才是熊猫大G,507254,507254,17169,17169,909,909,697,697,1774,1774,游戏,电子竞技
当你带低情商女友参加庆功宴,真子日记,500658,500658,40002,40002,994,994,877,877,1630,1630,生活,搞笑
女生帅起来真的没男生什么事了,笨重的熊,500051,1455180,12535,40159,2828,8447,90,189,166,387,生活,日常
龙卷风摧毁停车场,,498960,498960,42478,42478,10098,10098,1354,1354,1377,1377,汽车,汽车生活
你 先 开 的！【Theshy的奇妙冒险04】,Theshy,497080,497080,49782,49782,6552,6552,1241,1241,29495,29495,游戏,电子竞技
皇上：臣妾厉不厉害！！！,鲲局长,491754,1068632,51860,100296,6097,11999,255,683,1785,3892,鬼畜,鬼畜剧场
文森特：1300层新之钢德莱文，5000血直接站撸对面！！,芝士蜜蜜啦,487927,1010678,10662,21501,447,921,353,1164,446,907,游戏,电子竞技
领导想不起来的那些事，你真的要提醒他。,圆脸颖入职记,487290,3351626,46288,366354,5010,31943,232,1682,2999,14160,生活,搞笑
以后接机油再也不烫手了,汽修老板必读,485670,2229440,7416,34633,235,968,56,374,81,269,汽车,汽车生活
《合金弹头：觉醒》首支CG公开 | 街机神作，预约开启！,合金弹头觉醒手游,484577,2513673,10362,55905,980,4816,423,2962,226,1001,游戏,手机游戏
2022“最差”世界杯球迷主题曲？网友：太魔性了，听完会下蛋,下饭音乐,480602,768358,24305,35711,2009,2991,395,669,198,289,,
猴子史诗级加强！直接踩友方跳！离谱！李白大招增强但破甲削弱！,包子入侵SSR,475830,475830,15795,15795,458,458,4266,4266,124,124,游戏,电子竞技
求求你们别把我当反面教材了，我失联十几年的大学同学都来同情我了,手抓引力波,474512,512122,19851,23692,2077,2453,1384,1727,6084,8181,生活,日常
卡塔尔退钱哥？ 网友：听不懂说什么，但意思我大概懂。,,474345,474345,35623,35623,2635,2635,697,697,260,260,资讯,环球
【假装讲电影】全程爆笑！韩国票房冠军！为了3000万彩票！男子潜入朝鲜军队！,假装讲电影,472120,1543792,29143,68948,7138,16045,264,1357,4031,16872,影视,影视杂谈
你们说的“甲亢哥”，可能正在成为油管历史上最大的“奇迹”。Who is speed?,于中美,466981,497481,9743,10519,1523,1637,844,1024,1199,1359,生活,日常
演化|| 为什么想拿到中国的“神仙编制”必须得灵？【详解关公封神之路】,渤海小吏,459588,459588,32814,32814,7797,7797,1423,1423,20041,20041,知识,人文历史
炸猪血，你的血,炸炸强,458743,1337535,9714,23924,257,645,59,168,47,117,美食,美食制作
伊朗队为支持国内女性争取自由，赛前全员拒唱国歌,,450704,450704,45088,45088,2558,2558,4312,4312,1245,1245,资讯,环球
我将用一句话换来10万赞！！！你猜我说了什么？,张十七历险记,443333,443333,50560,50560,1562,1562,1019,1019,7049,7049,时尚,健身
【赝波行动】在建沙滩35级强杀 【未照耀的荣光】【黄昏】【真银斩】,莱茵实验组,442894,442894,40703,40703,5390,5390,2572,2572,12476,12476,游戏,手机游戏
