视频名称,up主昵称,播放新增,播放总数,点赞新增,点赞总数,收藏新增,收藏总数,评论新增,评论总数,投币新增,投币总数,一级分类,二级分类
哪个国家专克带英？【奇葩小国42】,小约翰可汗,1753090,1753090,189817,189817,36143,36143,7480,7480,113651,113651,知识,人文历史
“章鱼村其实就是章鱼养殖场”,锅锅漫剪Y,1505690,2157628,2045,6520,13683,18842,7,132,340,804,,
我，30岁，靠吃妹妹软饭在B站爆火！！,张十七历险记,1353278,3352137,64418,166551,3113,7486,553,1529,14059,34656,时尚,健身
【暗区突围】山谷风云：多斯·安东尼的回归,暗区突围,1298053,1298053,68165,68165,6944,6944,839,839,1780,1780,游戏,手机游戏
全国最高的100座巨型雕像，这压迫感，巨物恐惧症犯了！,末末游记,1085420,2607495,11540,40201,48687,99962,122,2366,4134,13779,生活,日常
大雷子卖的美食好吃吗？,郭小嚜,1066281,1154928,2580,5613,12839,13405,17,137,342,585,美食,美食记录
与其精神内耗自己，不如发疯外耗别人,会为你画大饼,1066100,1345582,140574,173418,27301,35988,932,1212,4816,6105,生活,搞笑
我 啥 都 吃,巴拉克游戏君,1048672,1611409,553,2094,2649,5697,-1,24,59,100,生活,搞笑
【衣锦夜行】炉石国服停服？跟大家聊聊心里话,高冷难神衣锦夜行,1047688,1401252,22225,28680,2791,3719,2844,4271,3189,4550,游戏,桌游棋牌
熟练得让人心疼,,1027430,2573207,721,12279,2306,9628,0,19,58,200,生活,搞笑
绍兴.孔乙己  厨子探店?391,真探唐仁杰,975783,975783,73237,73237,2167,2167,1735,1735,2204,2204,美食,美食侦探
幂好油，凯好笑，up被剧情气到！,一只吐槽圆,918383,918383,45386,45386,3173,3173,3432,3432,4711,4711,娱乐,娱乐杂谈
驴鸽直播中突然看到暴雪公告脸色瞬间变了：这怎么办兄弟们！,游戏BBQ,916526,1588677,10912,18974,780,1316,1049,2333,110,194,游戏,电子竞技
"太监与宫女的""对食""和""菜户""分别指什么？皇帝见一对杀一对的原因！",野拾叁,900614,1140337,22164,33025,3083,4413,391,556,2676,4167,知识,人文历史
【老司机】令人发指！国服刚宣布停服，暴雪开始在外服搞庆祝活动！（魔兽世界资讯信息）,空车老司机,872439,872439,21799,21799,2080,2080,6089,6089,6866,6866,游戏,网络游戏
《我肯定在??百年前就说过__》,一秒钟都不会来,871250,2225840,101234,236101,36186,83019,595,1828,17309,39890,鬼畜,人力VOCALOID
我的世界杯首秀来啦,退钱哥本人,839460,839460,67524,67524,2359,2359,1394,1394,10823,10823,,
《宿命回响：弦上的叹息》奏者PV[幻想即兴曲] - “笑容的守护者”,宿命回响,820593,820593,12138,12138,2053,2053,227,227,1498,1498,游戏,手机游戏
暴雪全家桶停服时间公布：网易已宣布游戏退款流程,泰莉亚子,791509,2252636,8270,22822,871,2790,1695,4678,198,594,游戏,网络游戏
《 假如女朋友是有钱人 》,狈总,770462,1504841,73285,148116,4526,7581,373,1044,1347,3326,生活,搞笑
每天一个告白小技巧,八云兔不秃,763526,3262902,78490,345600,10457,43200,936,5033,5979,22650,生活,搞笑
足协杯爆大冷！甘肃泾川县业余球队击败老牌强队北京国安！,甘肃共青团,752091,752091,30242,30242,3322,3322,4578,4578,5902,5902,,
童年引爆全国的动画！《小鲤鱼》的最终结局和剧情究竟是什么？【拾荒记#29】,野灿baka,751009,751009,42405,42405,8611,8611,1548,1548,10573,10573,,
粉丝-1 ！二男一女在酒店吸毒致幻后各种迷惑行为拉满，未完待续。,阿特警官,733726,7380186,6712,255032,7471,50314,136,6945,807,14151,资讯,社会
2022骁龙峰会 | 第二日主题演讲回放-中文同传,高通骁龙,727123,1147475,1678,2864,182,302,65,131,143,234,科技,数码
是鸠占鹊巢，但是夜食记版。,盗月社食遇记,715483,715483,88369,88369,8060,8060,1337,1337,32061,32061,美食,美食侦探
招人恨的手机广告，怎样才能彻底除掉？,李大可爱玩,705727,912715,10672,16370,35638,49941,765,1225,5557,8155,科技,软件应用
【短评】14年的“网暴”联姻为何终究破裂，国服谁能接盘？,芒果冰OL,701222,701222,40721,40721,3891,3891,3890,3890,7939,7939,游戏,网络游戏
半夜饿了睡不着，喊老姨给我做夜宵！,刘庸干净又卫生,700475,700475,42675,42675,1498,1498,1945,1945,4263,4263,美食,美食制作
“你们鬼畜区没有一个正常人吗？”,核动力路灯,695045,910577,82554,95135,15511,17956,486,711,12157,15170,鬼畜,鬼畜调教
美国一黑人男子持刀街上殴打女子，警察赶到连开14枪将其击毙,东方今报,694113,694113,28323,28323,2626,2626,1250,1250,351,351,资讯,环球
《岳父的计谋》,饭饭情感故事,694076,1991172,39468,95149,1813,3890,192,819,380,846,生活,日常
我花两周，把阳台改造成对面邻居羡慕的样子！,一粒沙的生活,679640,2835236,11880,97460,4448,22155,197,2662,463,2679,生活,家居房产
不同玩家对网易暴雪离婚的反应,Shi咪,674841,1061240,34977,56223,2491,4549,1701,3283,5115,12073,游戏,网络游戏
看这种视频只会浪费你两分钟,落九川,668101,1858784,21012,74466,3504,10328,844,3971,3239,9926,生活,搞笑
当一颗番茄来到太空……,老番茄,660551,660551,113608,113608,32735,32735,2521,2521,56604,56604,音乐,原创音乐
决战！碧游村！《一人之下5》2022年12月高燃来袭,腾讯动漫,656176,656176,41221,41221,4581,4581,2593,2593,7702,7702,国创,国产原创相关
使 劲 叫 唤 ：占戈 区,麦咾源Bingo,653744,754310,62382,72932,14983,16678,555,797,8626,10493,游戏,单机游戏
挑战,DY小哈皮66,653077,1446771,8989,19526,1242,3609,171,522,327,860,动画,综合
为什么这个通缉令是红色的,俏佳人xxx,605952,605952,98831,98831,4723,4723,1041,1041,4493,4493,知识,社科·法律·心理
科技与狠活的微缩小玩具！这白砂糖完全不融啊！,玩具测评总动员,592842,907461,8323,13446,710,1415,24,60,90,123,动画,手办·模玩
暧昧让人受尽委屈！,派小轩,581785,581785,49706,49706,1036,1036,480,480,1474,1474,影视,短片
BeryL得知原神官方给自己送礼物！立马开心的用中文说感谢：谢谢 谢谢！,,578571,941756,11817,20001,1512,2473,1470,2597,209,343,游戏,电子竞技
「希望之前，阴影之后」,火环,572867,572867,29842,29842,4829,4829,2801,2801,10851,10851,游戏,手机游戏
当初那个蹭原神热度的外乡人现在怎么样了,雷雨Lyy,568444,568444,54874,54874,3315,3315,1769,1769,10453,10453,游戏,手机游戏
最令人满意的报复方式续集来啦,地球探知张探长,567479,2075081,625,15920,2796,12725,2,114,59,195,动画,
暴雪和网易谈崩了，玩家怎么办呢？【雪鸡观察局131】,动动枪DongDongGun,567438,743979,19738,30363,1451,2490,1889,2625,742,1254,知识,社科·法律·心理
农村小伙来省队滑冰被嘲笑，怎料下一秒逆袭赢了大魔王队长！①,幕撩电影,565400,2668884,343,1740,2314,11740,0,2,115,410,影视,影视杂谈
汉鼎螺纹钢伸出去体验一下，对面大爷都惊呆了。,阿哲的鱼米之家,558126,941835,13140,17237,509,699,303,617,88,175,知识,野生技能协会
啊啊啊冰冰要回来了！ 打心里替她开心！央视这一波直接击中我的心巴啊啊,是国超得不到的女人,554073,579322,42454,44118,2599,2718,1513,1643,3306,3411,娱乐,明星
可口可乐奇幻创意短片：原来可口可乐是这样做出来的呀~,广告圈poor猴,553084,1017802,2463,10721,12200,20312,1,117,172,370,生活,日常
漫威禁地「癌变宇宙」有多恐怖？吞星头颅被做成引擎，史诗级魔改大战天神族,努力的Lorre,538823,538823,59789,59789,5683,5683,466,466,11454,11454,动画,短片·手书·配音
我反思！我为清道夫渡金身！功德炸裂！！！！,鄙人汪谋,536809,536809,34304,34304,1248,1248,659,659,1102,1102,动物圈,动物综合
2022骁龙峰会 | 首日主题演讲回放-中文同传,,536661,1971088,1556,4764,167,647,84,258,137,429,科技,数码
离谱！国产游戏发售一天直接下架？《大多数》目前已经无法购买！,夜神说话,533866,533866,5384,5384,772,772,3250,3250,148,148,游戏,单机游戏
我，祖安宗师ad女玩家被人说开脚本,厄风琉斯,533816,1991881,1404,9391,86,532,1578,19540,68,907,游戏,电子竞技
定海神针变金箍棒了？,大国工程师,530169,731441,15724,20525,345,462,214,393,83,110,科技,工业·工程·机械
四大颜色战神光临？不得怠慢！赶紧拿出上好的黄金切尔西,辉哥游戏解说,528480,850519,1016,2205,12011,17879,21,70,139,272,游戏,单机游戏
开幕雷击！《猫和老鼠》的片头竟然这么有趣！有秘密彩蛋？,大福咕咕,527741,1212099,10453,58565,32048,61279,38,543,4775,21724,,
树叶宣布停播！叶：他们说的也没错，正式地道个歉！停播一段时间，好好沉淀冷静一下自己，我们巅峰再见！,,523318,523318,15095,15095,679,679,4130,4130,368,368,游戏,电子竞技
只是烧了敌方首将的胡子，竟使得百万大军退兵,开心锤锤,521512,585965,1212,5286,1396,1665,0,53,52,122,动画,综合
艺考生因为一幅画，竟被老师看出生病了，检查结果让他崩溃！①,,513362,3279251,219,1833,1171,10047,1,6,50,436,影视,影视杂谈
这也太帅了吧！,鲜瓜保熟,507093,776959,2757,25484,11182,13122,1,92,95,291,生活,日常
《原神》拾枝杂谈-「莱依拉：沉眠星河」,原神,505944,505944,67858,67858,4656,4656,4014,4014,6855,6855,游戏,手机游戏
四百米为什么最难跑？甭管水平有多高，全力跑完你都得趴地上！,体育在读生,498726,1058509,557,1033,2224,4646,0,1,68,132,运动,竞技体育
这种天气还真没见过！,BBGG丶狮子喵,496475,768154,83038,114839,10338,12298,1257,2493,3420,5720,生活,日常
当你在校运会上唱起《孤勇者》并跳起了《爱你》| 南科大2022校运会开幕式力量举社表演,大勒個熊,493697,6867901,45044,586480,5927,65682,249,3948,6976,97880,时尚,健身
二男一女在酒店吸毒致幻后各种迷惑行为拉满的结局,,489991,1316952,28557,77716,1528,3965,629,2545,869,3023,资讯,社会
杀人篮球是什么东西【梗指南】,梗指南,486196,702150,33606,52163,1194,1763,716,1610,1604,2577,生活,搞笑
吃大闸蟹的正确吃法,老赵精品大闸蟹稻田蟹,484584,1130745,31407,62396,8224,16920,257,580,549,1208,美食,美食记录
大中小杯可乐真的一样多吗？帅小伙亲测！,秋刀鱼的快乐生活,482156,2432085,150,3022,799,6349,18,1245,20,284,生活,日常
大家帮想想办法，以后再遇到这个大妈我们怎么解释？,岛城三人行,479590,1465812,65463,188519,6268,18143,269,901,1060,2602,生活,搞笑
形意拳的蒋师傅到底有多能打？真正的武英级女中豪杰,李小龙谜之传人,478997,523592,35036,37219,4023,4303,309,397,327,371,影视,影视杂谈
【人之怒】光头暴走有多猛，为报弑子之仇，独自一人血洗整个帮派！,流心影者,478972,2428024,1714,8541,8384,38112,6,59,300,1357,影视,影视杂谈
《17.5》,温稚oO,469843,523941,20696,25373,419,493,410,629,243,383,游戏,电子竞技
米津玄师被创飞是什么梗【梗指南】,,469002,1377231,55908,139768,11528,20316,150,1305,1432,3525,,
“你看，这个世界好温柔!”,柒杯抹茶星冰乐--,466742,2860180,25470,238719,40761,187143,211,4356,7081,57636,生活,日常
夜吹谈网易暴雪分手泪目：我的奖杯都没含金量了！,,466614,1114493,4838,11889,367,874,351,1408,40,92,游戏,电子竞技
逆徒！！！,亿剪盖儿,463196,3519655,36692,323856,7367,50210,203,1934,7359,58276,动画,短片·手书·配音
来逐帧看看这是不是锁,黑洞king,461370,1450993,3428,17947,97,528,4318,20043,228,1300,游戏,电子竞技
30分钟彻底说清为何不能赌球！离世界杯开幕还有3天！现在看这视频还来得及！,扑克经济学,461042,461042,18440,18440,8213,8213,3108,3108,10452,10452,知识,财经商业
“不会就学！表情夸张才不是五官乱飞！！”,混剪小飞侠,460965,500787,27528,29175,2947,3123,194,222,282,307,影视,影视剪辑
《不做》,懒小熊_LXX,460848,872099,63727,115737,13243,22675,570,1096,5442,9558,动画,短片·手书·配音
朴振英+张元英合作新曲Groove Back首舞台公开,pcyxjy,459154,459154,14940,14940,2549,2549,3979,3979,371,371,音乐,音乐现场
跟着女儿回家的受伤流浪猫，她们好像已经认识很久了！,温暖友宠,458535,923163,791,12695,2207,5476,5,558,147,2340,动物圈,喵星人
早知如此，我晚上是不会出门的,也就那点事儿-,456877,916523,67609,135273,5225,8493,273,853,2316,6771,生活,搞笑
【花小烙】稳婆帮忙接生只用在旁边进行精神鼓励吗？,画渣花小烙,455940,1475037,11161,123574,3973,10743,31,1720,373,8396,知识,科学科普
《关于我在重庆的一天》居家幻想版，大家居家都在吃什么呀～,富婆雯仔100道路边摊,454112,3474083,31177,266249,5931,41461,366,3758,697,3992,美食,美食侦探
狄仁杰新皮肤怎么还学会气功了,尴尬的铁根er,451795,451795,41607,41607,781,781,911,911,1440,1440,游戏,手机游戏
恐怖片票房黑马，观看时请关好门窗！深度解读黑马恐怖片《野蛮人》,小片片说大片,451098,451098,30581,30581,4749,4749,633,633,3253,3253,影视,影视杂谈
你好，局长，欢迎回来。,清和Alicia,445644,445644,50210,50210,12119,12119,933,933,9865,9865,时尚,服饰
10年前的宝可梦好友竟然通过QQ回复我了！,宝可梦大次郎,445624,1176695,10354,57636,4003,13742,35,654,260,1367,游戏,单机游戏
征服者·叶问,小芃路子野,444087,556388,62037,74745,6764,7885,247,538,4336,6716,生活,搞笑
我这么甜怎么可能长的像男孩子呢,侯翠翠,435938,435938,33691,33691,935,935,1300,1300,4514,4514,生活,日常
困扰乌龟一生的藤壶，今天总算被人类全部清理干净了,缘来爱动物,435162,706091,758,1698,7242,10852,4,12,215,341,动物圈,动物综合
我直接一整个震惊住！,i爱探险的Dora,434537,19082192,1667,293620,1750,202107,76,11992,280,22323,时尚,美妆
德云色回应：为什么邪剑仙没被官方封号？3个月内无脚本行为，十天没结果5万我们给了！,天才美少女深野昂,431179,431179,2676,2676,178,178,1280,1280,80,80,游戏,电子竞技
这可不兴点开啊！,-欣小萌-,431080,431080,40822,40822,3765,3765,1725,1725,8201,8201,生活,日常
挖掘机师傅：给大家表演个挖掘机炒菜吧！,笑点有点低哦,428506,2448979,266,31950,957,5892,0,266,23,297,生活,搞笑
大学生新型宠物图鉴,人类行为图鉴V,425083,512165,54906,64994,4982,5808,157,277,371,520,生活,搞笑
武汉一餐馆内大白突然上门通知疏散，店内十几桌顾客全部跑单,网易新闻,417361,417361,14247,14247,859,859,1008,1008,298,298,资讯,社会
一眼就能学会奇招，轻松制伏武侠凤凰，阿波到底有多天才？,不正经的小酥肉,415292,976955,1094,18621,3348,8460,5,96,69,218,动画,
小伙留学时捐的小蝌蚪，没想到多年后回中国找爸爸！①,,415139,1509809,275,1170,1304,6033,0,3,49,232,影视,影视杂谈
【Saya Scarlet】算是符合中国粉丝要求的可爱帕瓦吗,SayaScarlet39,410374,611493,69230,87092,15325,19556,314,658,3813,5850,,
河道，剑魔，懂？【TheShy的手游首秀】,Theshy,409874,409874,25462,25462,1130,1130,950,950,3931,3931,游戏,电子竞技
三个称同时称东西，准不准？,李论科学,406004,1060770,17396,46287,570,1534,194,675,61,199,知识,科学科普
《聪明的墨菲特》,联盟晨大导qaq,405276,912622,29048,68632,2377,5183,119,270,734,1411,游戏,电子竞技
这我真的服了！！太犇了！！！,灵鹿麟,403998,12167085,6118,190755,3372,113740,9,206,427,11519,时尚,美妆
?踏入白色殿堂，你选择谁？?,在下小狐兔,403847,633499,62689,102276,33961,52603,604,1516,19318,33056,动画,短片·手书·配音
【原神动画】此刻，重现魔神战争的一角,light是光华,402938,1088412,72575,179299,26498,67069,3,2597,13222,37336,动画,短片·手书·配音
爆笑解说：盘点那些令人喷饭的小学生作业！,多巴安工作室,400855,902602,1230,4135,6795,14626,1,16,51,197,生活,搞笑
【10月】路人超能100 III 07 【独家正版】,哔哩哔哩番剧,400743,2074315,4151,32011,22,78,119,1576,1644,9264,番剧,连载动画
《    无    缝    衔    接    》,流萤Zz,399934,762677,44814,81655,7928,17943,175,580,3521,7354,生活,搞笑
40天做一款游戏？?|?米哈游 2022?Mini?Project?实录,米哈游miHoYo,399833,399833,32167,32167,4324,4324,2732,2732,5158,5158,知识,职业职场
炉石各大主播谈网易暴雪终止合作 国内玩家何去何从？,,395989,395989,7183,7183,1275,1275,1030,1030,298,298,游戏,电子竞技
