视频名称,up主昵称,播放新增,播放总数,点赞新增,点赞总数,收藏新增,收藏总数,评论新增,评论总数,投币新增,投币总数,一级分类,二级分类
【年度泪失禁短片】不管你去到哪里，妈妈明天一定到,Siri的观影日记,1856295,1856295,123384,123384,21891,21891,1572,1572,22232,22232,影视,短片
粉丝-1 ！二男一女在酒店吸毒致幻后各种迷惑行为拉满，未完待续。,阿特警官,1461199,5935697,26124,236355,12427,36480,712,6477,2489,12149,资讯,社会
袁隆平作词，三代合唱团同台演唱《种子》，禾下乘凉梦终能实现,王者荣耀,1147841,1340123,113978,142012,12778,16164,1946,3173,16496,24454,音乐,音乐现场
三星蕾欧娜1V9，头顶苍穹脚踏天,佰鹤羽,1061268,1061268,18193,18193,433,433,1071,1071,991,991,游戏,电子竞技
三国博卡萨是被谁打败的？【小约翰】,小约翰可汗,1055414,1055414,90215,90215,11353,11353,3475,3475,24358,24358,知识,人文历史
逆徒！！！,亿剪盖儿,968097,2393776,95950,230502,14814,33268,524,1441,15938,40498,动画,短片·手书·配音
邻居装修拆掉承重墙，结果整栋楼变成了危房,我是苦十八,913959,985448,1279,1985,6700,6925,19,68,223,284,动画,综合
《关于我在重庆的一天》居家幻想版，大家居家都在吃什么呀～,富婆雯仔100道路边摊,897056,2438477,69045,194236,11425,27700,922,2781,1253,2474,美食,美食侦探
当我让53岁的爸爸COS七海建人,大米壹袋袋,891489,1018784,140003,159591,25314,29222,1900,2413,16521,19882,,
手机游戏正式进入光线追踪时代【逆水寒手游X高通骁龙】,网易逆水寒,845193,845193,20194,20194,9939,9939,2701,2701,7607,7607,游戏,手机游戏
本来挺喜欢扭脖子的……,建客8米2,819398,1167230,128477,182206,9483,15263,537,775,6467,8528,生活,搞笑
不想穿鞋那就别穿了,彬彬找乐子,771343,1469245,46492,110973,3723,10747,1155,3034,4478,8391,生活,搞笑
邪剑仙赴德云色线下自证过程（省流版）,老实憨厚的笑笑,770157,770157,11619,11619,1284,1284,4348,4348,1813,1813,游戏,电子竞技
去密室逃脱当一把NPC？,Thurman猫一杯,758353,1366967,15869,77609,7838,10015,51,537,373,1617,生活,搞笑
职场人的内心独白番外篇之——到底什么意思啊？总监大人！,papi酱,756553,756553,96327,96327,4310,4310,1570,1570,10199,10199,生活,搞笑
他在采一种很新的访。,河马君,741417,1014895,56951,83280,2537,3113,51,169,245,474,生活,搞笑
大中小杯可乐真的一样多吗？帅小伙亲测！,秋刀鱼的快乐生活,708562,1579949,237,2690,1422,4796,37,1196,44,249,生活,日常
200斤牛肉能做出多少牛肉干？,苟宋本苟,706764,751499,72732,77486,4171,4407,508,592,1827,2151,美食,美食制作
黄金切尔西纪录片（3）——因女人引发的冲突,木木人物纪实,697822,2539459,1321,6429,10106,37516,0,32,209,961,生活,搞笑
【纪录片】未来漫游指南 01 第一次接触,哔哩哔哩纪录片,677681,677681,8422,8422,644,644,916,916,3161,3161,纪录片,科学·探索·自然
