视频名称,up主昵称,播放新增,播放总数,点赞新增,点赞总数,收藏新增,收藏总数,评论新增,评论总数,投币新增,投币总数,一级分类,二级分类
上美影 联手 vivo 挑战《哪吒闹海》皮影戏,上海美术电影制片厂,3398092,4863848,29799,43191,4571,6558,303,494,3065,4421,影视,短片
【亮记生物鉴定】网络热传生物鉴定44,无穷小亮的科普日常,2610628,2610628,313056,313056,18340,18340,2134,2134,37068,37068,知识,科学科普
中国疫情防控，有人想借机玩颜色革命，国内民意小心被耍了,刘晓非观察室,1708589,2877192,111047,193540,27592,46800,3275,6186,57157,100261,生活,日常
关于我连夜去上海找甲方要92万片卫生巾这件事,侯翠翠,1505249,2409596,285214,474712,18973,31212,2597,4816,456716,768345,生活,日常
直播套路被我们拿捏了！B站直播生态治理报告,哔哩哔哩社区小管家,1213113,1213113,3834,3834,559,559,69,69,268,268,生活,日常
“短短几秒钟 心动了六次”,颜值预报圆,1146941,1396414,66534,99052,23807,33310,482,623,4363,5213,娱乐,明星
吴亦凡在中国坐牢13年已经算幸运的了！哎 希望出来可以有机会改过自新吧,李三金Alex,1048063,1048063,98687,98687,6412,6412,1655,1655,957,957,知识,社科·法律·心理
【卢克文工作室】从数据读疫情,卢克文工作室,969765,1184560,48184,68721,11987,16798,1466,1635,36534,50554,资讯,热点
我社死了！上网课用夹子音吸猫发现没关麦！！！！,伦敦不是胖墩,884165,884165,109933,109933,9048,9048,2168,2168,3635,3635,动物圈,喵星人
我见过候鸟就这么去了南方,喵与茶,857570,1205684,107824,136196,25737,31363,743,1352,20102,25596,动物圈,大熊猫
《水果社交》,周大爷不服老,839969,1310691,115862,203045,10576,15158,195,426,2048,3272,生活,日常
《赌球心态大赏》,碎嘴企鹅,767992,1735269,131876,263219,14012,26218,2139,5545,15358,36852,生活,日常
当你询问小朋友年龄 他告诉你8岁（孔融让橘子）,我有一张绝版的海报,738342,945233,22086,25346,908,1077,430,528,78,93,生活,搞笑
千万别找有女友的兄弟pk这些问题！！！！,Super也好君,737318,737318,111882,111882,12648,12648,3318,3318,39194,39194,生活,搞笑
“咱B站粉丝1000万了？赶紧做个视频！急！”,共青团中央,728629,728629,93824,93824,3971,3971,5699,5699,12651,12651,生活,搞笑
【卢克文工作室】涉及全国的核酸机构成为敛财工具，张姗姗背后的人究竟是谁？,,725133,725133,61520,61520,11360,11360,151,151,36800,36800,资讯,热点
这文物，真的不是真的,也就那点事儿-,721499,721499,91066,91066,3646,3646,528,528,3454,3454,生活,搞笑
90后爸妈是怎么教育小孩的？,粤知一二,698036,1015058,85280,133777,4726,6515,268,611,1968,3768,生活,搞笑
日本超额死亡数据分析，日本第八波疫情数据分析，用数据说话,星话大白,691371,691371,33067,33067,8799,8799,12302,12302,14742,14742,知识,财经商业
生活小妙招,八云兔不秃,691104,691104,67084,67084,5574,5574,1907,1907,6253,6253,生活,搞笑
机械设计原理,北方机械师,687889,696671,47186,47449,7756,7804,1235,1270,2086,2090,科技,工业·工程·机械
咱就是说，原来速冻饺子这样煮就不会破皮呀，下次煮饺子的时候试试！#娱乐评论大赏 #饺子 #速冻饺子,娱乐可爱蛙,672636,1271278,39822,72859,14113,28167,279,554,436,872,美食,美食制作
社 交 悍 匪 x3,雨豪别张嘴,669352,1013396,92107,140817,11465,17458,336,627,1340,2455,生活,搞笑
当代愚公移山，削平1250座山，用凿子凿出的红旗渠,记得英雄,665431,1122002,103838,175803,9846,15058,1296,2076,11081,17762,知识,人文历史
静  若  处  子，动  若  脱  兔,Only探索发现号,648100,660200,21122,21627,14844,15180,704,733,4318,4396,娱乐,粉丝创作
有谁会拒绝一个忍者弟弟呢！,笑点有点低哦,647877,1428292,2121,67783,3971,8710,19,875,127,962,生活,搞笑
