视频名称,up主昵称,播放新增,播放总数,点赞新增,点赞总数,收藏新增,收藏总数,评论新增,评论总数,投币新增,投币总数,一级分类,二级分类
坏消息，这一片漂浮在水面上软软的草地，现在已经没有了，消失了,全球不知道,1915109,1915109,87185,87185,7848,7848,388,388,400,400,运动,运动综合
上美影 联手 vivo 挑战《哪吒闹海》皮影戏,上海美术电影制片厂,1465756,1465756,13392,13392,1987,1987,191,191,1356,1356,影视,短片
买游艇为何买椟还珠？【小约翰】,小约翰可汗,1289839,1289839,140210,140210,23626,23626,3272,3272,67513,67513,知识,人文历史
自己做个深渊茶几，好像在家打了两口井,王一工不二,1252381,4250350,138742,524127,48350,164937,1766,5620,18341,54453,生活,家居房产
中国疫情防控，有人想借机玩颜色革命，国内民意小心被耍了,刘晓非观察室,1168603,1168603,82493,82493,19208,19208,2911,2911,43104,43104,生活,日常
为了守护学校我成为了偶像，但老师版。,林带鱼w,1078223,1646028,182331,248644,15335,22269,868,1654,11921,19088,生活,日常
一年未见地雷怀孕，漠叔不认帐了,大漠叔叔,977879,977879,108695,108695,4595,4595,2261,2261,33630,33630,,
大连.品海楼  厨子探店?1？11,真探唐仁杰,932993,932993,77430,77430,2264,2264,1762,1762,1871,1871,美食,美食侦探
关于我连夜去上海找甲方要92万片卫生巾这件事,侯翠翠,904347,904347,189498,189498,12239,12239,2219,2219,311629,311629,生活,日常
老交警：事故现场很多都是后脑开花,中国警察网,868418,2290040,80861,243379,5371,12997,1903,5031,3073,6841,汽车,汽车生活
砸钱办世界杯图啥？卡塔尔在下什么棋，让自己富的如此特别,小王Albert,864536,864536,68211,68211,9976,9976,1892,1892,20360,20360,知识,人文历史
全村吃席 我坐小孩那桌,乡村教师日记,853576,853576,95006,95006,9930,9930,4197,4197,107104,107104,,
废物的养成,黑旗团队,839720,1050666,103813,130552,7800,8243,274,553,1091,1967,影视,短片
春节联欢晚会宿舍分会场,熬一耶ye,831931,1452599,130819,242846,10303,17431,1131,2528,11882,20570,生活,搞笑
50斤蔬菜能做出多少蔬菜粉？帅小伙买来尝试，发现....,记录生活的蛋黄派,820155,1647205,69095,205950,8777,18259,321,1526,41215,115650,美食,美食制作
大炮！不许这样对你空叔叔！,漾少侠,804814,1175909,83327,115064,22785,31886,901,1694,13255,20587,动画,MMD·3D
【仙王的日常生活】算 你 小 子 狠,国创时光机,796300,1259633,46908,77043,0,2,66,105,192,260,国创,国产原创相关
以前没发现我家原来这么穷,篱篱的朋友圈碎碎念,726489,1510286,53191,102009,9990,18923,2970,6222,19280,36095,生活,日常
【10月】间谍过家家 18,哔哩哔哩番剧,722798,3567407,5402,46168,23,112,54,612,1678,9387,番剧,连载动画
最快抗塔世界纪录：2分13秒！仅存在一瞬的完美时机！！,布锅锅,696534,1256723,50212,87541,3234,6586,467,1297,9128,19045,游戏,电子竞技
《赌球心态大赏》,碎嘴企鹅,690523,967277,89267,131343,8644,12206,1720,3406,13757,21494,生活,日常
势利的阿真惹众怒,真子日记,689183,689183,59076,59076,1470,1470,1034,1034,2662,2662,生活,搞笑
全网最悠哉的别墅管家！主人长期不在家！一人独守千平豪宅！,老沙爱网事,682371,2628719,299,2860,1929,5006,1,83,31,127,生活,搞笑
这是我的好朋友，傻大个！,-勾魂公狒狒-,666638,755508,1360,3833,11546,12788,10,77,330,684,游戏,单机游戏
我带过的奇葩游客,杭州小黑诸鸣,654940,2991297,60151,292637,11028,49620,791,4067,6530,24664,知识,人文历史
Red Velvet《Birthday》MV,Red Velvet,654383,654383,60887,60887,19758,19758,9473,9473,38596,38596,音乐,MV
羊村（2）,小潮院长,638734,6021723,21694,557426,10518,184420,498,10402,15598,384029,生活,搞笑
假如发生了世界末日，这种丧尸危机你怎么办,期待的揣手手,633656,4578437,25425,166875,2454,14259,183,1507,531,2280,生活,日常
小时候的记忆，那时候觉得好好吃。,成都火锅底料工厂,629901,3515637,9239,51688,544,2489,222,1048,162,586,美食,美食制作
脸红的思春期,不吃鱼渝,614463,757255,21755,27274,8393,10587,760,1042,3455,4362,音乐,翻唱
某瓣9.0，据说看了一遍就不想再看的电影，艾德里安·布洛迪封神之作《超脱》,7块说故事,613475,797843,74680,79349,14289,15485,647,775,3143,3466,影视,影视杂谈
找出场景里的狗？我这看了半天了，怎么一个都找不到！,穿越者哇咔视频,611551,1001349,917,2003,7887,13346,3,32,175,343,动画,短片·手书·配音
绝了！好吃到爆！【肥牛白菜千层锅】一锅鲜到眉毛掉！,龙帅食堂,601760,3245694,44251,291072,20267,117909,188,1264,2701,13126,美食,美食制作
意大利的早晨，赶集没意思，出去走走。,刘庸干净又卫生,584117,584117,36370,36370,1094,1094,1714,1714,1971,1971,,
夸父和体育老师赛跑？这太欺负人了，直接去挑战追上太阳！,辉哥游戏解说,583566,611257,968,1624,6224,6580,2,18,254,322,游戏,单机游戏
单身四十多年体重两百多斤，他与这个世界格格不入,顾我电影V,581373,619946,64463,67284,9164,9452,854,1024,6543,7441,影视,影视杂谈
