视频名称,up主昵称,播放新增,播放总数,点赞新增,点赞总数,收藏新增,收藏总数,评论新增,评论总数,投币新增,投币总数,一级分类,二级分类
中国队为什么不参加世界杯,狈总,2940639,4410587,279760,412253,27333,36103,4531,9330,12784,19296,生活,搞笑
羊村（1）,小潮院长,2288822,2288822,375690,375690,92699,92699,12033,12033,242429,242429,生活,搞笑
【10月】间谍过家家 17,哔哩哔哩番剧,1737821,2902200,16422,42953,85,105,119,741,4143,8119,番剧,连载动画
宁波.宁海食府  厨子探店?？？,真探唐仁杰,1618908,1618908,233791,233791,11006,11006,2280,2280,59595,59595,美食,美食侦探
领导想不起来的那些事，你真的要提醒他。,圆脸颖入职记,1520848,2127877,175137,248988,16519,19773,706,1118,5319,7277,生活,搞笑
闺蜜谈了帅哥我后牙槽都咬碎了,七颗猩猩QKXX,1431037,1749339,140210,184753,4900,5973,361,596,1071,1478,生活,搞笑
这就是女医学生？,人民故事,1354388,2142371,109833,151423,6708,11812,641,1219,715,1393,生活,搞笑
3人23道菜，吃跑了唐老师！,吃不饱仨战士,1331712,1331712,149310,149310,6173,6173,1336,1336,12997,12997,美食,美食侦探
还原《满汉全席》鬼脚七的脆皮干炒牛河！猝不及防的翻车！,猪皮食堂,1284411,1442802,57616,64229,3008,3400,278,393,1479,1984,美食,美食制作
伪装成零食卖给小孩？这种黑产我见一个曝一个！,老爸评测,1157130,2833711,41877,264838,15618,35247,640,3337,7594,33723,生活,日常
筹备5年，只为拍一张照，卖了1175w,安迪的美院日常,1149528,1323033,136807,158439,15621,18963,401,496,1391,1672,知识,人文历史
退钱哥到达卡塔尔世界杯大游轮！,退钱哥本人,1133614,1133614,102457,102457,4117,4117,1637,1637,5635,5635,,
阿嚏,老番茄,1122635,1122635,180280,180280,26117,26117,2953,2953,60151,60151,游戏,单机游戏
当上网课时不小心把麦打开后，对话内容全被同学听到了！,笑点有点低哦,1057997,1583367,4586,36537,3109,4824,119,792,131,198,生活,搞笑
【唐探宇宙】化学老师晚上化身黑暗中的清道夫，一口气看完《唐人街探案》网剧,加班影视,1057304,5656514,3729,18080,14282,83301,22,84,879,3988,影视,影视杂谈
史上最“羞耻”的运动会，场面根本控制不住，校长：班主任来一下,下饭音乐,1046261,3534188,4209,16352,18995,72841,0,33,578,1718,音乐,音乐综合
炉石主播王师傅聊网易暴雪谈崩停服,王师傅和小毛毛,1028346,1028346,144741,144741,17078,17078,3895,3895,94456,94456,游戏,网络游戏
满级人类！今天你进化了吗？国粹泄漏！,阿羡搞笑,1027890,2016916,5260,10857,31467,73335,2,4,858,1521,生活,搞笑
杨顺洪凌云切磋演绎怀真与云缨的青梅竹马日常，高燃武术登上2022共创之夜,王者荣耀,952371,1996756,25761,62329,2195,4927,250,810,426,1120,舞蹈,中国舞
网课整活？当代学生上网课，竟都在变身猪猪侠！,夜小雨爆笑社,921215,3249940,1992,7282,14021,55924,3,27,239,779,生活,搞笑
在大学如何撩妹,韩波格_,887554,2398473,89695,214780,8239,20199,314,1066,2185,5783,生活,日常
开箱试玩10款童年小玩具,郭小嚜,880404,941498,1030,2594,7301,7736,3,44,141,241,生活,手工
害怕！我被封号了！,籽岷,867991,867991,86751,86751,6676,6676,4711,4711,12107,12107,生活,日常
诸神之战6——绿色毒刺的反击,小梗人物纪录片解说,867426,2488749,989,11409,6564,26157,1,58,169,841,生活,搞笑
