视频名称,up主昵称,播放新增,播放总数,点赞新增,点赞总数,收藏新增,收藏总数,评论新增,评论总数,投币新增,投币总数,一级分类,二级分类
人工智能？人工智障？,马克的致郁动画,277985,955516,8575,26002,387,1224,19,107,26,85,生活,搞笑
C罗哭了,咪咕体育,277856,277856,6439,6439,588,588,1089,1089,198,198,,
你们猜猜我家隔壁住了谁,云吞它爹,277450,2011979,26444,207155,949,5646,29,317,155,1096,生活,搞笑
《当你带着摆烂队友赢了游戏时》,阳光男孩小丑熊,276794,276794,23915,23915,877,877,728,728,978,978,游戏,电子竞技
网红拉丝玉米，牙齿给我粘掉算了,董三万Meal,276697,575563,774,4393,482,988,46,231,14,62,美食,美食测评
《隐身》,脱缰凯Kk,275864,275864,36236,36236,1554,1554,232,232,1192,1192,影视,短片
我要被这群山寨明星笑死啦哈哈哈哈哈哈哈哈哈哈哈哈哈哈,快乐星猫づ,275374,275374,7524,7524,1430,1430,222,222,438,438,生活,搞笑
皇帝微服私访偶遇猖狂乞丐，怎料对方竟是治理黄河的奇才，影视剧,,274910,1164470,239,1078,957,4711,0,1,39,131,影视,影视杂谈
当阿拉伯人看沙特踢世界杯的前后变化,阿夫Ashraf,274782,607312,13350,31774,616,1317,13,94,39,106,影视,短片
80买只大鹅，胖龙做东北名菜“铁锅炖大鹅”儿子吃的停不下来,胖龙的小生活,274098,274098,13775,13775,389,389,436,436,2075,2075,美食,美食记录
热心路人，帮助迷路的小女孩！,笑点有点低哦,273684,1148195,822,16730,2254,8585,1,79,38,437,生活,搞笑
日本足球的胜利，让人反思中国足球的问题,储殷教授,273229,584678,16493,35225,5098,10207,2742,6534,14638,28377,,
校领导在家长群误发淫秽语音，发现后已无法撤回遂将群解散,,272823,272823,5911,5911,753,753,518,518,25,25,资讯,社会
一口气看完《倭寇的踪迹》，抗倭刀有多厉害，出刀即倒下！,田佐剪影,272712,974245,643,20221,1676,3567,7,193,79,248,影视,影视杂谈
