uid,up主昵称,B站地址,番茄指数,粉丝总数,掉粉数量,掉粉率,一级分类,二级分类
611214594,上汽大众,https://space.bilibili.com/611214594,3438.1,1718175,-4197.0,-0.24%,汽车,汽车生活
18149131,Overidea_China,https://space.bilibili.com/18149131,3462.5,899821,-3727.0,-0.41%,动画,综合
275338136,肯德基,https://space.bilibili.com/275338136,3441.9,2098748,-3691.0,-0.18%,生活,日常
578227337,华为,https://space.bilibili.com/578227337,3439.7,1821945,-3251.0,-0.18%,科技,数码
383670040,小郑菜菜Csgo,https://space.bilibili.com/383670040,3380.7,262877,-2556.0,-0.97%,游戏,电子竞技
31220044,小贝饿了,https://space.bilibili.com/31220044,3455.5,2825950,-2143.0,-0.08%,美食,美食侦探
8739477,老实憨厚的笑笑,https://space.bilibili.com/8739477,3442.7,2460447,-2021.0,-0.08%,游戏,电子竞技
50329118,哔哩哔哩英雄联盟赛事,https://space.bilibili.com/50329118,3477.4,12345594,-1951.0,-0.02%,游戏,电子竞技
17561885,哔哩哔哩刀塔2赛事,https://space.bilibili.com/17561885,3426.1,889333,-1381.0,-0.16%,游戏,电子竞技
27283232,HZS-SHY,https://space.bilibili.com/27283232,3266,81915,-1310.0,-1.60%,游戏,电子竞技
481888304,Boki的搬运工,https://space.bilibili.com/481888304,3430.3,919159,-1132.0,-0.12%,美食,美食记录
551534193,韩国吃播-Boki,https://space.bilibili.com/551534193,3416.3,601080,-1108.0,-0.18%,美食,美食记录
466272,bili_466272,https://space.bilibili.com/466272,3519.6,4400538,-1101.0,-0.03%,生活,日常
489412051,哔哩哔哩晚会,https://space.bilibili.com/489412051,3565.2,6254813,-1092.0,-0.02%,娱乐,综艺
485092296,张三的传奇一生,https://space.bilibili.com/485092296,3458.1,2006850,-1087.0,-0.05%,知识,社科·法律·心理
43389575,凤凰天使TSKS韩剧社官方账号,https://space.bilibili.com/43389575,3511.6,2537976,-1086.0,-0.04%,娱乐,综艺
