uid,up主昵称,B站地址,番茄指数,粉丝总数,掉粉数量,掉粉率,一级分类,二级分类
32046347,黑洞king,https://space.bilibili.com/32046347,3475.5,616814,-6410.0,-1.04%,游戏,电子竞技
50329118,哔哩哔哩英雄联盟赛事,https://space.bilibili.com/50329118,3533.7,12619642,-4953.0,-0.04%,游戏,电子竞技
611214594,上汽大众,https://space.bilibili.com/611214594,3495.6,2176551,-4656.0,-0.21%,汽车,汽车生活
578227337,华为,https://space.bilibili.com/578227337,3497.6,2380150,-3810.0,-0.16%,科技,数码
330246090,超极氪,https://space.bilibili.com/330246090,3488.7,948929,-3016.0,-0.32%,科技,数码
14110780,凉风Kaze,https://space.bilibili.com/14110780,3621.5,8121296,-2662.0,-0.03%,生活,搞笑
673520112,TCL,https://space.bilibili.com/673520112,3461.2,454545,-2489.0,-0.55%,科技,数码
275338136,肯德基,https://space.bilibili.com/275338136,3498.3,2235478,-2202.0,-0.10%,生活,日常
8739477,老实憨厚的笑笑,https://space.bilibili.com/8739477,3499,2577375,-2125.0,-0.08%,游戏,电子竞技
31220044,小贝饿了,https://space.bilibili.com/31220044,3511.6,2767137,-1985.0,-0.07%,美食,美食侦探
18149131,Overidea_China,https://space.bilibili.com/18149131,3517.7,874427,-1648.0,-0.19%,动画,综合
246251134,厄风琉斯,https://space.bilibili.com/246251134,3439.5,280227,-1571.0,-0.56%,游戏,电子竞技
516314775,刘畊宏willliu,https://space.bilibili.com/516314775,3503.5,3602021,-1408.0,-0.04%,时尚,健身
31536760,EDG电子竞技俱乐部,https://space.bilibili.com/31536760,3502.5,2108101,-1354.0,-0.06%,游戏,电子竞技
19642758,力元君,https://space.bilibili.com/19642758,3533,3861214,-1145.0,-0.03%,生活,搞笑
29329085,二喵的饭,https://space.bilibili.com/29329085,3567.4,4752810,-1125.0,-0.02%,美食,美食制作
466272,bili_466272,https://space.bilibili.com/466272,3575.5,4384540,-1108.0,-0.03%,生活,日常
176037767,我是郭杰瑞,https://space.bilibili.com/176037767,3543.8,7028469,-1105.0,-0.02%,生活,日常
50333369,哔哩哔哩守望先锋赛事,https://space.bilibili.com/50333369,3486.7,885166,-1049.0,-0.12%,游戏,电子竞技
485092296,张三的传奇一生,https://space.bilibili.com/485092296,3514.1,1991666,-1039.0,-0.05%,知识,社科·法律·心理
4162287,渗透之C君,https://space.bilibili.com/4162287,3539.7,5681567,-1018.0,-0.02%,游戏,单机游戏
489412051,哔哩哔哩晚会,https://space.bilibili.com/489412051,3621.4,6240020,-999.0,-0.02%,娱乐,综艺
2920960,大祥哥来了,https://space.bilibili.com/2920960,3575.9,4818220,-945.0,-0.02%,美食,美食测评
1737825590,陈怂怂大王,https://space.bilibili.com/1737825590,3188.5,42405,-933.0,-2.20%,生活,日常
452941506,卡萨鹏卡萨丁,https://space.bilibili.com/452941506,3345.9,100052,-922.0,-0.92%,游戏,电子竞技
2871017,一栗莎子,https://space.bilibili.com/2871017,3493.6,1585122,-912.0,-0.06%,生活,日常
17561219,直播小喇叭,https://space.bilibili.com/17561219,3497.8,2939270,-877.0,-0.03%,游戏,电子竞技
38351330,阿幕降临,https://space.bilibili.com/38351330,3510.8,1723412,-855.0,-0.05%,动画,综合
50329220,哔哩哔哩LOL赛事直播,https://space.bilibili.com/50329220,3501.4,4163217,-819.0,-0.02%,游戏,电子竞技
508141704,大熊苏尔,https://space.bilibili.com/508141704,3481.7,744717,-818.0,-0.11%,动物圈,野生动物
1014368785,从业地产13年管理者,https://space.bilibili.com/1014368785,3221.7,48505,-805.0,-1.66%,知识,财经商业
19577966,李子柒,https://space.bilibili.com/19577966,3554.7,7675315,-797.0,-0.01%,美食,田园美食
6574487,纳豆奶奶,https://space.bilibili.com/6574487,3546.1,4183017,-796.0,-0.02%,生活,日常
11100920,飞社长,https://space.bilibili.com/11100920,3513.6,2162316,-775.0,-0.04%,生活,搞笑
439868658,五菱汽车,https://space.bilibili.com/439868658,3490.8,1187128,-746.0,-0.06%,汽车,汽车生活
257851644,RNG电子竞技俱乐部,https://space.bilibili.com/257851644,3497.4,1371670,-736.0,-0.05%,游戏,电子竞技
643873396,平安小财娘,https://space.bilibili.com/643873396,3492.5,1203300,-724.0,-0.06%,生活,搞笑
1500812933,小梅vlog,https://space.bilibili.com/1500812933,3300.1,72701,-719.0,-0.99%,生活,日常
156619610,JDG京东电子竞技俱乐部,https://space.bilibili.com/156619610,3481.7,723232,-712.0,-0.10%,游戏,电子竞技
1712907935,宝石研物语_伊恩之石,https://space.bilibili.com/1712907935,3469,547413,-703.0,-0.13%,游戏,手机游戏
1119878117,我是小妖怪,https://space.bilibili.com/1119878117,3475,553611,-700.0,-0.13%,生活,日常
1232707257,娜可不行lina,https://space.bilibili.com/1232707257,3394.9,154201,-697.0,-0.45%,科技,数码
1628139107,真实电竞,https://space.bilibili.com/1628139107,3480.3,759922,-686.0,-0.09%,游戏,电子竞技
66777747,不知名男枪丶,https://space.bilibili.com/66777747,3433.2,248670,-686.0,-0.28%,游戏,电子竞技
37813467,时空猎人3,https://space.bilibili.com/37813467,3482.4,998393,-667.0,-0.07%,游戏,手机游戏
35365327,bilibiliGoods,https://space.bilibili.com/35365327,3495.6,1361884,-665.0,-0.05%,生活,日常
1868902080,哔哩哔哩拜年纪,https://space.bilibili.com/1868902080,3533.7,4009583,-664.0,-0.02%,动画,综合
299609985,FPX电子竞技俱乐部,https://space.bilibili.com/299609985,3487,706575,-663.0,-0.09%,游戏,电子竞技
432832670,没煮熟的大鹅,https://space.bilibili.com/432832670,3488.6,968925,-654.0,-0.07%,美食,美食记录
437316738,朱一旦的枯燥生活,https://space.bilibili.com/437316738,3544.9,3732599,-652.0,-0.02%,生活,搞笑
941799,野生的装机宅,https://space.bilibili.com/941799,3418.9,188054,-648.0,-0.34%,科技,数码
174070934,无敌皮皮鸟,https://space.bilibili.com/174070934,3496.5,1428708,-641.0,-0.04%,游戏,电子竞技
1837336632,代号-跃迁旅人,https://space.bilibili.com/1837336632,3476.2,784624,-637.0,-0.08%,游戏,手机游戏
300634025,滔搏电子竞技俱乐部,https://space.bilibili.com/300634025,3481.3,694629,-614.0,-0.09%,游戏,电子竞技
254662438,时间只玩辅,https://space.bilibili.com/254662438,3492.2,1543025,-612.0,-0.04%,游戏,电子竞技
43389575,凤凰天使TSKS韩剧社官方账号,https://space.bilibili.com/43389575,3567.6,2532435,-606.0,-0.02%,娱乐,综艺
777536,LexBurner,https://space.bilibili.com/777536,3573.6,6180350,-600.0,-0.01%,游戏,手机游戏
196356191,翔翔大作战,https://space.bilibili.com/196356191,3570.6,3903388,-599.0,-0.02%,美食,美食测评
383670040,小郑菜菜Csgo,https://space.bilibili.com/383670040,3430.6,245468,-599.0,-0.24%,游戏,电子竞技
133901828,二斤啦啦啦啦,https://space.bilibili.com/133901828,3491.7,939247,-584.0,-0.06%,科技,数码
1488034494,bili_1488034494,https://space.bilibili.com/1488034494,2783.3,13851,-580.0,-4.19%,时尚,服饰
258150656,回形针PaperClip,https://space.bilibili.com/258150656,3526.3,2406809,-566.0,-0.02%,知识,科学科普
