uid,up主昵称,B站地址,番茄指数,粉丝总数,掉粉数量,掉粉率,一级分类,二级分类
578227337,华为,https://space.bilibili.com/578227337,3453.1,2452971,-18406.0,-0.75%,科技,数码
611214594,上汽大众,https://space.bilibili.com/611214594,3451.5,2291577,-18061.0,-0.79%,汽车,汽车生活
406299205,Aurora萤火,https://space.bilibili.com/406299205,2960.6,13180,-10838.0,-82.23%,游戏,单机游戏
50329118,哔哩哔哩英雄联盟赛事,https://space.bilibili.com/50329118,3489.1,12690048,-10578.0,-0.08%,游戏,电子竞技
673520112,TCL,https://space.bilibili.com/673520112,3420.1,482511,-8574.0,-1.78%,科技,数码
473950562,空白的心丶z,https://space.bilibili.com/473950562,3416.3,421634,-7370.0,-1.75%,游戏,电子竞技
8739477,老实憨厚的笑笑,https://space.bilibili.com/8739477,3454.5,2604084,-6390.0,-0.25%,游戏,电子竞技
31220044,小贝饿了,https://space.bilibili.com/31220044,3467,2806535,-5436.0,-0.19%,美食,美食侦探
275338136,肯德基,https://space.bilibili.com/275338136,3454,2288986,-4837.0,-0.21%,生活,日常
652663378,LOL小超梦,https://space.bilibili.com/652663378,3406.7,346406,-3828.0,-1.11%,游戏,电子竞技
246251134,厄风琉斯,https://space.bilibili.com/246251134,3400.9,305893,-3742.0,-1.22%,游戏,电子竞技
434334701,七海Nana7mi,https://space.bilibili.com/434334701,3451.8,986091,-2108.0,-0.21%,动画,综合
50329220,哔哩哔哩LOL赛事直播,https://space.bilibili.com/50329220,3457,4174032,-2076.0,-0.05%,游戏,电子竞技
674539396,妙妙子Official,https://space.bilibili.com/674539396,3414.9,404984,-1868.0,-0.46%,游戏,电子竞技
551534193,韩国吃播-Boki,https://space.bilibili.com/551534193,3427.6,595709,-1840.0,-0.31%,美食,美食记录
433865481,爱玛电动车官方账号,https://space.bilibili.com/433865481,3286.8,86746,-1820.0,-2.10%,汽车,摩托车
531236984,上汽集团MG名爵,https://space.bilibili.com/531236984,3387.7,254032,-1735.0,-0.68%,汽车,汽车生活
431617766,ametorin,https://space.bilibili.com/431617766,3414.7,385016,-1651.0,-0.43%,游戏,手机游戏
1017081142,Rookie,https://space.bilibili.com/1017081142,3447.9,1464359,-1632.0,-0.11%,游戏,电子竞技
23876661,茶鸣拾贰律,https://space.bilibili.com/23876661,3304.1,94559,-1606.0,-1.70%,音乐,原创音乐
867152,蕾蕾大表哥,https://space.bilibili.com/867152,3410.3,366890,-1570.0,-0.43%,游戏,电子竞技
18149131,Overidea_China,https://space.bilibili.com/18149131,3473.8,893685,-1539.0,-0.17%,动画,综合
277827884,楚钧艾克,https://space.bilibili.com/277827884,3442.6,1076352,-1484.0,-0.14%,游戏,电子竞技
1498310,土拨鼠小屁,https://space.bilibili.com/1498310,3295,90133,-1321.0,-1.47%,游戏,网络游戏
1837336632,代号-跃迁旅人,https://space.bilibili.com/1837336632,3432.2,794970,-1268.0,-0.16%,游戏,手机游戏
17561885,哔哩哔哩刀塔2赛事,https://space.bilibili.com/17561885,3437.5,884608,-1143.0,-0.13%,游戏,电子竞技
300634025,滔搏电子竞技俱乐部,https://space.bilibili.com/300634025,3437.5,704921,-1123.0,-0.16%,游戏,电子竞技
271872444,汤几一,https://space.bilibili.com/271872444,3443.2,802065,-1101.0,-0.14%,时尚,美妆
473940554,英雄联盟手游,https://space.bilibili.com/473940554,3456.8,2513150,-1084.0,-0.04%,游戏,手机游戏
1388514638,longdd黄翔,https://space.bilibili.com/1388514638,3427.3,612782,-1069.0,-0.17%,游戏,电子竞技
3595470,萌萌哒老陈,https://space.bilibili.com/3595470,3378.6,205262,-1054.0,-0.51%,游戏,电子竞技
20272509,空手信鸽,https://space.bilibili.com/20272509,3364.3,179304,-1040.0,-0.58%,生活,日常
156619610,JDG京东电子竞技俱乐部,https://space.bilibili.com/156619610,3437.6,732252,-1038.0,-0.14%,游戏,电子竞技
485092296,张三的传奇一生,https://space.bilibili.com/485092296,3469.6,2003630,-1035.0,-0.05%,知识,社科·法律·心理
354877923,瓜瓜らQAQ,https://space.bilibili.com/354877923,3284.4,84210,-1033.0,-1.23%,游戏,手机游戏
2026561407,吃花椒的喵酱,https://space.bilibili.com/2026561407,3496.1,4904547,-1019.0,-0.02%,生活,日常
466272,bili_466272,https://space.bilibili.com/466272,3531.1,4397294,-1017.0,-0.02%,生活,日常
434976151,尼康趣发现,https://space.bilibili.com/434976151,3294.8,91789,-998.0,-1.09%,科技,数码
1119751753,命理碎碎念,https://space.bilibili.com/1119751753,3286.2,81421,-990.0,-1.22%,知识,社科·法律·心理
489412051,哔哩哔哩晚会,https://space.bilibili.com/489412051,3576.8,6251255,-942.0,-0.02%,娱乐,综艺
481888304,Boki的搬运工,https://space.bilibili.com/481888304,3441.6,916522,-926.0,-0.10%,美食,美食记录
257851644,RNG电子竞技俱乐部,https://space.bilibili.com/257851644,3453,1381697,-926.0,-0.07%,游戏,电子竞技
432832670,没煮熟的大鹅,https://space.bilibili.com/432832670,3444.3,976985,-921.0,-0.09%,美食,美食记录
17561219,直播小喇叭,https://space.bilibili.com/17561219,3453.3,2953821,-912.0,-0.03%,游戏,电子竞技
31536760,EDG电子竞技俱乐部,https://space.bilibili.com/31536760,3458,2120327,-891.0,-0.04%,游戏,电子竞技
439868658,五菱汽车,https://space.bilibili.com/439868658,3446.5,1195891,-877.0,-0.07%,汽车,汽车生活
517027781,猫之城手游,https://space.bilibili.com/517027781,3442.3,1064944,-862.0,-0.08%,游戏,手机游戏
37813467,时空猎人3,https://space.bilibili.com/37813467,3438.1,1008154,-827.0,-0.08%,游戏,手机游戏
1712907935,宝石研物语_伊恩之石,https://space.bilibili.com/1712907935,3424.8,554709,-813.0,-0.15%,游戏,手机游戏
50333369,哔哩哔哩守望先锋赛事,https://space.bilibili.com/50333369,3442.5,892802,-790.0,-0.09%,游戏,电子竞技
50121112,梦想家小瓜子,https://space.bilibili.com/50121112,3370.1,184760,-784.0,-0.42%,游戏,电子竞技
6574487,纳豆奶奶,https://space.bilibili.com/6574487,3501.6,4192504,-757.0,-0.02%,生活,日常
1429723107,索尼中国,https://space.bilibili.com/1429723107,3446.4,1107278,-753.0,-0.07%,科技,数码
392836434,哔哩哔哩王者荣耀赛事,https://space.bilibili.com/392836434,3457.6,3671609,-749.0,-0.02%,游戏,电子竞技
1955635,WinWinQAQ,https://space.bilibili.com/1955635,3297,93276,-749.0,-0.80%,游戏,电子竞技
35365327,bilibiliGoods,https://space.bilibili.com/35365327,3451.1,1370708,-744.0,-0.05%,生活,日常
643873396,平安小财娘,https://space.bilibili.com/643873396,3448.1,1212108,-735.0,-0.06%,生活,搞笑
279991456,靠谱电竞,https://space.bilibili.com/279991456,3484.9,2059703,-725.0,-0.04%,游戏,电子竞技
19577966,李子柒,https://space.bilibili.com/19577966,3510.2,7683985,-720.0,-0.01%,美食,田园美食
14110780,凉风Kaze,https://space.bilibili.com/14110780,3577,8131693,-712.0,-0.01%,生活,搞笑
436494933,青野大魔王,https://space.bilibili.com/436494933,3390.1,241822,-708.0,-0.29%,游戏,电子竞技
176037767,我是郭杰瑞,https://space.bilibili.com/176037767,3499.3,7039074,-699.0,-0.01%,生活,日常
25912175,dq-CSGO,https://space.bilibili.com/25912175,3392.4,239140,-688.0,-0.29%,游戏,电子竞技
276187015,笠崽,https://space.bilibili.com/276187015,3293.3,90192,-677.0,-0.75%,生活,日常
480680646,阿萨Aza,https://space.bilibili.com/480680646,3471.1,1222160,-665.0,-0.05%,动画,综合
396296700,爱笑的雪一,https://space.bilibili.com/396296700,3310.7,101591,-664.0,-0.65%,舞蹈,舞蹈综合
7706705,阿梓从小就很可爱,https://space.bilibili.com/7706705,3436.5,738711,-649.0,-0.09%,生活,其他
1868902080,哔哩哔哩拜年纪,https://space.bilibili.com/1868902080,3489.2,4016976,-628.0,-0.02%,动画,综合
23604445,上海滩许Van强,https://space.bilibili.com/23604445,3474,1878788,-627.0,-0.03%,游戏,电子竞技
235630215,国电武术馆馆长,https://space.bilibili.com/235630215,3456.8,1563238,-626.0,-0.04%,游戏,网络游戏
1628139107,真实电竞,https://space.bilibili.com/1628139107,3436.2,768980,-623.0,-0.08%,游戏,电子竞技
777536,LexBurner,https://space.bilibili.com/777536,3554.1,6188806,-601.0,-0.01%,动画,综合
16539048,一只小仙若,https://space.bilibili.com/16539048,3487.7,2128026,-591.0,-0.03%,舞蹈,舞蹈综合
437316738,朱一旦的枯燥生活,https://space.bilibili.com/437316738,3500.5,3740092,-587.0,-0.02%,生活,搞笑
383670040,小郑菜菜Csgo,https://space.bilibili.com/383670040,3391.1,260492,-585.0,-0.22%,游戏,电子竞技
23920239,小米公司,https://space.bilibili.com/23920239,3457.6,2014207,-567.0,-0.03%,生活,日常
405815805,有车有肉的肉肉,https://space.bilibili.com/405815805,3407.3,329166,-564.0,-0.17%,汽车,购车攻略
2878144,鹤祁_Tsuruki,https://space.bilibili.com/2878144,3327,120917,-558.0,-0.46%,动画,综合
70421801,哥谭噩梦赫然,https://space.bilibili.com/70421801,3445.3,858335,-555.0,-0.06%,生活,搞笑
7875104,千户长生,https://space.bilibili.com/7875104,3465,1294444,-553.0,-0.04%,时尚,美妆
234507192,原来真是翔翔啊,https://space.bilibili.com/234507192,3426.5,488588,-542.0,-0.11%,生活,汽车生活
508141704,大熊苏尔,https://space.bilibili.com/508141704,3437.4,752240,-539.0,-0.07%,动物圈,野生动物
406517693,甘子七,https://space.bilibili.com/406517693,3451.6,1018947,-538.0,-0.05%,生活,搞笑
475083446,老懂哥_0ff1c1aL,https://space.bilibili.com/475083446,3365.1,182958,-537.0,-0.29%,游戏,电子竞技
612492134,司马南,https://space.bilibili.com/612492134,3465.4,1999247,-530.0,-0.03%,资讯,热点
196356191,翔翔大作战,https://space.bilibili.com/196356191,3526.2,3909675,-525.0,-0.01%,美食,美食测评
9038639,幸运的LANCERRR,https://space.bilibili.com/9038639,3405.6,340206,-521.0,-0.15%,游戏,电子竞技
35260261,神医RUI,https://space.bilibili.com/35260261,3374.2,160368,-518.0,-0.32%,游戏,电子竞技
414336759,路温1900,https://space.bilibili.com/414336759,3485.2,2704603,-517.0,-0.02%,影视,影视杂谈
7770395,咖米狸,https://space.bilibili.com/7770395,3301.2,98824,-512.0,-0.52%,游戏,单机游戏
16187912,老王dota2,https://space.bilibili.com/16187912,3350.3,137372,-509.0,-0.37%,游戏,电子竞技
394609671,终极小腾,https://space.bilibili.com/394609671,3455.3,2202801,-503.0,-0.02%,汽车,汽车生活
258150656,回形针PaperClip,https://space.bilibili.com/258150656,3481.9,2412787,-501.0,-0.02%,知识,科学科普
511744123,英特尔中国,https://space.bilibili.com/511744123,3313,112411,-495.0,-0.44%,科技,数码
381363592,陕西老乔吃货,https://space.bilibili.com/381363592,3437.1,617777,-487.0,-0.08%,美食,美食制作
37946996,守护茶茶,https://space.bilibili.com/37946996,3465.1,1849376,-465.0,-0.03%,游戏,电子竞技
102999485,华为终端,https://space.bilibili.com/102999485,3458.2,1414083,-462.0,-0.03%,科技,数码
28278842,仲尼Johnny777,https://space.bilibili.com/28278842,3456.3,1183000,-461.0,-0.04%,生活,日常
10723250,木子鸽Muzi,https://space.bilibili.com/10723250,3401,284368,-461.0,-0.16%,游戏,电子竞技
250858633,华农兄弟,https://space.bilibili.com/250858633,3545.5,6402581,-460.0,-0.01%,美食,田园美食
32820037,歪果仁研究协会,https://space.bilibili.com/32820037,3486.8,4022545,-455.0,-0.01%,生活,日常
297137461,阿ki老大哥,https://space.bilibili.com/297137461,3300,100088,-448.0,-0.45%,生活,其他
299609985,FPX电子竞技俱乐部,https://space.bilibili.com/299609985,3442.9,711405,-447.0,-0.06%,游戏,电子竞技
3117396,犇牛者DC,https://space.bilibili.com/3117396,3440.4,540472,-436.0,-0.08%,游戏,手机游戏
449643177,胡宾果Bingo,https://space.bilibili.com/449643177,3404.9,286875,-436.0,-0.15%,生活,日常
388690403,玛娜希斯回响,https://space.bilibili.com/388690403,3422.1,537826,-434.0,-0.08%,游戏,手机游戏
81824112,导演小策,https://space.bilibili.com/81824112,3478.7,3255794,-423.0,-0.01%,生活,搞笑
2069605488,張忠興,https://space.bilibili.com/2069605488,3445,744749,-420.0,-0.06%,生活,搞笑
17409016,爱做饭的芋头SAMA,https://space.bilibili.com/17409016,3493.6,3183648,-417.0,-0.01%,美食,美食制作
1269265572,极氪,https://space.bilibili.com/1269265572,3423.9,583172,-415.0,-0.07%,汽车,汽车生活
439478093,中国食品报融媒体,https://space.bilibili.com/439478093,3457.5,2014029,-412.0,-0.02%,知识,科学科普
476833439,盾之勇者成名录,https://space.bilibili.com/476833439,3413.5,421389,-408.0,-0.10%,游戏,手机游戏
1779128,游戏少女霜酱,https://space.bilibili.com/1779128,3393.4,257946,-405.0,-0.16%,游戏,电子竞技
161419374,山药视频,https://space.bilibili.com/161419374,3459.7,1769998,-404.0,-0.02%,美食,田园美食
390601281,V5电子竞技俱乐部官方,https://space.bilibili.com/390601281,3418,422442,-400.0,-0.09%,游戏,电子竞技
3386870,轩邈Elias,https://space.bilibili.com/3386870,3468.6,1316117,-397.0,-0.03%,影视,影视杂谈
398877923,哈利波特魔法觉醒,https://space.bilibili.com/398877923,3447,1475042,-394.0,-0.03%,游戏,手机游戏
