uid,up主昵称,B站地址,番茄指数,粉丝总数,掉粉数量,掉粉率,一级分类,二级分类
122879,敖厂长,https://space.bilibili.com/122879,3576,7113134,-180207.0,-2.53%,游戏,单机游戏
3985676,扶桑大红花丶,https://space.bilibili.com/3985676,3523.7,1271355,-5185.0,-0.41%,动画,短片·手书·配音
4059920,靖菌命,https://space.bilibili.com/4059920,3532.1,2203010,-4457.0,-0.20%,游戏,单机游戏
611214594,上汽大众,https://space.bilibili.com/611214594,3514.4,2156819,-4199.0,-0.19%,汽车,汽车生活
50329118,哔哩哔哩英雄联盟赛事,https://space.bilibili.com/50329118,3552.8,12599218,-3631.0,-0.03%,游戏,电子竞技
414458992,风中雾语,https://space.bilibili.com/414458992,2774.1,11030,-2873.0,-26.05%,影视,影视剪辑
395890600,陈逸泽泽,https://space.bilibili.com/395890600,3380.8,112341,-2863.0,-2.55%,影视,短片
32046347,黑洞king,https://space.bilibili.com/32046347,3493.3,599276,-2335.0,-0.39%,游戏,电子竞技
31220044,小贝饿了,https://space.bilibili.com/31220044,3530.6,2750543,-2205.0,-0.08%,美食,美食侦探
673520112,TCL,https://space.bilibili.com/673520112,3479.6,447900,-1935.0,-0.43%,科技,数码
8739477,老实憨厚的笑笑,https://space.bilibili.com/8739477,3518,2567485,-1836.0,-0.07%,游戏,电子竞技
777536,LexBurner,https://space.bilibili.com/777536,3592.5,6180352,-1631.0,-0.03%,游戏,手机游戏
275338136,肯德基,https://space.bilibili.com/275338136,3517.3,2225089,-1524.0,-0.07%,生活,日常
578227337,华为,https://space.bilibili.com/578227337,3516.5,2360791,-1460.0,-0.06%,科技,数码
454560170,住范儿,https://space.bilibili.com/454560170,3513.9,1664927,-1456.0,-0.09%,生活,家居房产
38067617,纪录片我去看世界,https://space.bilibili.com/38067617,3512.7,1468746,-1387.0,-0.09%,生活,日常
18149131,Overidea_China,https://space.bilibili.com/18149131,3536.5,868616,-1292.0,-0.15%,动画,综合
14110780,凉风Kaze,https://space.bilibili.com/14110780,3640.5,8115593,-1209.0,-0.01%,生活,搞笑
489412051,哔哩哔哩晚会,https://space.bilibili.com/489412051,3640.5,6235295,-1134.0,-0.02%,娱乐,综艺
1712907935,宝石研物语_伊恩之石,https://space.bilibili.com/1712907935,3487.7,544078,-1116.0,-0.21%,游戏,手机游戏
466272,bili_466272,https://space.bilibili.com/466272,3594.4,4379468,-1114.0,-0.03%,生活,日常
594534726,LPL战术小黑板,https://space.bilibili.com/594534726,3512.7,1150620,-1062.0,-0.09%,游戏,电子竞技
279991456,靠谱电竞,https://space.bilibili.com/279991456,3548.3,2059161,-1044.0,-0.05%,游戏,电子竞技
10330740,观察者网,https://space.bilibili.com/10330740,3647.3,7632453,-1016.0,-0.01%,资讯,环球
17561219,直播小喇叭,https://space.bilibili.com/17561219,3516.8,2934056,-985.0,-0.03%,游戏,电子竞技
485092296,张三的传奇一生,https://space.bilibili.com/485092296,3533.1,1987033,-969.0,-0.05%,知识,社科·法律·心理
1837336632,代号-跃迁旅人,https://space.bilibili.com/1837336632,3495.1,779726,-967.0,-0.12%,游戏,手机游戏
1775966996,Vox_EN_Official,https://space.bilibili.com/1775966996,3533.7,1333734,-961.0,-0.07%,动画,综合
176037767,我是郭杰瑞,https://space.bilibili.com/176037767,3562.8,7024246,-933.0,-0.01%,生活,日常
50333369,哔哩哔哩守望先锋赛事,https://space.bilibili.com/50333369,3505.5,880546,-893.0,-0.10%,游戏,电子竞技
50329220,哔哩哔哩LOL赛事直播,https://space.bilibili.com/50329220,3520.5,4159084,-855.0,-0.02%,游戏,电子竞技
439868658,五菱汽车,https://space.bilibili.com/439868658,3509.7,1183679,-845.0,-0.07%,汽车,汽车生活
19577966,李子柒,https://space.bilibili.com/19577966,3573.6,7671786,-839.0,-0.01%,美食,田园美食
517027781,猫之城手游,https://space.bilibili.com/517027781,3505.4,1052741,-837.0,-0.08%,游戏,手机游戏
300634025,滔搏电子竞技俱乐部,https://space.bilibili.com/300634025,3500.2,691476,-814.0,-0.12%,游戏,电子竞技
1868902080,哔哩哔哩拜年纪,https://space.bilibili.com/1868902080,3552.7,4006368,-787.0,-0.02%,动画,综合
437316738,朱一旦的枯燥生活,https://space.bilibili.com/437316738,3563.9,3729440,-786.0,-0.02%,生活,搞笑
6574487,纳豆奶奶,https://space.bilibili.com/6574487,3565,4179265,-783.0,-0.02%,生活,日常
31536760,EDG电子竞技俱乐部,https://space.bilibili.com/31536760,3521.5,2102884,-777.0,-0.04%,游戏,电子竞技
2056013660,广汽丰田,https://space.bilibili.com/2056013660,3363.8,101803,-776.0,-0.76%,汽车,汽车生活
37813467,时空猎人3,https://space.bilibili.com/37813467,3501.4,995382,-751.0,-0.08%,游戏,手机游戏
581967703,清华博士汪,https://space.bilibili.com/581967703,3474.4,345676,-750.0,-0.22%,知识,科学科普
66777747,不知名男枪丶,https://space.bilibili.com/66777747,3451.7,247676,-739.0,-0.30%,游戏,电子竞技
1554571083,bili_1554571083,https://space.bilibili.com/1554571083,2849.4,14915,-736.0,-4.93%,时尚,服饰
35365327,bilibiliGoods,https://space.bilibili.com/35365327,3514.6,1358858,-700.0,-0.05%,生活,日常
246251134,厄风琉斯,https://space.bilibili.com/246251134,3457.3,275672,-698.0,-0.25%,游戏,电子竞技
21030550,阿蔓的试衣间,https://space.bilibili.com/21030550,3391.4,126694,-698.0,-0.55%,时尚,服饰
257851644,RNG电子竞技俱乐部,https://space.bilibili.com/257851644,3516.4,1368445,-692.0,-0.05%,游戏,电子竞技
473940554,英雄联盟手游,https://space.bilibili.com/473940554,3520.2,2503024,-681.0,-0.03%,游戏,手机游戏
276193816,移速猫猫,https://space.bilibili.com/276193816,3332.7,77863,-675.0,-0.87%,游戏,电子竞技
28278842,仲尼Johnny777,https://space.bilibili.com/28278842,3519.7,1173805,-670.0,-0.06%,生活,日常
1749818857,bili_1749818857,https://space.bilibili.com/1749818857,2907.9,17109,-651.0,-3.81%,时尚,服饰
50329485,哔哩哔哩绝地求生赛事,https://space.bilibili.com/50329485,3502.2,895469,-630.0,-0.07%,游戏,电子竞技
9008159,花花与三猫CatLive,https://space.bilibili.com/9008159,3532.7,3397666,-626.0,-0.02%,动物圈,喵星人
196356191,翔翔大作战,https://space.bilibili.com/196356191,3589.5,3900730,-621.0,-0.02%,美食,美食测评
1429723107,索尼中国,https://space.bilibili.com/1429723107,3509.3,1099997,-603.0,-0.05%,科技,数码
38351330,阿幕降临,https://space.bilibili.com/38351330,3529.7,1720746,-595.0,-0.03%,动画,综合
1607941385,卷芯小菜,https://space.bilibili.com/1607941385,3014.7,22519,-589.0,-2.62%,时尚,服饰
526530563,风色幻想搬砖喵,https://space.bilibili.com/526530563,3439.3,221271,-558.0,-0.25%,游戏,手机游戏
429392011,天天鉴宝,https://space.bilibili.com/429392011,3516,1465295,-557.0,-0.04%,生活,日常
208259,陈睿,https://space.bilibili.com/208259,3542.7,2364356,-550.0,-0.02%,娱乐,综艺
258150656,回形针PaperClip,https://space.bilibili.com/258150656,3545.3,2404455,-549.0,-0.02%,知识,科学科普
508141704,大熊苏尔,https://space.bilibili.com/508141704,3500.6,742004,-540.0,-0.07%,动物圈,野生动物
432832670,没煮熟的大鹅,https://space.bilibili.com/432832670,3507.5,966287,-534.0,-0.06%,美食,美食记录
1933088162,英雄联盟老船长,https://space.bilibili.com/1933088162,2750.7,13066,-534.0,-4.09%,游戏,电子竞技
591856754,卢正义的雕刻时光,https://space.bilibili.com/591856754,3542.4,2175845,-525.0,-0.02%,生活,手工
390461123,徐大sao,https://space.bilibili.com/390461123,3605.5,3728557,-522.0,-0.01%,美食,美食制作
138832847,哇哇哇妹,https://space.bilibili.com/138832847,3537.2,1567517,-515.0,-0.03%,影视,影视杂谈
1628139107,真实电竞,https://space.bilibili.com/1628139107,3499.2,757275,-507.0,-0.07%,游戏,电子竞技
2069605488,張忠興,https://space.bilibili.com/2069605488,3508.1,738363,-506.0,-0.07%,生活,搞笑
1232707257,娜可不行lina,https://space.bilibili.com/1232707257,3412.3,152578,-504.0,-0.33%,科技,数码
17125638,凰家评测,https://space.bilibili.com/17125638,3488,474576,-494.0,-0.10%,科技,数码
471259688,深空之眼手游,https://space.bilibili.com/471259688,3506.4,1163881,-490.0,-0.04%,游戏,手机游戏
8047632,哔哩哔哩弹幕网,https://space.bilibili.com/8047632,3715,3475779,-481.0,-0.01%,音乐,音乐综合
277827884,楚钧艾克,https://space.bilibili.com/277827884,3506,1066253,-473.0,-0.04%,游戏,电子竞技
808171,吃素的狮子,https://space.bilibili.com/808171,3563.1,2845674,-471.0,-0.02%,生活,日常
4835329,AS极客,https://space.bilibili.com/4835329,3522.5,933016,-467.0,-0.05%,科技,数码
326088478,好看不火的梦想家ALI,https://space.bilibili.com/326088478,3508.1,651641,-465.0,-0.07%,生活,汽车生活
17409016,爱做饭的芋头SAMA,https://space.bilibili.com/17409016,3556.9,3176623,-456.0,-0.01%,美食,美食制作
34646754,沉默寡言白河愁,https://space.bilibili.com/34646754,3515.4,1733442,-453.0,-0.03%,游戏,单机游戏
322892,痒局长,https://space.bilibili.com/322892,3538.5,2675351,-452.0,-0.02%,游戏,手机游戏
436494933,青野大魔王,https://space.bilibili.com/436494933,3449.8,232146,-451.0,-0.19%,游戏,电子竞技
406517693,甘子七,https://space.bilibili.com/406517693,3514.8,1014363,-451.0,-0.04%,生活,搞笑
23920239,小米公司,https://space.bilibili.com/23920239,3521,2008265,-451.0,-0.02%,生活,日常
7655977,十二礼,https://space.bilibili.com/7655977,3513.5,1185502,-444.0,-0.04%,生活,日常
612492134,司马南,https://space.bilibili.com/612492134,3529,1990441,-433.0,-0.02%,资讯,热点
378034,楽小漫,https://space.bilibili.com/378034,3539.8,1117352,-430.0,-0.04%,舞蹈,宅舞
4474705,孤独的美食基,https://space.bilibili.com/4474705,3549.7,3618866,-427.0,-0.01%,美食,美食侦探
29329085,二喵的饭,https://space.bilibili.com/29329085,3586.4,4750923,-416.0,-0.01%,美食,美食制作
67141499,大漠叔叔,https://space.bilibili.com/67141499,3554.8,5545697,-415.0,-0.01%,生活,日常
515015078,贝尔-格里尔斯,https://space.bilibili.com/515015078,3545.7,2461017,-413.0,-0.02%,娱乐,明星
280793434,手工耿,https://space.bilibili.com/280793434,3561.8,6931568,-412.0,-0.01%,生活,手工
70421801,哥谭噩梦赫然,https://space.bilibili.com/70421801,3508.4,853138,-411.0,-0.05%,生活,搞笑
437744340,CSGO久菜合子,https://space.bilibili.com/437744340,3509.1,1185130,-408.0,-0.03%,游戏,电子竞技
