uid,up主昵称,B站地址,番茄指数,粉丝总数,掉粉数量,掉粉率,一级分类,二级分类
611214594,上汽大众,https://space.bilibili.com/611214594,3425.1,1759499,-17222.0,-0.98%,汽车,汽车生活
578227337,华为,https://space.bilibili.com/578227337,3426.7,1843190,-7558.0,-0.41%,科技,数码
50329118,哔哩哔哩英雄联盟赛事,https://space.bilibili.com/50329118,3464.2,12357499,-6863.0,-0.06%,游戏,电子竞技
8739477,老实憨厚的笑笑,https://space.bilibili.com/8739477,3429.5,2470575,-4359.0,-0.18%,游戏,电子竞技
275338136,肯德基,https://space.bilibili.com/275338136,3428.8,2114146,-4152.0,-0.20%,生活,日常
1269265572,极氪,https://space.bilibili.com/1269265572,3399.9,591533,-4066.0,-0.69%,汽车,汽车生活
17561885,哔哩哔哩刀塔2赛事,https://space.bilibili.com/17561885,3413.1,895608,-3142.0,-0.35%,游戏,电子竞技
23920239,小米公司,https://space.bilibili.com/23920239,3432.7,2017184,-2765.0,-0.14%,生活,日常
439868658,五菱汽车,https://space.bilibili.com/439868658,3421.7,1202131,-2358.0,-0.20%,汽车,汽车生活
1388514638,longdd黄翔,https://space.bilibili.com/1388514638,3402.9,621226,-2259.0,-0.36%,游戏,电子竞技
50329220,哔哩哔哩LOL赛事直播,https://space.bilibili.com/50329220,3432.2,4152959,-2218.0,-0.05%,游戏,电子竞技
1017081142,Rookie,https://space.bilibili.com/1017081142,3422.5,1377877,-2019.0,-0.15%,游戏,电子竞技
432832670,没煮熟的大鹅,https://space.bilibili.com/432832670,3419.7,984983,-1921.0,-0.20%,美食,美食记录
404987905,ACG外观研究社,https://space.bilibili.com/404987905,3412.5,590803,-1919.0,-0.32%,科技,数码
18149131,Overidea_China,https://space.bilibili.com/18149131,3449.4,909389,-1899.0,-0.21%,动画,综合
383670040,小郑菜菜Csgo,https://space.bilibili.com/383670040,3368.7,268412,-1861.0,-0.69%,游戏,电子竞技
439605619,完美世界电竞频道一,https://space.bilibili.com/439605619,3366.7,262591,-1844.0,-0.70%,游戏,电子竞技
234507192,原来真是翔翔啊,https://space.bilibili.com/234507192,3402.2,491667,-1654.0,-0.34%,生活,汽车生活
394609671,终极小腾,https://space.bilibili.com/394609671,3430.5,2199459,-1629.0,-0.07%,汽车,汽车生活
241332396,蔻蔻妮娜,https://space.bilibili.com/241332396,3364.5,246742,-1614.0,-0.65%,汽车,购车攻略
7706705,阿梓从小就很可爱,https://space.bilibili.com/7706705,3411.9,743534,-1573.0,-0.21%,生活,其他
297991412,和微联盟电脑科技,https://space.bilibili.com/297991412,3415.2,647588,-1561.0,-0.24%,科技,数码
279991456,靠谱电竞,https://space.bilibili.com/279991456,3460.1,2062491,-1519.0,-0.07%,游戏,电子竞技
531236984,上汽集团MG名爵,https://space.bilibili.com/531236984,3365.3,261707,-1504.0,-0.57%,汽车,汽车生活
551534193,韩国吃播-Boki,https://space.bilibili.com/551534193,3403.5,606489,-1439.0,-0.24%,美食,美食记录
156619610,JDG京东电子竞技俱乐部,https://space.bilibili.com/156619610,3413.1,737912,-1422.0,-0.19%,游戏,电子竞技
12145493,Anrly暗语,https://space.bilibili.com/12145493,3376,257921,-1384.0,-0.54%,科技,数码
371099,youc-,https://space.bilibili.com/371099,3362.5,231393,-1314.0,-0.57%,游戏,电子竞技
315111461,IceCreamRolls,https://space.bilibili.com/315111461,3414.6,671171,-1280.0,-0.19%,美食,美食制作
476861585,-小李胖胖-,https://space.bilibili.com/476861585,3279.4,99012,-1222.0,-1.23%,音乐,音乐综合
67991584,知电晓春哥,https://space.bilibili.com/67991584,3398.6,480390,-1076.0,-0.22%,科技,数码
505370779,杰克-涛,https://space.bilibili.com/505370779,3366.8,252493,-1075.0,-0.43%,汽车,汽车生活
643873396,平安小财娘,https://space.bilibili.com/643873396,3423.4,1220221,-1057.0,-0.09%,生活,搞笑
481888304,Boki的搬运工,https://space.bilibili.com/481888304,3417.2,922799,-1056.0,-0.11%,美食,美食记录
17561219,直播小喇叭,https://space.bilibili.com/17561219,3428.5,2963301,-1050.0,-0.04%,游戏,电子竞技
485092296,张三的传奇一生,https://space.bilibili.com/485092296,3444.8,2010784,-1036.0,-0.05%,知识,社科·法律·心理
37813467,时空猎人3,https://space.bilibili.com/37813467,3413.5,1013683,-1035.0,-0.10%,游戏,手机游戏
489412051,哔哩哔哩晚会,https://space.bilibili.com/489412051,3551.9,6258722,-1034.0,-0.02%,娱乐,综艺
1628139107,真实电竞,https://space.bilibili.com/1628139107,3411.7,773905,-1000.0,-0.13%,游戏,电子竞技
257851644,RNG电子竞技俱乐部,https://space.bilibili.com/257851644,3428.3,1387662,-997.0,-0.07%,游戏,电子竞技
398877923,哈利波特魔法觉醒,https://space.bilibili.com/398877923,3422.2,1480101,-955.0,-0.06%,游戏,手机游戏
466272,bili_466272,https://space.bilibili.com/466272,3506.4,4404446,-943.0,-0.02%,生活,日常
517027781,猫之城手游,https://space.bilibili.com/517027781,3417.6,1069641,-941.0,-0.09%,游戏,手机游戏
14946689,涼子同学,https://space.bilibili.com/14946689,3433.8,1563206,-941.0,-0.06%,生活,日常
390461123,徐大sao,https://space.bilibili.com/390461123,3517.5,3741900,-924.0,-0.02%,美食,美食制作
867152,蕾蕾大表哥,https://space.bilibili.com/867152,3366.9,258818,-919.0,-0.36%,游戏,电子竞技
439478093,中国食品报融媒体,https://space.bilibili.com/439478093,3432.6,2013104,-909.0,-0.05%,知识,科学科普
5870268,三代鹿人,https://space.bilibili.com/5870268,3510.5,6133709,-906.0,-0.01%,影视,影视杂谈
1918296,丰兄来了,https://space.bilibili.com/1918296,3440,1384821,-865.0,-0.06%,动画,综合
1976789987,Mysta的狐狸侦探事务所,https://space.bilibili.com/1976789987,3387.7,289768,-856.0,-0.30%,动画,综合
473940554,英雄联盟手游,https://space.bilibili.com/473940554,3432,2518694,-847.0,-0.03%,游戏,手机游戏
35365327,bilibiliGoods,https://space.bilibili.com/35365327,3426.4,1377015,-842.0,-0.06%,生活,日常
1712907935,宝石研物语_伊恩之石,https://space.bilibili.com/1712907935,3400.4,558357,-839.0,-0.15%,游戏,手机游戏
31536760,EDG电子竞技俱乐部,https://space.bilibili.com/31536760,3433.3,2125100,-831.0,-0.04%,游戏,电子竞技
674539396,妙妙子Official,https://space.bilibili.com/674539396,3379.4,322161,-830.0,-0.26%,游戏,电子竞技
6983491,宇神OvO,https://space.bilibili.com/6983491,3369.4,224963,-824.0,-0.37%,科技,数码
2026561407,吃花椒的喵酱,https://space.bilibili.com/2026561407,3471.3,4911633,-815.0,-0.02%,生活,日常
7875104,千户长生,https://space.bilibili.com/7875104,3440.3,1296844,-806.0,-0.06%,时尚,美妆
3117396,犇牛者DC,https://space.bilibili.com/3117396,3415.9,543672,-796.0,-0.15%,游戏,手机游戏
2069605488,張忠興,https://space.bilibili.com/2069605488,3420.3,747424,-793.0,-0.11%,生活,搞笑
300634025,滔搏电子竞技俱乐部,https://space.bilibili.com/300634025,3413,711341,-759.0,-0.11%,游戏,电子竞技
32820037,歪果仁研究协会,https://space.bilibili.com/32820037,3462.1,4025602,-740.0,-0.02%,生活,日常
6574487,纳豆奶奶,https://space.bilibili.com/6574487,3476.9,4197848,-734.0,-0.02%,生活,日常
1155425566,希侑Kiyuu,https://space.bilibili.com/1155425566,3227.5,70771,-699.0,-0.99%,动画,综合
449643177,胡宾果Bingo,https://space.bilibili.com/449643177,3381,289609,-683.0,-0.24%,生活,日常
277827884,楚钧艾克,https://space.bilibili.com/277827884,3415.9,942000,-682.0,-0.07%,游戏,电子竞技
43222001,卡特亚,https://space.bilibili.com/43222001,3446.3,2520756,-672.0,-0.03%,游戏,手机游戏
10330740,观察者网,https://space.bilibili.com/10330740,3559,7631465,-665.0,-0.01%,资讯,环球
19577966,李子柒,https://space.bilibili.com/19577966,3485.4,7689152,-663.0,-0.01%,美食,田园美食
233592835,夏夏大魔王_Axx,https://space.bilibili.com/233592835,3382.8,359714,-660.0,-0.18%,游戏,电子竞技
405815805,有车有肉的肉肉,https://space.bilibili.com/405815805,3383.1,331933,-659.0,-0.20%,汽车,购车攻略
777536,LexBurner,https://space.bilibili.com/777536,3529.4,6193292,-657.0,-0.01%,动画,综合
1868902080,哔哩哔哩拜年纪,https://space.bilibili.com/1868902080,3464.4,4021612,-655.0,-0.02%,动画,综合
176037767,我是郭杰瑞,https://space.bilibili.com/176037767,3474.5,7044387,-653.0,-0.01%,生活,日常
122879,敖厂长,https://space.bilibili.com/122879,3487.9,7473779,-640.0,-0.01%,游戏,单机游戏
402754623,4AM电子竞技俱乐部,https://space.bilibili.com/402754623,3336.1,172074,-616.0,-0.36%,游戏,电子竞技
11463305,兰幼金,https://space.bilibili.com/11463305,3415.1,655336,-600.0,-0.09%,生活,日常
43389575,凤凰天使TSKS韩剧社官方账号,https://space.bilibili.com/43389575,3498.3,2539662,-578.0,-0.02%,娱乐,综艺
673520112,TCL,https://space.bilibili.com/673520112,3310.6,135278,-568.0,-0.42%,科技,数码
37946996,守护茶茶,https://space.bilibili.com/37946996,3440.3,1852860,-556.0,-0.03%,游戏,电子竞技
437316738,朱一旦的枯燥生活,https://space.bilibili.com/437316738,3475.8,3744274,-530.0,-0.01%,生活,搞笑
