uid,up主昵称,B站地址,番茄指数,粉丝总数,掉粉数量,掉粉率,一级分类,二级分类
275338136,肯德基,https://space.bilibili.com/275338136,3476.6,2253433,-7120.0,-0.32%,生活,日常
50329118,哔哩哔哩英雄联盟赛事,https://space.bilibili.com/50329118,3511.8,12648086,-6394.0,-0.05%,游戏,电子竞技
382666849,笔记本维修厮,https://space.bilibili.com/382666849,3469.9,885449,-4531.0,-0.51%,科技,
578227337,华为,https://space.bilibili.com/578227337,3475.7,2404066,-4504.0,-0.19%,科技,数码
203337614,开心嘴炮,https://space.bilibili.com/203337614,3509.8,2547067,-4006.0,-0.16%,影视,影视杂谈
8739477,老实憨厚的笑笑,https://space.bilibili.com/8739477,3477.2,2583764,-3280.0,-0.13%,游戏,电子竞技
31220044,小贝饿了,https://space.bilibili.com/31220044,3489.7,2778811,-3076.0,-0.11%,美食,美食侦探
43222001,卡特亚,https://space.bilibili.com/43222001,3493.7,2546373,-2118.0,-0.08%,游戏,手机游戏
315111461,IceCreamRolls,https://space.bilibili.com/315111461,3461.5,665162,-1759.0,-0.26%,美食,美食制作
31536760,EDG电子竞技俱乐部,https://space.bilibili.com/31536760,3480.7,2114251,-1571.0,-0.07%,游戏,电子竞技
300634025,滔搏电子竞技俱乐部,https://space.bilibili.com/300634025,3459.8,699959,-1274.0,-0.18%,游戏,电子竞技
17561885,哔哩哔哩刀塔2赛事,https://space.bilibili.com/17561885,3460,878522,-1137.0,-0.13%,游戏,电子竞技
18149131,Overidea_China,https://space.bilibili.com/18149131,3496.2,882375,-1125.0,-0.13%,动画,综合
35365327,bilibiliGoods,https://space.bilibili.com/35365327,3473.8,1366018,-1073.0,-0.08%,生活,日常
466272,bili_466272,https://space.bilibili.com/466272,3553.7,4390632,-1073.0,-0.02%,生活,日常
6574487,纳豆奶奶,https://space.bilibili.com/6574487,3524.2,4187474,-1046.0,-0.02%,生活,日常
485092296,张三的传奇一生,https://space.bilibili.com/485092296,3492.2,1997472,-1026.0,-0.05%,知识,社科·法律·心理
2920960,大祥哥来了,https://space.bilibili.com/2920960,3554.1,4825028,-966.0,-0.02%,美食,美食测评
133901828,二斤啦啦啦啦,https://space.bilibili.com/133901828,3470.1,943098,-961.0,-0.10%,科技,数码
38351330,阿幕降临,https://space.bilibili.com/38351330,3489,1735281,-940.0,-0.05%,动画,综合
257851644,RNG电子竞技俱乐部,https://space.bilibili.com/257851644,3475.6,1376202,-911.0,-0.07%,游戏,电子竞技
17561219,直播小喇叭,https://space.bilibili.com/17561219,3475.9,2945394,-878.0,-0.03%,游戏,电子竞技
16307541,Vivekatt,https://space.bilibili.com/16307541,3492.5,1603696,-820.0,-0.05%,时尚,美妆
347667464,老爸评测,https://space.bilibili.com/347667464,3505.3,3913487,-818.0,-0.02%,生活,日常
176037767,我是郭杰瑞,https://space.bilibili.com/176037767,3521.9,7033943,-817.0,-0.01%,生活,日常
473950562,空白的心丶z,https://space.bilibili.com/473950562,3436.8,404617,-797.0,-0.20%,游戏,电子竞技
439868658,五菱汽车,https://space.bilibili.com/439868658,3469,1191117,-775.0,-0.07%,汽车,汽车生活
311871090,伟嘉gaara616,https://space.bilibili.com/311871090,3467.6,725359,-756.0,-0.10%,时尚,服饰
19577966,李子柒,https://space.bilibili.com/19577966,3532.8,7679456,-753.0,-0.01%,美食,田园美食
99748932,荣耀手机,https://space.bilibili.com/99748932,3474.1,819258,-741.0,-0.09%,科技,数码
481888304,Boki的搬运工,https://space.bilibili.com/481888304,3464.2,911748,-732.0,-0.08%,美食,美食记录
612492134,司马南,https://space.bilibili.com/612492134,3488.1,1995848,-732.0,-0.04%,资讯,热点
392836434,哔哩哔哩王者荣耀赛事,https://space.bilibili.com/392836434,3480.3,3668289,-727.0,-0.02%,游戏,电子竞技
156619610,JDG京东电子竞技俱乐部,https://space.bilibili.com/156619610,3460.1,727352,-721.0,-0.10%,游戏,电子竞技
777536,LexBurner,https://space.bilibili.com/777536,3576.6,6184920,-688.0,-0.01%,动画,综合
517027781,猫之城手游,https://space.bilibili.com/517027781,3464.9,1061026,-678.0,-0.06%,游戏,手机游戏
437316738,朱一旦的枯燥生活,https://space.bilibili.com/437316738,3523.1,3736137,-671.0,-0.02%,生活,搞笑
390461123,徐大sao,https://space.bilibili.com/390461123,3564.8,3734449,-651.0,-0.02%,美食,美食制作
297991412,和微联盟电脑科技,https://space.bilibili.com/297991412,3462.4,650432,-651.0,-0.10%,科技,数码
102999485,华为终端,https://space.bilibili.com/102999485,3480.7,1412095,-641.0,-0.05%,科技,数码
436494933,青野大魔王,https://space.bilibili.com/436494933,3411.4,237656,-605.0,-0.25%,游戏,电子竞技
508141704,大熊苏尔,https://space.bilibili.com/508141704,3460,748663,-575.0,-0.08%,动物圈,野生动物
178778949,英雄联盟,https://space.bilibili.com/178778949,3501.4,2889463,-566.0,-0.02%,游戏,电子竞技
2882352,恶魔大章鱼,https://space.bilibili.com/2882352,3190.4,46367,-560.0,-1.21%,游戏,手机游戏
3595470,萌萌哒老陈,https://space.bilibili.com/3595470,3399.7,202042,-555.0,-0.27%,游戏,电子竞技
8047632,哔哩哔哩弹幕网,https://space.bilibili.com/8047632,3674.4,3479673,-548.0,-0.02%,音乐,音乐综合
122879,敖厂长,https://space.bilibili.com/122879,3535.2,7467084,-537.0,-0.01%,游戏,单机游戏
97077404,留学生日报,https://space.bilibili.com/97077404,3482.8,1259967,-522.0,-0.04%,资讯,环球
351899011,联想拯救者官方,https://space.bilibili.com/351899011,3473.5,1299923,-519.0,-0.04%,科技,数码
196356191,翔翔大作战,https://space.bilibili.com/196356191,3548.8,3906465,-517.0,-0.01%,美食,美食测评
37946996,守护茶茶,https://space.bilibili.com/37946996,3487.7,1846418,-507.0,-0.03%,游戏,电子竞技
28278842,仲尼Johnny777,https://space.bilibili.com/28278842,3478.9,1179329,-483.0,-0.04%,生活,日常
258150656,回形针PaperClip,https://space.bilibili.com/258150656,3504.5,2409693,-478.0,-0.02%,知识,科学科普
14110780,凉风Kaze,https://space.bilibili.com/14110780,3599.6,8124287,-474.0,-0.01%,生活,搞笑
326088478,好看不火的梦想家ALI,https://space.bilibili.com/326088478,3467.5,652889,-468.0,-0.07%,生活,汽车生活
299609985,FPX电子竞技俱乐部,https://space.bilibili.com/299609985,3465.4,709647,-454.0,-0.06%,游戏,电子竞技
591856754,卢正义的雕刻时光,https://space.bilibili.com/591856754,3501.5,2181007,-452.0,-0.02%,生活,手工
