uid,up主昵称,B站地址,番茄指数,粉丝总数,掉粉数量,掉粉率,一级分类,二级分类
122879,敖厂长,https://space.bilibili.com/122879,3572.5,7293341,-169058.0,-2.32%,游戏,单机游戏
50329118,哔哩哔哩英雄联盟赛事,https://space.bilibili.com/50329118,3549.3,12602849,-3335.0,-0.03%,游戏,电子竞技
578227337,华为,https://space.bilibili.com/578227337,3513,2362251,-3246.0,-0.14%,科技,数码
31220044,小贝饿了,https://space.bilibili.com/31220044,3527.1,2752748,-3044.0,-0.11%,美食,美食侦探
611214594,上汽大众,https://space.bilibili.com/611214594,3510.9,2161018,-2896.0,-0.13%,汽车,汽车生活
32046347,黑洞king,https://space.bilibili.com/32046347,3489.9,601611,-2275.0,-0.38%,游戏,电子竞技
673520112,TCL,https://space.bilibili.com/673520112,3476.2,449835,-1862.0,-0.41%,科技,数码
8739477,老实憨厚的笑笑,https://space.bilibili.com/8739477,3514.5,2569321,-1567.0,-0.06%,游戏,电子竞技
275338136,肯德基,https://space.bilibili.com/275338136,3513.8,2226613,-1558.0,-0.07%,生活,日常
777536,LexBurner,https://space.bilibili.com/777536,3589,6181983,-1130.0,-0.02%,游戏,手机游戏
88389962,韩美娟Amir,https://space.bilibili.com/88389962,3501.5,801874,-1126.0,-0.14%,生活,搞笑
18149131,Overidea_China,https://space.bilibili.com/18149131,3533,869908,-1096.0,-0.13%,动画,综合
517027781,猫之城手游,https://space.bilibili.com/517027781,3502,1053578,-1039.0,-0.10%,游戏,手机游戏
643873396,平安小财娘,https://space.bilibili.com/643873396,3508,1200494,-1013.0,-0.08%,生活,搞笑
1837336632,代号-跃迁旅人,https://space.bilibili.com/1837336632,3491.6,780693,-960.0,-0.12%,游戏,手机游戏
466272,bili_466272,https://space.bilibili.com/466272,3590.9,4380582,-933.0,-0.02%,生活,日常
10330740,观察者网,https://space.bilibili.com/10330740,3643.8,7633469,-910.0,-0.01%,资讯,环球
14110780,凉风Kaze,https://space.bilibili.com/14110780,3637,8116802,-905.0,-0.01%,生活,搞笑
485092296,张三的传奇一生,https://space.bilibili.com/485092296,3529.6,1988002,-893.0,-0.04%,知识,社科·法律·心理
489412051,哔哩哔哩晚会,https://space.bilibili.com/489412051,3637,6236429,-876.0,-0.01%,娱乐,综艺
50333369,哔哩哔哩守望先锋赛事,https://space.bilibili.com/50333369,3502,881439,-858.0,-0.10%,游戏,电子竞技
17561219,直播小喇叭,https://space.bilibili.com/17561219,3513.3,2935041,-853.0,-0.03%,游戏,电子竞技
23383532,bzzb521,https://space.bilibili.com/23383532,3480,438051,-842.0,-0.19%,游戏,电子竞技
21805725,吴不伊,https://space.bilibili.com/21805725,3481.1,395359,-829.0,-0.21%,时尚,美妆
15834498,拂菻坊,https://space.bilibili.com/15834498,3517.4,1017943,-822.0,-0.08%,生活,日常
31536760,EDG电子竞技俱乐部,https://space.bilibili.com/31536760,3518,2103661,-807.0,-0.04%,游戏,电子竞技
300634025,滔搏电子竞技俱乐部,https://space.bilibili.com/300634025,3496.7,692290,-800.0,-0.12%,游戏,电子竞技
6574487,纳豆奶奶,https://space.bilibili.com/6574487,3561.5,4180048,-783.0,-0.02%,生活,日常
50329220,哔哩哔哩LOL赛事直播,https://space.bilibili.com/50329220,3517,4159939,-774.0,-0.02%,游戏,电子竞技
10942427,香喷喷的小烤鸡,https://space.bilibili.com/10942427,3499.5,672678,-772.0,-0.11%,美食,美食制作
176037767,我是郭杰瑞,https://space.bilibili.com/176037767,3559.3,7025179,-757.0,-0.01%,生活,日常
390461123,徐大sao,https://space.bilibili.com/390461123,3602.1,3729079,-742.0,-0.02%,美食,美食制作
28278842,仲尼Johnny777,https://space.bilibili.com/28278842,3516.3,1174475,-729.0,-0.06%,生活,日常
1119878117,我是小妖怪,https://space.bilibili.com/1119878117,3490.4,551973,-727.0,-0.13%,生活,日常
11100920,飞社长,https://space.bilibili.com/11100920,3529.1,2157307,-705.0,-0.03%,生活,搞笑
167514661,圆润YUANRUN,https://space.bilibili.com/167514661,3320.7,71162,-690.0,-0.97%,娱乐,明星
473940554,英雄联盟手游,https://space.bilibili.com/473940554,3516.7,2503705,-682.0,-0.03%,游戏,手机游戏
2920960,大祥哥来了,https://space.bilibili.com/2920960,3591.4,4814532,-666.0,-0.01%,美食,美食测评
439868658,五菱汽车,https://space.bilibili.com/439868658,3506.3,1184524,-665.0,-0.06%,汽车,汽车生活
587618113,姚姚不是P30,https://space.bilibili.com/587618113,3518.8,2123141,-656.0,-0.03%,生活,搞笑
43222001,卡特亚,https://space.bilibili.com/43222001,3531.1,2540622,-640.0,-0.03%,游戏,手机游戏
246251134,厄风琉斯,https://space.bilibili.com/246251134,3453.9,276370,-637.0,-0.23%,游戏,电子竞技
50329485,哔哩哔哩绝地求生赛事,https://space.bilibili.com/50329485,3498.8,896099,-629.0,-0.07%,游戏,电子竞技
19577966,李子柒,https://space.bilibili.com/19577966,3570.2,7672625,-623.0,-0.01%,美食,田园美食
437316738,朱一旦的枯燥生活,https://space.bilibili.com/437316738,3560.4,3730226,-621.0,-0.02%,生活,搞笑
250858633,华农兄弟,https://space.bilibili.com/250858633,3605.5,6399119,-601.0,-0.01%,美食,田园美食
257851644,RNG电子竞技俱乐部,https://space.bilibili.com/257851644,3512.9,1369137,-599.0,-0.04%,游戏,电子竞技
1868902080,哔哩哔哩拜年纪,https://space.bilibili.com/1868902080,3549.2,4007155,-596.0,-0.01%,动画,综合
21030550,阿蔓的试衣间,https://space.bilibili.com/21030550,3388.3,127392,-591.0,-0.46%,时尚,服饰
208259,陈睿,https://space.bilibili.com/208259,3539.2,2364906,-589.0,-0.02%,娱乐,综艺
612492134,司马南,https://space.bilibili.com/612492134,3525.6,1990874,-556.0,-0.03%,资讯,热点
37813467,时空猎人3,https://space.bilibili.com/37813467,3497.9,996133,-555.0,-0.06%,游戏,手机游戏
35365327,bilibiliGoods,https://space.bilibili.com/35365327,3511.1,1359558,-538.0,-0.04%,生活,日常
594534726,LPL战术小黑板,https://space.bilibili.com/594534726,3509.2,1151682,-533.0,-0.05%,游戏,电子竞技
432832670,没煮熟的大鹅,https://space.bilibili.com/432832670,3504,966821,-525.0,-0.05%,美食,美食记录
298581371,注销中的,https://space.bilibili.com/298581371,2928,18760,-518.0,-2.76%,生活,日常
18180084,九尾波比不是大舌头,https://space.bilibili.com/18180084,3198.3,41739,-512.0,-1.23%,游戏,单机游戏
196356191,翔翔大作战,https://space.bilibili.com/196356191,3586,3901351,-511.0,-0.01%,美食,美食测评
2929048,网易暴雪游戏视频,https://space.bilibili.com/2929048,3502.5,818380,-501.0,-0.06%,游戏,电子竞技
508141704,大熊苏尔,https://space.bilibili.com/508141704,3497.1,742544,-493.0,-0.07%,动物圈,野生动物
591856754,卢正义的雕刻时光,https://space.bilibili.com/591856754,3538.9,2176370,-491.0,-0.02%,生活,手工
436494933,青野大魔王,https://space.bilibili.com/436494933,3446.5,232597,-490.0,-0.21%,游戏,电子竞技
1712907935,宝石研物语_伊恩之石,https://space.bilibili.com/1712907935,3484.3,545194,-484.0,-0.09%,游戏,手机游戏
34646754,沉默寡言白河愁,https://space.bilibili.com/34646754,3511.9,1733895,-477.0,-0.03%,游戏,单机游戏
1955655610,九派新闻,https://space.bilibili.com/1955655610,3470.3,361579,-474.0,-0.13%,资讯,社会
3985676,扶桑大红花丶,https://space.bilibili.com/3985676,3520.2,1276540,-470.0,-0.04%,动画,短片·手书·配音
322892,痒局长,https://space.bilibili.com/322892,3535,2675803,-467.0,-0.02%,游戏,手机游戏
353840826,公主连结ReDive,https://space.bilibili.com/353840826,3513.7,2112941,-454.0,-0.02%,游戏,手机游戏
277827884,楚钧艾克,https://space.bilibili.com/277827884,3502.6,1066726,-453.0,-0.04%,游戏,电子竞技
258150656,回形针PaperClip,https://space.bilibili.com/258150656,3541.8,2405004,-451.0,-0.02%,知识,科学科普
1628139107,真实电竞,https://space.bilibili.com/1628139107,3495.7,757782,-442.0,-0.06%,游戏,电子竞技
5563350,小希小桃Channel,https://space.bilibili.com/5563350,3508.6,562377,-434.0,-0.08%,动画,综合
429392011,天天鉴宝,https://space.bilibili.com/429392011,3512.5,1465852,-431.0,-0.03%,生活,日常
156619610,JDG京东电子竞技俱乐部,https://space.bilibili.com/156619610,3497.1,721311,-426.0,-0.06%,游戏,电子竞技
17409016,爱做饭的芋头SAMA,https://space.bilibili.com/17409016,3553.5,3177079,-415.0,-0.01%,美食,美食制作
1429723107,索尼中国,https://space.bilibili.com/1429723107,3505.9,1100600,-410.0,-0.04%,科技,数码
79120134,Ringo姐姐,https://space.bilibili.com/79120134,3345.3,89151,-402.0,-0.45%,娱乐,娱乐杂谈
198297,冰糖IO,https://space.bilibili.com/198297,3525,1456873,-397.0,-0.03%,动画,综合
280793434,手工耿,https://space.bilibili.com/280793434,3558.3,6931980,-393.0,-0.01%,生活,手工
2056013660,广汽丰田,https://space.bilibili.com/2056013660,3361,102579,-391.0,-0.38%,汽车,汽车生活
8047632,哔哩哔哩弹幕网,https://space.bilibili.com/8047632,3711.5,3476260,-390.0,-0.01%,音乐,音乐综合
33683045,张召忠,https://space.bilibili.com/33683045,3544.1,4418924,-388.0,-0.01%,知识,社科·法律·心理
2087432052,安娜-谢尔巴科娃,https://space.bilibili.com/2087432052,3509.4,997132,-383.0,-0.04%,运动,运动综合
390601281,V5电子竞技俱乐部官方,https://space.bilibili.com/390601281,3477,416277,-381.0,-0.09%,游戏,电子竞技
2089488,奶油Neilyo,https://space.bilibili.com/2089488,3470.3,315688,-377.0,-0.12%,游戏,网络游戏
2069605488,張忠興,https://space.bilibili.com/2069605488,3504.6,738869,-377.0,-0.05%,生活,搞笑
381363592,陕西老乔吃货,https://space.bilibili.com/381363592,3496.6,611954,-372.0,-0.06%,美食,美食制作
