uid,up主昵称,B站地址,番茄指数,粉丝总数,掉粉数量,掉粉率,一级分类,二级分类
578227337,华为,https://space.bilibili.com/578227337,3451.3,2471377,-52681.0,-2.13%,科技,数码
50329118,哔哩哔哩英雄联盟赛事,https://space.bilibili.com/50329118,3489,12700626,-23353.0,-0.18%,游戏,电子竞技
8739477,老实憨厚的笑笑,https://space.bilibili.com/8739477,3454.3,2610474,-12785.0,-0.49%,游戏,电子竞技
31220044,小贝饿了,https://space.bilibili.com/31220044,3467,2811971,-7474.0,-0.27%,美食,美食侦探
275338136,肯德基,https://space.bilibili.com/275338136,3453.5,2293823,-6877.0,-0.30%,生活,日常
434334701,七海Nana7mi,https://space.bilibili.com/434334701,3448.3,988199,-6112.0,-0.62%,游戏,单机游戏
551534193,韩国吃播-Boki,https://space.bilibili.com/551534193,3427.8,597549,-2819.0,-0.47%,美食,美食记录
473950562,空白的心丶z,https://space.bilibili.com/473950562,3416.6,429004,-2318.0,-0.54%,游戏,电子竞技
300634025,滔搏电子竞技俱乐部,https://space.bilibili.com/300634025,3437.6,706044,-2234.0,-0.32%,游戏,电子竞技
531236984,上汽集团MG名爵,https://space.bilibili.com/531236984,3388.4,255767,-1794.0,-0.70%,汽车,汽车生活
3386870,轩邈Elias,https://space.bilibili.com/3386870,3468.6,1316514,-1634.0,-0.12%,影视,影视杂谈
17561885,哔哩哔哩刀塔2赛事,https://space.bilibili.com/17561885,3437.6,885751,-1558.0,-0.18%,游戏,电子竞技
1429723107,索尼中国,https://space.bilibili.com/1429723107,3446.5,1108031,-1485.0,-0.13%,科技,数码
18149131,Overidea_China,https://space.bilibili.com/18149131,3473.9,895224,-1478.0,-0.17%,动画,综合
3595470,萌萌哒老陈,https://space.bilibili.com/3595470,3380.2,206316,-1404.0,-0.68%,游戏,电子竞技
17561219,直播小喇叭,https://space.bilibili.com/17561219,3453.3,2954733,-1402.0,-0.05%,游戏,电子竞技
156619610,JDG京东电子竞技俱乐部,https://space.bilibili.com/156619610,3437.7,733290,-1377.0,-0.19%,游戏,电子竞技
439868658,五菱汽车,https://space.bilibili.com/439868658,3446.5,1196768,-1359.0,-0.11%,汽车,汽车生活
279991456,靠谱电竞,https://space.bilibili.com/279991456,3484.9,2060428,-1287.0,-0.06%,游戏,电子竞技
50121112,梦想家小瓜子,https://space.bilibili.com/50121112,3372.1,185544,-1250.0,-0.67%,游戏,电子竞技
489412051,哔哩哔哩晚会,https://space.bilibili.com/489412051,3576.8,6252197,-1183.0,-0.02%,娱乐,综艺
14110780,凉风Kaze,https://space.bilibili.com/14110780,3577,8132405,-1128.0,-0.01%,生活,搞笑
257851644,RNG电子竞技俱乐部,https://space.bilibili.com/257851644,3453,1382623,-1094.0,-0.08%,游戏,电子竞技
16539048,一只小仙若,https://space.bilibili.com/16539048,3487.7,2128617,-1088.0,-0.05%,舞蹈,舞蹈综合
50333369,哔哩哔哩守望先锋赛事,https://space.bilibili.com/50333369,3442.5,893592,-1073.0,-0.12%,游戏,电子竞技
643873396,平安小财娘,https://space.bilibili.com/643873396,3448.2,1212843,-1034.0,-0.09%,生活,搞笑
31536760,EDG电子竞技俱乐部,https://space.bilibili.com/31536760,3458.1,2121218,-1029.0,-0.05%,游戏,电子竞技
652663378,LOL小超梦,https://space.bilibili.com/652663378,3406.9,350234,-1027.0,-0.29%,游戏,电子竞技
35365327,bilibiliGoods,https://space.bilibili.com/35365327,3451.2,1371452,-993.0,-0.07%,生活,日常
485092296,张三的传奇一生,https://space.bilibili.com/485092296,3469.6,2004665,-989.0,-0.05%,知识,社科·法律·心理
436494933,青野大魔王,https://space.bilibili.com/436494933,3390.8,242530,-942.0,-0.39%,游戏,电子竞技
466272,bili_466272,https://space.bilibili.com/466272,3531.1,4398311,-936.0,-0.02%,生活,日常
517027781,猫之城手游,https://space.bilibili.com/517027781,3442.3,1065806,-895.0,-0.08%,游戏,手机游戏
381363592,陕西老乔吃货,https://space.bilibili.com/381363592,3437.1,618264,-843.0,-0.14%,美食,美食制作
10723250,木子鸽Muzi,https://space.bilibili.com/10723250,3401.6,284829,-837.0,-0.29%,游戏,电子竞技
481888304,Boki的搬运工,https://space.bilibili.com/481888304,3441.8,917448,-815.0,-0.09%,美食,美食记录
392836434,哔哩哔哩王者荣耀赛事,https://space.bilibili.com/392836434,3457.6,3672358,-814.0,-0.02%,游戏,电子竞技
7770395,咖米狸,https://space.bilibili.com/7770395,3302.8,99336,-798.0,-0.80%,游戏,单机游戏
1779128,游戏少女霜酱,https://space.bilibili.com/1779128,3394,258351,-785.0,-0.30%,游戏,电子竞技
19577966,李子柒,https://space.bilibili.com/19577966,3510.2,7684705,-761.0,-0.01%,美食,田园美食
6574487,纳豆奶奶,https://space.bilibili.com/6574487,3501.6,4193261,-758.0,-0.02%,生活,日常
176037767,我是郭杰瑞,https://space.bilibili.com/176037767,3499.3,7039773,-735.0,-0.01%,生活,日常
38157763,艺能人金广发,https://space.bilibili.com/38157763,3448,1209967,-735.0,-0.06%,生活,搞笑
404987905,ACG外观研究社,https://space.bilibili.com/404987905,3437,585155,-729.0,-0.12%,科技,数码
390461123,徐大sao,https://space.bilibili.com/390461123,3542.2,3737221,-658.0,-0.02%,美食,美食制作
2897191,阿漫啊阿漫,https://space.bilibili.com/2897191,3464.1,1679286,-625.0,-0.04%,生活,搞笑
474390659,AlanWalker官方频道,https://space.bilibili.com/474390659,3457.1,1113530,-618.0,-0.06%,音乐,音乐综合
9038639,幸运的LANCERRR,https://space.bilibili.com/9038639,3403.6,340727,-608.0,-0.18%,游戏,电子竞技
437316738,朱一旦的枯燥生活,https://space.bilibili.com/437316738,3500.5,3740679,-602.0,-0.02%,生活,搞笑
777536,LexBurner,https://space.bilibili.com/777536,3554.1,6189407,-580.0,-0.01%,动画,综合
508141704,大熊苏尔,https://space.bilibili.com/508141704,3437.6,752779,-577.0,-0.08%,动物圈,野生动物
2832224,SNH48官方账号,https://space.bilibili.com/2832224,3448.5,557869,-567.0,-0.10%,娱乐,明星
612492134,司马南,https://space.bilibili.com/612492134,3465.5,1999777,-514.0,-0.03%,资讯,热点
196356191,翔翔大作战,https://space.bilibili.com/196356191,3526.2,3910200,-510.0,-0.01%,美食,美食测评
430667930,Searph瑟夫,https://space.bilibili.com/430667930,3403.2,299176,-509.0,-0.17%,游戏,电子竞技
478835770,郁乐队,https://space.bilibili.com/478835770,3296.3,88776,-509.0,-0.57%,音乐,音乐现场
434976151,尼康趣发现,https://space.bilibili.com/434976151,3295.9,92787,-509.0,-0.55%,科技,数码
258150656,回形针PaperClip,https://space.bilibili.com/258150656,3481.9,2413288,-507.0,-0.02%,知识,科学科普
330415548,谭乔,https://space.bilibili.com/330415548,3471.9,4272094,-504.0,-0.01%,资讯,社会
508963009,HiiroVTuber,https://space.bilibili.com/508963009,3456,1116732,-502.0,-0.04%,动画,综合
439605619,完美世界电竞频道一,https://space.bilibili.com/439605619,3390.4,259733,-501.0,-0.19%,游戏,电子竞技
177613639,无聊的开箱,https://space.bilibili.com/177613639,3458.1,1676248,-499.0,-0.03%,科技,数码
122879,敖厂长,https://space.bilibili.com/122879,3512.6,7470327,-493.0,-0.01%,游戏,单机游戏
24801003,口语老炮儿马思瑞,https://space.bilibili.com/24801003,3460.9,2018834,-490.0,-0.02%,生活,日常
254662438,时间只玩辅,https://space.bilibili.com/254662438,3447.8,1548702,-488.0,-0.03%,游戏,电子竞技
13826185,田逾欢sirius,https://space.bilibili.com/13826185,3459.5,1175608,-486.0,-0.04%,时尚,美妆
28278842,仲尼Johnny777,https://space.bilibili.com/28278842,3456.3,1183461,-484.0,-0.04%,生活,日常
390601281,V5电子竞技俱乐部官方,https://space.bilibili.com/390601281,3418.1,422842,-481.0,-0.11%,游戏,电子竞技
396895652,Pico-VR官方,https://space.bilibili.com/396895652,3330.6,131651,-479.0,-0.36%,游戏,单机游戏
384522533,杭州闪电队,https://space.bilibili.com/384522533,3408.4,314591,-474.0,-0.15%,游戏,电子竞技
584599812,威希弟,https://space.bilibili.com/584599812,3421,443721,-469.0,-0.11%,生活,搞笑
43389575,凤凰天使TSKS韩剧社官方账号,https://space.bilibili.com/43389575,3523.1,2536056,-462.0,-0.02%,娱乐,综艺
67991584,知电晓春哥,https://space.bilibili.com/67991584,3423,476964,-458.0,-0.10%,科技,数码
66556492,赵俊日,https://space.bilibili.com/66556492,3440.5,891300,-449.0,-0.05%,游戏,电子竞技
1871001,棉花大哥哥,https://space.bilibili.com/1871001,3466.1,2490471,-441.0,-0.02%,游戏,手机游戏
35260261,神医RUI,https://space.bilibili.com/35260261,3375.1,160886,-441.0,-0.27%,游戏,电子竞技
250858633,华农兄弟,https://space.bilibili.com/250858633,3545.5,6403041,-436.0,-0.01%,美食,田园美食
12504479,头头猫丶,https://space.bilibili.com/12504479,3069.9,31615,-432.0,-1.37%,游戏,手机游戏
251850212,考研英语刘晓艳,https://space.bilibili.com/251850212,3458.9,1598995,-424.0,-0.03%,知识,校园学习
299609985,FPX电子竞技俱乐部,https://space.bilibili.com/299609985,3442.9,711852,-417.0,-0.06%,游戏,电子竞技
5870268,三代鹿人,https://space.bilibili.com/5870268,3535.6,6131438,-414.0,-0.01%,影视,影视杂谈
405815805,有车有肉的肉肉,https://space.bilibili.com/405815805,3407.5,329730,-411.0,-0.12%,汽车,购车攻略
641591444,阿巳与小铃铛,https://space.bilibili.com/641591444,3455.3,2035684,-408.0,-0.02%,动画,短片·手书·配音
591856754,卢正义的雕刻时光,https://space.bilibili.com/591856754,3478.9,2183983,-404.0,-0.02%,生活,手工
398877923,哈利波特魔法觉醒,https://space.bilibili.com/398877923,3447,1475436,-401.0,-0.03%,游戏,手机游戏
429392011,天天鉴宝,https://space.bilibili.com/429392011,3452.6,1472538,-401.0,-0.03%,生活,日常
16187912,老王dota2,https://space.bilibili.com/16187912,3351.2,137881,-401.0,-0.29%,游戏,电子竞技
3117396,犇牛者DC,https://space.bilibili.com/3117396,3440.5,540908,-398.0,-0.07%,游戏,手机游戏
17409016,爱做饭的芋头SAMA,https://space.bilibili.com/17409016,3493.6,3184065,-396.0,-0.01%,美食,美食制作
7706705,阿梓从小就很可爱,https://space.bilibili.com/7706705,3436.5,739360,-386.0,-0.05%,生活,其他
37946996,守护茶茶,https://space.bilibili.com/37946996,3465.1,1849841,-385.0,-0.02%,游戏,电子竞技
322892,痒局长,https://space.bilibili.com/322892,3475.1,2681554,-384.0,-0.01%,游戏,手机游戏
92568184,福乐小哥,https://space.bilibili.com/92568184,3458.2,1213062,-383.0,-0.03%,生活,日常
102999485,华为终端,https://space.bilibili.com/102999485,3458.2,1414545,-382.0,-0.03%,科技,数码
8047632,哔哩哔哩弹幕网,https://space.bilibili.com/8047632,3651.9,3482247,-379.0,-0.01%,音乐,音乐综合
16307541,Vivekatt,https://space.bilibili.com/16307541,3469.9,1604425,-368.0,-0.02%,时尚,美妆
