uid,up主昵称,B站地址,番茄指数,粉丝总数,掉粉数量,掉粉率,一级分类,二级分类
611214594,上汽大众,https://space.bilibili.com/611214594,3428.1,1745165,-14334.0,-0.82%,汽车,汽车生活
578227337,华为,https://space.bilibili.com/578227337,3429.7,1834419,-8771.0,-0.48%,科技,数码
1269265572,极氪,https://space.bilibili.com/1269265572,3402.7,586465,-5068.0,-0.86%,汽车,汽车生活
275338136,肯德基,https://space.bilibili.com/275338136,3431.8,2109705,-4441.0,-0.21%,生活,日常
50329118,哔哩哔哩英雄联盟赛事,https://space.bilibili.com/50329118,3467.2,12353565,-3934.0,-0.03%,游戏,电子竞技
8739477,老实憨厚的笑笑,https://space.bilibili.com/8739477,3432.5,2467121,-3454.0,-0.14%,游戏,电子竞技
4059920,靖菌命,https://space.bilibili.com/4059920,3446.9,2194843,-2034.0,-0.09%,游戏,单机游戏
17561885,哔哩哔哩刀塔2赛事,https://space.bilibili.com/17561885,3416,893594,-2014.0,-0.23%,游戏,电子竞技
551534193,韩国吃播-Boki,https://space.bilibili.com/551534193,3406.4,604549,-1940.0,-0.32%,美食,美食记录
1388514638,longdd黄翔,https://space.bilibili.com/1388514638,3405.8,619297,-1929.0,-0.31%,游戏,电子竞技
439868658,五菱汽车,https://space.bilibili.com/439868658,3424.8,1200241,-1890.0,-0.16%,汽车,汽车生活
432832670,没煮熟的大鹅,https://space.bilibili.com/432832670,3422.6,983289,-1694.0,-0.17%,美食,美食记录
18149131,Overidea_China,https://space.bilibili.com/18149131,3452.4,907777,-1612.0,-0.18%,动画,综合
1017081142,Rookie,https://space.bilibili.com/1017081142,3425.5,1376286,-1591.0,-0.12%,游戏,电子竞技
1837336632,代号-跃迁旅人,https://space.bilibili.com/1837336632,3410.8,802476,-1571.0,-0.20%,游戏,手机游戏
404987905,ACG外观研究社,https://space.bilibili.com/404987905,3415.4,589349,-1454.0,-0.25%,科技,数码
674539396,妙妙子Official,https://space.bilibili.com/674539396,3382.2,320800,-1361.0,-0.42%,游戏,电子竞技
300634025,滔搏电子竞技俱乐部,https://space.bilibili.com/300634025,3415.9,709988,-1353.0,-0.19%,游戏,电子竞技
50329220,哔哩哔哩LOL赛事直播,https://space.bilibili.com/50329220,3435.2,4151610,-1349.0,-0.03%,游戏,电子竞技
531236984,上汽集团MG名爵,https://space.bilibili.com/531236984,3367.8,260466,-1241.0,-0.48%,汽车,汽车生活
7706705,阿梓从小就很可爱,https://space.bilibili.com/7706705,3414.9,742342,-1192.0,-0.16%,生活,其他
1628139107,真实电竞,https://space.bilibili.com/1628139107,3414.7,772819,-1086.0,-0.14%,游戏,电子竞技
156619610,JDG京东电子竞技俱乐部,https://space.bilibili.com/156619610,3416.1,736883,-1029.0,-0.14%,游戏,电子竞技
643873396,平安小财娘,https://space.bilibili.com/643873396,3426.5,1219228,-993.0,-0.08%,生活,搞笑
257851644,RNG电子竞技俱乐部,https://space.bilibili.com/257851644,3431.3,1386709,-953.0,-0.07%,游戏,电子竞技
466272,bili_466272,https://space.bilibili.com/466272,3509.4,4403497,-949.0,-0.02%,生活,日常
394609671,终极小腾,https://space.bilibili.com/394609671,3433.6,2198523,-936.0,-0.04%,汽车,汽车生活
489412051,哔哩哔哩晚会,https://space.bilibili.com/489412051,3555,6257792,-930.0,-0.01%,娱乐,综艺
35365327,bilibiliGoods,https://space.bilibili.com/35365327,3429.4,1376092,-923.0,-0.07%,生活,日常
485092296,张三的传奇一生,https://space.bilibili.com/485092296,3447.9,2009878,-906.0,-0.05%,知识,社科·法律·心理
383670040,小郑菜菜Csgo,https://space.bilibili.com/383670040,3371.3,267509,-903.0,-0.34%,游戏,电子竞技
23920239,小米公司,https://space.bilibili.com/23920239,3435.8,2016314,-870.0,-0.04%,生活,日常
241332396,蔻蔻妮娜,https://space.bilibili.com/241332396,3367.1,245876,-866.0,-0.35%,汽车,购车攻略
398877923,哈利波特魔法觉醒,https://space.bilibili.com/398877923,3425.3,1479237,-864.0,-0.06%,游戏,手机游戏
505370779,杰克-涛,https://space.bilibili.com/505370779,3369.4,251645,-848.0,-0.34%,汽车,汽车生活
2026561407,吃花椒的喵酱,https://space.bilibili.com/2026561407,3474.3,4910821,-812.0,-0.02%,生活,日常
17561219,直播小喇叭,https://space.bilibili.com/17561219,3431.5,2962517,-784.0,-0.03%,游戏,电子竞技
31536760,EDG电子竞技俱乐部,https://space.bilibili.com/31536760,3436.3,2124339,-761.0,-0.04%,游戏,电子竞技
37813467,时空猎人3,https://space.bilibili.com/37813467,3416.5,1012923,-760.0,-0.08%,游戏,手机游戏
481888304,Boki的搬运工,https://space.bilibili.com/481888304,3420.2,922044,-755.0,-0.08%,美食,美食记录
67991584,知电晓春哥,https://space.bilibili.com/67991584,3401.5,479636,-754.0,-0.16%,科技,数码
234507192,原来真是翔翔啊,https://space.bilibili.com/234507192,3405.1,490915,-752.0,-0.15%,生活,汽车生活
371099,youc-,https://space.bilibili.com/371099,3365.1,230650,-743.0,-0.32%,游戏,电子竞技
297991412,和微联盟电脑科技,https://space.bilibili.com/297991412,3418.1,646873,-715.0,-0.11%,科技,数码
238444767,叫我今非昔比,https://space.bilibili.com/238444767,3343.7,152999,-714.0,-0.47%,游戏,电子竞技
439605619,完美世界电竞频道一,https://space.bilibili.com/439605619,3369.3,261893,-698.0,-0.27%,游戏,电子竞技
285499073,东尼ookii,https://space.bilibili.com/285499073,3477.6,4572420,-697.0,-0.02%,生活,搞笑
476861585,-小李胖胖-,https://space.bilibili.com/476861585,3280.8,98319,-693.0,-0.70%,音乐,音乐综合
517027781,猫之城手游,https://space.bilibili.com/517027781,3420.6,1068956,-685.0,-0.06%,游戏,手机游戏
10330740,观察者网,https://space.bilibili.com/10330740,3562,7630787,-678.0,-0.01%,资讯,环球
176037767,我是郭杰瑞,https://space.bilibili.com/176037767,3477.5,7043713,-674.0,-0.01%,生活,日常
19577966,李子柒,https://space.bilibili.com/19577966,3488.5,7688481,-671.0,-0.01%,美食,田园美食
6574487,纳豆奶奶,https://space.bilibili.com/6574487,3479.9,4197186,-662.0,-0.02%,生活,日常
14110780,凉风Kaze,https://space.bilibili.com/14110780,3555.3,8133753,-651.0,-0.01%,生活,搞笑
473940554,英雄联盟手游,https://space.bilibili.com/473940554,3435,2518049,-645.0,-0.03%,游戏,手机游戏
1289317910,用户952817,https://space.bilibili.com/1289317910,2706.2,13469,-634.0,-4.71%,汽车,汽车生活
122879,敖厂长,https://space.bilibili.com/122879,3490.9,7473162,-617.0,-0.01%,游戏,单机游戏
32820037,歪果仁研究协会,https://space.bilibili.com/32820037,3465.1,4025002,-600.0,-0.01%,生活,日常
8683337,金色礼弥,https://space.bilibili.com/8683337,2789.8,16026,-600.0,-3.74%,游戏,电子竞技
867152,蕾蕾大表哥,https://space.bilibili.com/867152,3369.6,258219,-599.0,-0.23%,游戏,电子竞技
612492134,司马南,https://space.bilibili.com/612492134,3443.6,2002862,-593.0,-0.03%,资讯,热点
390601281,V5电子竞技俱乐部官方,https://space.bilibili.com/390601281,3396.6,425179,-576.0,-0.14%,游戏,电子竞技
1868902080,哔哩哔哩拜年纪,https://space.bilibili.com/1868902080,3467.4,4021041,-571.0,-0.01%,动画,综合
37946996,守护茶茶,https://space.bilibili.com/37946996,3443.3,1852307,-553.0,-0.03%,游戏,电子竞技
437316738,朱一旦的枯燥生活,https://space.bilibili.com/437316738,3478.8,3743730,-544.0,-0.01%,生活,搞笑
